;url;price;surface;nb_pieces;nb_chambres;lieu;prix_m2;date_publication;tag_1;tag_2;tag_3;description;tags;images_url
0;https://www.superimmo.com/annonces/achat-maison-100m-marseille-8eme-13008-xwcjb0;575000;100;6;4;Marseille 8ème (13008);5750;19/07/2024;Exclusivité;1 balcon;Honoraires à la charge du vendeur. Barème d’honoraires : https://www.lfimmo.fr/bareme-des-honoraires.pdf;"Marseille 8ème - En exclusivité : Au coeur du quartier prisé de Sainte Anne dans le 8ème arrondissement, une maison de ville en duplex de 100m2 dans une petite copropriété au fond d'une impasse, au calme absolu, à 5 minutes à pied du Parc Borély.
Cette belle maison familiale et mitoyenne d'un côté, propose, en rez-de-jardin un double séjour/salle à manger, une cuisine américaine aménagée moderne et un WC indépendant. Depuis la cuisine et le double living, accès à une belle terrasse et un coin BBQ ombragés par un magnifique mûrier. Ce joli jardin d'environ 50m2, orienté sud-est, abrite également un olivier, un beau laurier rose ainsi qu'un abri pour du rangement.
A l'étage, 4 belles chambres dont une avec salle d'eau et lavabo, une autre avec balcon et vue dégagée et verdoyante, une salle de bain et un WC indépendant.
Belles prestations incluant climatisation réversible, doubles vitrages, bibliothèque sur-mesure, parquet et une excellente note énergétique.
À proximité immédiate se trouvent commerces de grande qualités, très bonnes écoles publiques et privées, bus, métro et axes routiers.
Cette jolie maison de ville est idéale pour une famille nombreuse, dans un secteur recherché et apprécié pour sa grande qualité de vie à juste 9 minutes en vélo de la plage.
Un garage complète ce bien. Syndic bénévole, faibles charges.
Contact Monica Ouzas-Persat // 06 26 86 89 80
Bien soumis au statut de la copropriété, 4 logements, procédure en cours : aucune, 8 lots, Charges budget prévisionnel annuel 60 €.
Annonce publiée par Monica Ouzas-Persat (EI) votre agent commercial en immobilier LF immo à Marseille, 13007 immatriculé au RSAC de MARSEILLE sous le n°821 452 182 000 24. Consultez nos tarifs sur le site LF immo.
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www.georisques.gouv.fr.
Afficher plus";['100 m² - 6 pièces - 4 chambres - ter. 50 m²', 'Orientation : Sud', 'Vue dégagée', '1 Parking', '1 balcon', 'Terrasse', 'Année de construction : 1992', 'Chauffage: clim. réversible', 'Cuisine ouverte', '2 salles de bain', '2 wc', 'Copropriété de 4 lots', None, None, None, None, None, None, None, None];['https://photo.superimmo.com/101gvqy8fqfa0ikfdc8cgzp8aw0t', 'https://photo.superimmo.com/a6cuccxf9fwkn2zm63ag1niz6rog', 'https://photo.superimmo.com/od9ie95atdvk73rflda0o0utovuu', 'https://photo.superimmo.com/wkf4a7oof8pbwbwq6md653mvlrve', 'https://photo.superimmo.com/r1s6s0o0jebnwj60pzdocs7sbwwk', None, None, None, None, None]
1;https://www.superimmo.com/annonces/achat-appartement-90m-port-de-bouc-13110-xwchs3;183000;90;5;3;Port-de-Bouc (13110);2033;19/07/2024;Dernier étage avec ascenseur;3 balcons;Honoraires partagés - Part acquéreur : 3,68% TTC - 6 500 € TTC inclus dans le prix de vente. Barème d’honoraires : https://www.gitimmo.com/i/redac/honoraires?honofor=1;"PORT-DE-BOUC
CENTRE
Vue mer à 180o
Très lumineux.
Dans une résidence des années 70, appartement très lumineux de type 5 pièces de 90m2 au 10ème et dernier étage avec ascenseur.
Il est composé d'une pièce à vivre de 30m2, d'un cuisine séparée, de 3 chambres, d'une salle d'eau, d'une salle de bains et d'un wc indépendant.
Possibilité de créer une 4ème chambre.
Cave.
Parking libre dans la résidence.
Charges de copropriété 350EUR/mois (chauffage, eau chaude et froide, entretien des parties communes...)
Taxe foncière 1664EUR
Pour tous renseignements, contacter Mme Emmanuelle ANFOSSO au 06.23.41.53.00 ou . Agent commercial de la SAS GITIMMO immatriculé au RSAC de Marseille sous le No 519 612 345.
Prix de vente public 183.000EUR honoraires partagés (prix vendeur 176.500EUR + 6.500EUR d'honoraires à charge acquéreur).
Ce bien est soumis aux statuts de la copropriété comportant 51 lots principaux d'habitation. GITIMMO TRANSACTION - 04.91.57.11.71 -
Afficher plus";"['90 m² - 5 pièces - 3 chambres', 'Dernier étage (10ème) avec ascenseur', 'Cave', '3 balcons', 'Année de construction : 1970', 'Gardien', 'Chauffage collectif au gaz (radiateurs)', 'Cuisine séparée', 'Séjour de 30 m²', ""1 salle d'eau - 1 salle de bain"", '1 wc', 'Interphone', 'Copropriété de 70 lots', '', None, None, None, None, None, None]";['https://photo.superimmo.com/ewejzt30jpehrrbpr348iflav1bh', 'https://photo.superimmo.com/amh5jgwqfoa8kqv549z1y1so4uf9', 'https://photo.superimmo.com/r872hfjvkbpv0xtuh2vpmn96z37c', 'https://photo.superimmo.com/t1vqun8lz89v34yekkyghy5j22y0', 'https://photo.superimmo.com/w9s0cdxhq4ebuz9fh8g78y2oen7g', None, None, None, None, None]
2;https://www.superimmo.com/annonces/achat-appartement-58m-marseille-8eme-13008-xwchpo;290000;58;3;2;Marseille 8ème (13008);5000;19/07/2024;Étage 3/8 avec ascenseur;2 balcons (6 m²);Barème d’honoraires : http://ctgimmobilier.com/i/redac/honoraires?honofor=1;Superbe T3 de 58 m2 avec tres belle vue mer et colline Coeur Pointe Rouge et Pastre ,Cet appartement est distribué de la maniere suivante , un hall ,un living , un salon ,une chambre une cuisine equipee , une salle de bain , un wc deux balcons , un cellier .;['58 m² - 3 pièces - 2 chambres', 'Étage 3/8 avec ascenseur', 'Orientation : Est / Ouest', '1 Parking', '2 balcons (6 m²)', 'Année de construction : 1960', 'Chauffage individuel au gaz (radiateurs)', 'Cuisine séparée, équipée', 'Séjour de 30 m²', '1 salle de bain', '1 wc', 'Interphone', None, None, None, None, None, None, None, None];['https://photo.superimmo.com/xebplche05dfkm9s8kxc09hj7ruo', 'https://photo.superimmo.com/hiilr0d5mrjxesob18ajkkgsrp1t', 'https://photo.superimmo.com/uoo4uucwhmg3gj9tcfiwov7dcqb4', 'https://photo.superimmo.com/avt2aizjtbzkqqsx33r6xdt5dwqv', 'https://photo.superimmo.com/i57xas58dxyrnz3d8apmleplqhv9', None, None, None, None, None]
3;https://www.superimmo.com/annonces/achat-appartement-74m-fos-sur-mer-13270-xwchny;184000;74;3;2;Fos-sur-Mer (13270);2486;19/07/2024;1 terrasse;1 Parking;Barème d’honoraires : https://www.l-agence-immobiliere.fr/i/redac/honoraires?honofor=126;"'Dessinons ensemble, votre nouvel HABITAT'
Nouveau et uniquement avec D-HABITAT, Fabrice GELY vous propose en Centre ville, proche de toutes commodités (cabinets médical et infirmiers, groupes scolaires maternel et primaire, commerces, banques...et très prochainement le nouveau restaurant du Service des Séniors de la Commune...) ce beau type 3 situé en rez-de-jardin d'une superficie de 74 m2 agrémenté de 42m2 de jardinet et 1 place de stationnement privée.
Dans une Résidence privée et édifiée en 1974, ce beau type 3 de 74m2 mitoyen d'un seul côté par la cuisine et le cellier, se compose d'un vaste hall d'entrée de 6.4m2 avec placard, une cuisine indépendante de 8.55m2 dotée d'un cellier de 4.3m2 et donnant accès aux 42m2 de jardinet, 19.4m2 de séjour avec baie vitrée, 2m2 de dégagement desservant l'espace nuit composé de 2 chambres de 11m2 avec placard et 12.5m2, une salle d'eau 6.3m2 avec fenestron et 1.75m2 de toilette inépendant avec fenestron.
Chauffage électrique, menuiseries ALU et PVC et volets roulants.
Charges collectives de 210EUR/Trimestre.
Honoraires agence de 4.8% charge vendeur.
Travaux de modernisation à prévoir !
Un plan de financement de votre projet immobilier de - 3 mois (simulation bancaire) vous sera demandé avant la visite.
Contactez votre agent prévilégié D-HABITAT Fabrice GELY au 10 Avenue des vallins 13270 Fos sur mer.
A votre service depuis 2007 sur le secteur Ouest de l'Etang de Berre.
'D-HABITAT, la relation humaine qui fait la différence' - Annonce rédigée et publiée par un Agent Mandataire -
Afficher plus";"['Disponible immédiatement', '74 m² - 3 pièces - 2 chambres', 'Rez-de-chaussée', 'Orientation : Est / Ouest', '1 Parking', '1 terrasse', 'Année de construction : 1974', 'Chauffage individuel électrique (radiateurs)', 'Cuisine séparée', ""1 salle d'eau"", '1 wc', 'Copropriété de 19 lots', None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/96vh2rmbjpau098wzwhyii1ol4bv', 'https://photo.superimmo.com/0gscip0fzraq823r4c1ll2a77c8w', 'https://photo.superimmo.com/rw3xe9q5derhtc548ca830p1cozv', 'https://photo.superimmo.com/rrg3ssgjlif41z540kut5irckvqi', 'https://photo.superimmo.com/r0q3e3o65sudgzrl6ctdk9k0ep9l', None, None, None, None, None]
4;https://www.superimmo.com/annonces/achat-maison-278m-fos-sur-mer-13270-xwchnx;530000;278;11;7;Fos-sur-Mer (13270);1906;19/07/2024;1 terrasse;1 garage - 4 parkings;Barème d’honoraires : https://www.l-agence-immobiliere.fr/i/redac/honoraires?honofor=126;"'Dessinons ensemble, votre nouvel Habitat'
EXCLUSIVITE : grande famille et/ou rendement locatif.
Fabrice GELY et Céline REYNOARD vous proposent cette magnifique demeure non mitoyenne édifiée en 1947 d'une superficie de 278 m2 composée de 2 logements distincts de 128m2 en rdc et 150m2 au 1er étage sur une parcelle de 614m2 proche de toutes commodités.
'Maison de Maître' qui a fait l'objet d'une rénovation en conservant le charme d'antan et en apportant une touche de sobriété et de modernité.
En RDC, vous serez séduit par ce beau Type 4 d'env 128m2 composé d'un hall d'entrée avec porte en ALU 3 points, une grande pièce de vie lumineuse de 40m2 avec cheminée foyer ouvert, 11.7m2 de cuisine US moderne et aménagée, 6m2 de dégagement desservant 3 chbres de 11m2,16m2 et 16m2 avec placards, 2.3m2 de dressing aménagé, une sde de 5.8m2 avec douche Italienne, meuble vasque + WC, un 2eme WC séparé avec point d'eau, une buanderie de 4m2 et un cellier/séchoir d'env 6.5m2 communicant avec le 1er étage.
A l'étage, vous trouverez un beau duplex Type 7 d'env 150m2 (180m2 de superficie au sol avec combles aménagés) composé d'un hall d'entrée avec porte en ALU 3 points, 30m2 de pièce de vie lumineuse comprenant une cuisine aménagée de style provençale de 12m2 sobre et fonctionnelle, un salon de 12m2, un bureau de 8m2 , un dégagement climatisé d'env 14m2 desservant 3 chbres (15.6m2, 23m2 avec espace dressing aménagé sur mesure et bureau + placards et une de 10m2 avec placards), une sde de 7m2 de style baroque, meuble vasque et WC, un 2ème WC séparé avec point d'eau, une buanderie de 7m2 donnant un double accès à l'appartement du rdc et aux combles aménagés. Les combles ont été aménagés avec velux elec en suite parentale pour une surface au sol d'env 45m2 (dont 15m2 en loi carrez +1.8m de hauteur) composée comme suit : 1 espace chbre/bureau climatisé de 23m2 de surface au sol, d'une sde+WC de 9.5m2 au sol et 12.5m2 au sol de dégagement + accès aux reste des combles sur toute la surface de la bätisse.
En extérieur, cette maison de Maître dispose d'une grande allée de stationnement, d'un garage d'env 30m2, d'un espace dallé et fleuri, d'une terrasse couverte avec barbecue + point d'eau d'env 24m2 et d'un espace pelousé et potager.
Cette demeure est équipée de DV PVC oscillo-battants, parquet stratifié dans toutes les chbres, VRE, 2 velux automatisés dans les combles aménagés, 2 clim au 1er étage + combles, chauffage par 2 pompes à chaleur indépendantes, 1 seul compteur d'eau avec adoucisseur commun, 2 compteurs EDF.Demeure idéale pour une famille multigénérationnelle.
Taxe Foncière de 2307EUR. Honoraires agence inclus de 5.6% charge vendeur.
Un plan de financement de votre projet immobilier de -3 mois (simulation bancaire) vous sera demandé avant la visite !
Contactez vos agents privilégiés Céline REYNOARD 06.11.12.12.40 et Fabrice GELY 06.59.54.12.08
10 Avenue des vallins 13270 Fos sur mer.
A VOTRE SERVICE depuis 2007 sur le secteur Ouest de l'Etang de Berre. 'D-HABITAT, la relation humaine qui fait la différence'- Annonce rédigée et publiée par un Agent Mandataire -
Afficher plus";"['278 m² - 11 pièces - 7 chambres - ter. 614 m²', '1 garage - 4 parkings', '1 terrasse', 'Année de construction : 1947', 'Chauffage individuel', 'Climatisation', 'Cuisine ouverte', ""3 salles d'eau"", '5 wc', '', None, None, None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/b4pj46ffrk3sw7v33lx8b97l6lj6', 'https://photo.superimmo.com/8yba6oji5kdnxfdm2gx4tb6d8sus', 'https://photo.superimmo.com/p32wunr184bsliaa19dex8pl1941', 'https://photo.superimmo.com/7up8gkbfg97wns31ot9ppofbbomd', 'https://photo.superimmo.com/rhoe8vzhr5tigueff27p5ddh1go6', None, None, None, None, None]
5;https://www.superimmo.com/annonces/achat-appartement-47m-chateauneuf-le-rouge-13790-xwchnj;250000;47;2;1;Châteauneuf-le-Rouge (13790);5319;19/07/2024;1er étage;1 terrasse;Honoraires à la charge du vendeur. Barème d’honoraires : https://www.4cheminsimmobilier.com/i/redac/honoraires?honofor=1;Découvrez cet appartement traversant de 2 pièces et 47 m2 à Châteauneuf-le-Rouge. Il comprend un grand séjour avec plafond cathédrale, une cuisine aménagée séparée en parfait état, une terrasse, une salle d'eau avec douche à l'italienne, des WC séparés, et une grande chambre avec de nombreux rangements. Possibilité de box en sous-sol. Situé dans une copropriété de 18 lots sans procédure en cours, avec des charges annuelles de 960 EUR. Prix : 250000 EUR, honoraires à la charge du vendeur. Les informations sur les risques sont disponibles sur le site Géorisques.Contactez-nous pour une visite Patricia : 06 38 91 17 51 Retrouvez tous nos biens sur :;"['47 m² - 2 pièces - 1 chambre', '1er étage', '1 terrasse', 'Année de construction : 1990', 'Chauffage individuel', 'Climatisation', 'Cuisine séparée, équipée', 'Séjour de 18 m²', ""1 salle d'eau"", '1 wc', 'Copropriété de 18 lots', '', None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/4rzjzmdn2wq7953hsif2012jzsy1', 'https://photo.superimmo.com/6emsz89lw8y4uefmz7wct8w7fv9b', 'https://photo.superimmo.com/4tif66w1tycjuut6leou82cxdxel', 'https://photo.superimmo.com/7qukaktadsq1gm411c5640yh0aho', None, None, None, None, None, None]
6;https://www.superimmo.com/annonces/achat-appartement-42m-carry-le-rouet-13620-xwchjk;350000;42;2;1;Carry-le-Rouet (13620);8333;19/07/2024;Avec ascenseur;Terrasse;Honoraires à la charge du vendeur.;"A deux pas du port et de toutes commodités, dans petite résidence récente, appartement de 2 pièces entièrement refait à neuf avec des prestations modernes, composé d'une pièce à vivre donnant sur une spacieuse terrasse de 25 m2 avec une vue dégagée, une cuisine aménagée équipée, une chambre, d'une salle de bains et un wc séparé. Le plus, l'appartement est vendu entièrement meublé. Ce qui offre un très fort potentiel en location saisonnière courte durée ou annuelle.
Quote part annuelle de charges 1000 euros";"['42 m² - 2 pièces - 1 chambre', 'Rez-de-chaussée', 'Avec ascenseur', 'Orientation : Est / Ouest', 'Terrasse', 'Année de construction : 2000', 'Chauffage individuel électrique', 'Climatisation', 'Cuisine séparée, équipée', 'Séjour de 19 m²', ""1 salle d'eau"", '1 wc', 'Copropriété de 15 lots', '', None, None, None, None, None, None]";['https://photo.superimmo.com/xespkvprnyd638qr5l4fm4x4teoz', 'https://photo.superimmo.com/um1xg7o3i60xhbfphbez6gekvt9o', 'https://photo.superimmo.com/t3y3lbvsmde5drh04cnk7jzbetjo', 'https://photo.superimmo.com/zpd3fj7suk2606n3tkzp479gw8um', 'https://photo.superimmo.com/o4gpeqhcss2ebad5m7q61z9l8v3b', None, None, None, None, None]
7;https://www.superimmo.com/annonces/achat-maison-150m-marseille-9eme-13009-xwchji;695000;150;6;4;Marseille 9ème (13009);4633;19/07/2024;Exclusivité;2 terrasses;Honoraires à la charge du vendeur.;En plein coeur du quartier du redon au calme, maison de 4 pièces d'environ 110 m2 + un appartement indépendant 2 pièces avec terrasse, garage, piscine avec coin cuisine d'été sur 450 m2 de terrain paysagé, vue dégagée sur la colline saint Joseph.;"['150 m² - 6 pièces - 4 chambres - ter. 450 m²', 'Piscine', 'Orientation : Est / Ouest', '1 Garage', '2 terrasses', 'Année de construction : 1975', 'Chauffage individuel au fuel (radiateurs)', 'Cuisine séparée', 'Séjour de 45 m²', ""3 salles d'eau - 4 salles de bain"", '4 wc', '', None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/lmyvxovkjdgnyfv2wtgma9dw0jyg', 'https://photo.superimmo.com/7syr5yiysut5bo89wlgzallphhgs', 'https://photo.superimmo.com/qrnilwfbn4mbgod4jr8i29gcubbe', 'https://photo.superimmo.com/0tfnhdcr8lfoc7xvwk8graz7pbfz', 'https://photo.superimmo.com/mkgkcz4ftxqhvx6a82pq8ncw9bay', None, None, None, None, None]
8;https://www.superimmo.com/annonces/achat-appartement-85m-marseille-7eme-13007-xwchjc;420000;85;3;2;Marseille 7ème (13007);4941;19/07/2024;Étage 4/7 avec ascenseur;Cuisine séparée, équipée;Honoraires à la charge du vendeur.;"FIDUCIA CORNICHE vous propose à la vente en EXCLUSIVITE ce grand type 3 de 84 m2 au 4ème étage sur 7 avec ascenseur et une vue dégagée, situé en plein coeur du 7ème arrondissement de Marseille, entre les quartiers d'Endoume et de Bompard dans un immeuble classé des années 50.
Très lumineux avec ses grandes ouvertures, l'appartement à été rénové tel que la cuisine, la salle d'eau, les Wcs, l'éléctricité etc...
Il se compose d'un grand hall d'entrée donnant sur le salon / salle à manger de 30m2 et sans vis-à-vis. La cuisine équipée est séparée et dispose d'une loggia. Un second hall permet de desservir deux grandes chambres de 12m2 et 14m2 avec placards, une salle d'eau et des WC séparés suspendu. L'appartement comprend de nombreux espaces de rangements.
Il est équipé d'une climatisation et dispose également d'une cave. L'immeuble est équipé de la fibre.
Une place de parking est disponible à la location.
Proche de toutes commodités en bas de l'immeuble transports, boulangerie, boucherie, tabac, supermarchés bio, picard et salle de sport...
Accès à l'autoroute à moins de 2 minutes en voiture, proche de Saint-Victor. Vieux port et plage à 5 minutes.
Charges de copropriété 120 euros /mois ; Taxe foncière 1200 euros.
Pour plus d'informations sur bien contactez Christophe BRUN de l'agence FIDUCIA CORNICHE.
Afficher plus";"['85 m² - 3 pièces - 2 chambres', 'Étage 4/7 avec ascenseur', 'Cave (4 m²)', 'Année de construction : 1952', 'Chauffage individuel au gaz (radiateurs)', 'Climatisation', 'Cuisine séparée, équipée', 'Séjour de 30 m²', ""1 salle d'eau"", '1 wc', 'Interphone', 'Copropriété de 36 lots', None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/h8gp8llcr75vw8a3amyrpau6t3qg', 'https://photo.superimmo.com/tzzt0p4vxo28tbs2rpxo3335bbzp', 'https://photo.superimmo.com/xirlvvmwalobw1i9iqy7xde6bhh2', 'https://photo.superimmo.com/v8p3szfk5h53qfwz1i4mnj5oladm', 'https://photo.superimmo.com/v0fi5sps8b6nnffk2giwq83fu91b', None, None, None, None, None]
9;https://www.superimmo.com/annonces/achat-appartement-26m-marseille-7eme-13007-xwchjb;139000;26;1;;Marseille 7ème (13007);5346;19/07/2024;;;Honoraires à la charge du vendeur.;"FIDUCIA IMMOBILIER vous propose à la vente ce studio spécial investisseur en plein coeur du 7ème arrondissement dans le quartier emblématique de SAMATAN.
26m2 plus petite mezzanine à rénover et à mettre à son goût pour en faire un joli cocon.
Petite surface et grand volume...2,85m de hauteur sous plafonds.
Cette petite copropriété de 5 lots autorise volontiers la location saisonnière type AIRBNB.
Son apercu mer est un atout supplémentaire pour les voyageurs.
Petits bars, restaurants et boutiques de quartiers donnent le ton et l'ambiance! et pourtant si calme...
(Locataire en place serieux avec bail meublé jusqu'en janvier 2025 au plus tard, pour un loyer de 590 euros hors charges + 30 euros de charges, soit 620 euros charges comprises).
Charges minimalistes grace à un syndic bénévole oû les réunions se font autour d'un verre...taxe foncière 355 euros.
A SAISIR RAPIDEMENT!!!!!!!
Contact FIDUCIA IMMOBILIER Christophe Brun inscrit au RSAC sous le numéro 535349807.
Afficher plus";['26 m² - 1 pièce', 'Rez-de-chaussée', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None];['https://photo.superimmo.com/4xu0ou1e6o0nhjvyey0z1eqoegmw', 'https://photo.superimmo.com/z7jdui3hav1j1j1qhil9egcgiyeg', 'https://photo.superimmo.com/k05nnys7us75qu8aais3mbwh1euq', 'https://photo.superimmo.com/8dkfpnc1jpyfqm3zgvzuare7efi4', 'https://photo.superimmo.com/8qrev28kbjlbl7yd46pj9pftzrgx', None, None, None, None, None]
