;url;price;surface;nb_pieces;nb_chambres;lieu;prix_m2;date_publication;tag_1;tag_2;tag_3;description;tags;images_url
0;https://www.superimmo.com/annonces/achat-appartement-25m-bagneres-de-luchon-31110-xwb0na;59900;25;1;;Bagnères-de-Luchon (31110);2396;13/07/2024;Coin cuisine;Chauffage individuel électrique (radiateurs);Honoraires à la charge du vendeur. Barème d’honoraires : https://www.reseau-expertimo.fr/i/redac/honoraires?honofor=1853;"Bagnères de Luchon, centre ville, studio d'environ 25 m2 situé en RDC d'une petite copropriété de 12 lots.
Comprenant une cuisine ouverte sur le séjour / salon, un coin nuit et une salle d'eau avec WC.
Très lumineux avec ses grandes fenêtres plein sud. Au calme sans vis à vis.
Idéalement situé.
DPE en cours
Honoraires charge vendeur.
Ingrid Le Fur 07.78.64.20.22 ( RSAC 912624707 TOULOUSE)
Les informations sur les risques auxquels est exposé ce bien sont disponibles sur le site Géorisques : www.georisques.gouv.fr
Cette annonce vous est proposée par LE FUR Ingrid - - NoRSAC: 912 624 707 , Enregistré au Greffe du tribunal de commerce de Toulouse - Annonce rédigée et publiée par un Agent Mandataire -";"['25 m² - 1 pièce', 'Rez-de-chaussée', 'Orientation : Sud', 'Année de construction : 1949', 'Chauffage individuel électrique (radiateurs)', 'Coin cuisine', ""1 salle d'eau"", '1 wc', 'Copropriété de 12 lots', '', None, None, None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/7usaz4pk966541rk7tg9r4aplg9q', 'https://photo.superimmo.com/iyccm8rergr2irmndwjlcafbzodv', 'https://photo.superimmo.com/twpex7zkclxlu9b09bqk3pyf10jb', 'https://photo.superimmo.com/6b0o5ramuj32qqia45wzfj4qzu7p', 'https://photo.superimmo.com/nfqrzfx5mwv9t83nksg61etpcd28', None, None, None, None, None]
1;https://www.superimmo.com/annonces/achat-maison-131m-vernet-31810-xwb0my;282000;131;5;4;Vernet (31810);2153;13/07/2024;Exclusivité;1 balcon (6 m²);Honoraires à la charge du vendeur. Barème d’honoraires : https://www.oxximmo.com/i/redac/honoraires?honofor=1;"Maison individuelle sur 2 niveaux de 131 m2 sur une belle parcelle de 1330 m2 proche du centre du Vernet, jolie village à seulement 20 km de Toulouse.
Au rez de chaussée, une pièce de vie avec cuisine de 20 m2 et une chambre de 11 m2 avec salle d'eau et wc indépendant. Le garage de 34 m2 est accessible par la partie habitable et posséde un grand portail pour rentrer un véhicule.
A l'étage, une cuisine ouverte sur le séjour de 22 m2 avec accès à une terrasse. Une salle de bain avec baignoire, vasque et un wc séparé. 3 chambres de 10 m2, 11m2 et 13 m2.
Terrain clôturé de 1330 m2 avec piscine de 11x5 à rénover. Un deuxième garage en bout de parcelle de 43 m2.
Vous apprécierez ce bien pour sa situation, quartier calme proche des commerces, des écoles et de la gare.
Nathalie Gamero OXXIMMO ROQUETTES
0688899933
Afficher plus";"['131 m² - 5 pièces - 4 chambres', 'Piscine', 'Orientation : Est / Ouest', '2 garages - 1 parking', '1 balcon (6 m²)', '1 terrasse', 'Année de construction : 1970', 'Chauffage au gaz', ""1 salle d'eau - 1 salle de bain"", '2 wc', None, None, None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/jnslmcb0kdna4zgx6h3r9l4ldcor', 'https://photo.superimmo.com/d4mfbbbf9ari835jmv1d9mj5s4gg', 'https://photo.superimmo.com/2etraxq29g5c75waagtqedoy2jye', 'https://photo.superimmo.com/cqlvoigyzl3dzgf8qt1j8ituqv7q', 'https://photo.superimmo.com/6wbq9bdvziy918f86ghymquvr8gd', None, None, None, None, None]
2;https://www.superimmo.com/annonces/achat-maison-85m-muret-31600-xwazna;170000;6;;2;Muret (31600);1986;13/07/2024;Exclusivité;;Honoraires à la charge du vendeur. Barème d’honoraires : https://api.apimo.pro/uploads/agency/21183/fees_document.pdf?1710781889;"Maison de ville à MURET
A vendre, dans un quartier calme de MURET, une maison de ville sur une surface de 86m2.
Elle vous propose au rez de chaussée, un séjour/salon/cuisine et un wc.
Au 1er étage : 1 chambre et une salle de bains.
Au 2e étage : 1 chambre et 1 bureau.
Au 3e étage : un grenier aménageable.
A noter : la maison possède une terrasse sans vis à vis. Honoraires à la charge du vendeur - RCS 81931340400017";"['85,6 m² - 2 chambres', ""Assainissement : tout à l'égout"", 'Eau chaude individuelle : chaudière', '', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/i0ko04ms1juwp7gggmy6zjeot6yc', 'https://photo.superimmo.com/0qpdgkt6hflob2xyfd78pepynw9x', 'https://photo.superimmo.com/kpv116aa8v6lzlo95r77iw339gwk', 'https://photo.superimmo.com/lpekoabkhexnht03us1k7u5eyukj', 'https://photo.superimmo.com/l3e0exr4dfowsjtcmj5dzyrf76ze', None, None, None, None, None]
3;https://www.superimmo.com/annonces/achat-maison-207m-muret-31600-xwazn2;449000;207;10;7;Muret (31600);2169;13/07/2024;Piscine;;Honoraires à la charge du vendeur. Barème d’honoraires : https://conceptimmoplus.com/fr/nos-honoraires;"SUPERBE PROPRIETE EN VENTE A MURET-SUD
MAGNIFIQUE ET RARE SUR LE SECTEUR !
Projet idéal pour FAMILLES OU INVESTISSEURS :
Située dans un secteur très prisé de MURET-SUD, je vous propose cette ancienne Bergerie de 207 M² rénovée avec goût.
Elle comprend au rez-de-chaussée une pièce de vie spacieuse et lumineuse avec cheminée, une cuisine aménagée ainsi que 2 chambres, 1 salle de bain et toilettes séparés.
L’étage dessert 4 grandes chambres, 1 salle de bain équipée, toilettes séparés.
La découverte de cette maison est suivie d’un espace de vie supplémentaire et 1 chambre attenante.
Les plus : Environnement agréable, proximité du centre-ville et de toutes commodités, Parcelle joliment arborée et clos de plus de 2000 m2, grande piscine chauffée avec pool house, terrasse couverte et parking privé, dépendance en rdc de 70 m2 aménageables, un garage de 30 m2, espaces optimisés, Équipement d’un système de surveillance, menuiseries en double vitrage, maison propre et saine, possibilité de division parcellaire et de créer 3 logements indépendants.
Laissez vous tentez par une visite guidée !
Afficher plus";['207 m² - 10 pièces - 7 chambres - ter. 2 073 m²', 'Piscine', 'Vue dégagée', 'Barbecue', 'Fenêtres double vitrage', 'Cheminée', 'Alarme - Interphone - Vidéosurveillance - Visiophone', '', None, None, None, None, None, None, None, None, None, None, None, None];['https://photo.superimmo.com/7inoevpo521c69wj2vlu0wucqxs0', 'https://photo.superimmo.com/knqn570pa4ntdujkg9ubnooyar9u', 'https://photo.superimmo.com/nepo7f48zxk4a3pzqcu0l95pe1kk', 'https://photo.superimmo.com/6kx5colcxlwfyjkpvnmzsm38w4lu', 'https://photo.superimmo.com/47g5lgu71fznx79nh8xd0djycn5d', None, None, None, None, None]
4;https://www.superimmo.com/annonces/achat-appartement-84m-toulouse-31200-xwazmk;259000;84;4;;Toulouse (31200);3083;13/07/2024;Dernier étage avec ascenseur;;Honoraires à la charge du vendeur.;"Appt T4 de 84m² avec solarium et garage
Toulouse Nord Lalande, proche rocades, écoles et commerces, très bel appartement de 84m² au 3ème et dernier étage avec ascenseur, avec une grande terrasse sur les toits de 46m² sans aucun vis à vis, plein Sud, puis un balcon de 20m².
Une entrée avec placard, un salon ouvert sur la terrasse, une cuisine neuve et entièrement équipée, qui pourra s'ouvrir sur la pièce de vie. La partie nuit avec 3 belles chambres équipées de placards, une salle de bains, une salle d'eau, un WC.
Double vitrage, volets roulants électriques, climatisation réversible.
Garage fermé en sous-sol.
Charges de copro: 570€/mois
Taxe foncière: 1700€
Nombre de copropriétaires: 33
Pas de procédures en cours.
Prix: 259000€ honoraires charge vendeur
MARIA ET TOIT Maria Rebière";"['84 m² (carrez : 83) - 4 pièces', 'Dernier étage (3ème) avec ascenseur', 'Orientation : Sud', 'Année de construction : 2013', ""Assainissement : tout à l'égout"", 'Eau chaude individuelle : chaudière', 'Climatisation', 'Fenêtres double vitrage', 'Digicode - Interphone', '', None, None, None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/qe7h5b79ol383gx68go230jofct5', 'https://photo.superimmo.com/ce31vibjk7aep8zv2ej4m3xk1age', 'https://photo.superimmo.com/n356wqh8qo3pr11ewzwsrwng0m1v', 'https://photo.superimmo.com/zkq5ljazqgbbiq0ivgnluq5xyjl3', 'https://photo.superimmo.com/jn7eojlvwq21ousnneu2rqh2kiwi', None, None, None, None, None]
5;https://www.superimmo.com/annonces/achat-maison-180m-saint-alban-31140-xwazh5;418000;180;7;5;Saint-Alban (31140);2322;13/07/2024;Exclusivité;1 garage - 4 parkings;Honoraires à la charge du vendeur - Prix hors honoraires : 400 000 €. Barème d’honoraires : https://media.immo-facile.com/segments/immo/catalog/images/manufacturers_bareme/90777.pdf;"Nord Toulouse, 5 minutes à pied du centre ville, des écoles, des commerces et de la rocade !
Maison pleine de charme des années 90, l'extension et la surélévation date de 2008 et de récents travaux intérieur ont été réalisés. Son DPE B vous prouve sa qualité de construction, son isolation et son confort de vie.
La maison est entourée par un terrain de 700m² où vous découvrirez plusieurs espaces: une terrasse ombragée, un espace détente, un potager, un puit, une seconde grande terrasse avec un barbecue en pierre et une piscine hors sol SANS VIS A VIS !
En franchissant la porte d'entrée, un hall mène aux différents espaces.
Pour commencer : une pièce de vie climatisé de plus de 50m² où vous pourrez vous détendre en famille. Elle se compose d'un salon, d'une salle à manger et d'une cuisine aménagée et équipée. Cette pièce vous donnera accès à une VERANDA de 18 m² (hors surface habitable) et au JARDIN.
Le coté nuit est climatisé, au RDC, vous disposerez de 4 chambres dont une suite parentale avec sa salle d'eau privative, un WC séparé et une salle d'eau commune. Au 1er étage, vous y trouverez une chambre et un bureau.
L'appartement T2 de 51m² + véranda de 10m² (hors surface habitable) possède une entrée indépendante, vous pourrez le louer environ 600€/mois.
Pour votre confort, vous bénéficierez d'une buanderie, d'une cave, d'un grand GARAGE de 30m², de places de parkings et d'un PUIT.
Cette maison bénéficie d'un entretien soigné. Elle est équipée d'un POELE A BOIS, d'une CLIMATISATION réversible et d'une PISCINE.
Fonbeauzard, Saint-Alban, Aucamville, Castelginest, Toulouse Nord
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques http://www.georisques.gouv.fr
L'Etat des Risques et Pollution peut être consulté sur https://www.georisques.gouv.fr
Afficher plus";['180 m² - 7 pièces - 5 chambres - ter. 700 m²', 'Piscine', '1 garage - 4 parkings', '', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None];['https://photo.superimmo.com/whtk3nqlrhqntlqxz43k1r0pgkuv', 'https://photo.superimmo.com/8n7fzb8732v176nftbgm7mcpkuhi', 'https://photo.superimmo.com/esb3kqueoqm1x53ikruso7rjrg5r', 'https://photo.superimmo.com/7esvfbst1u4wywcvyfqtr44o2wo0', None, None, None, None, None, None]
6;https://www.superimmo.com/annonces/achat-appartement-73m-toulouse-31000-xwazg7;430000;73;3;2;Toulouse (31000);5890;13/07/2024;;;10 000 € TTC inclus dans le prix de vente - Prix hors honoraires : 420 000 €. Barème d’honoraires : https://media.immo-facile.com/segments/immo/catalog/images/manufacturers_bareme/93061.pdf;"Toulouse centre ville, A deux minutes de la place du Capitole, proches toutes commodités, notre Agence ERA Esquirol a le plaisir de vous proposer à la vente ce ravissant T3 de 73m2 lumineux en 1er étage sur 3 d'un immeuble haussmanien de standing.
Vous découvrirez un appartement parfaitement rénové dont la cuisine équipée qui vous séduira par son volume et sa luminosité.
Les chambres de 15 m2 et 8.5 m2 disposent de placards et d'une belle hauteur sous plafond, parquets.
Ce T3 de charme dispose d'une salle de douche spacieuse et d'un WC séparé. Chauffage individuel gaz de ville. Pas de travaux à prévoir.
Une grande cave de 22 m2 complète ce bien.
A visiter sans tarder, bien rare sur secteur.";['73 m² - 3 pièces - 2 chambres', 'Copropriété de 25 lots', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None];['https://photo.superimmo.com/dy30ilwuj1sj0k3xjpufqnb89un7', 'https://photo.superimmo.com/72n7k3kofi9iz3m6tnbjv4zyuqs3', 'https://photo.superimmo.com/gj1q3tqd7xwgvtwuihyy4t84v91m', 'https://photo.superimmo.com/mft1rud3zr9nerwdnlqk8hvpf65b', 'https://photo.superimmo.com/f056ogi8k2k99odta76t28bwmeur', 'https://photo.superimmo.com/0gb35ttpnfa3ejs1k2nsjwkq1l6k', None, None, None, None]
7;https://www.superimmo.com/annonces/achat-appartement-78m-toulouse-31000-xwazg4;366000;78;4;3;Toulouse (31000);4692;13/07/2024;Exclusivité;2 Parkings;16 000 € TTC inclus dans le prix de vente - Prix hors honoraires : 350 000 €. Barème d’honoraires : https://media.immo-facile.com/segments/immo/catalog/images/manufacturers_bareme/93061.pdf;"Toulouse Saint Cyprien - T4 Loggia, Garage et Parking
Votre agence ERA Immobilier Esquirol vous propose à la vente cet appartement T4, situé au coeur du quartier Saint Cyprien.
Idéalement situé proche de l'ensemble des commodités et de la place du Ravelin, venez découvrir cet appartement T4 rénové récemment. Au sein d'une copropriété récente, cet appartement est composé d'une belle pièce de vie lumineuse ouvrant une terrasse fermé, une cuisine indépendante, 3 chambres coté cour, une salle de bain et WC séparé.
Une place de parking aérienne sécurisée et un box en sous-sol complètent cette offre.
Contactez-nous pour organiser une visite dans les meilleurs déais.";['78 m² - 4 pièces - 3 chambres', '2 Parkings', 'Copropriété de 30 lots', '', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None];['https://photo.superimmo.com/7k4qq6f73m6vdnnknqxghpws5shv', 'https://photo.superimmo.com/m2jsbzor3hmb6wmgnlvmom78st67', 'https://photo.superimmo.com/wrpoymdkiudo6h2gymgfm87dfvtc', 'https://photo.superimmo.com/34lkz8lybmwpv2xxrg99o8yjttqh', 'https://photo.superimmo.com/p2q4l9ah21gksn93n7o46ow4bzll', None, None, None, None, None]
8;https://www.superimmo.com/annonces/achat-appartement-38m-aucamville-31140-xwazg1;129000;38;2;1;Aucamville (31140);3395;13/07/2024;Exclusivité;1 Parking;8 000 € TTC inclus dans le prix de vente - Prix hors honoraires : 121 000 €. Barème d’honoraires : https://media.immo-facile.com/segments/immo/catalog/images/manufacturers_bareme/93061.pdf;"TOULOUSE - AUCAMVILLE
L'agence ERA Immobilier Esquirol à le plaisir de vous proposer à la vente ce charmant appartement type T2 de 38m² avec son jardin privatif de 103m2 situé dans une copropriété sécurisé, à taille humaine avec piscine et proche de toutes les commodités.
Cet appartement se compose d'une pièce de vie lumineuse orienté SUD, entièrement climatisé, avec une cuisine ouverte communiquant sur le jardin privatif intimiste et d'une buanderie.
Le coin nuit se compose d'une chambre avec placard, d'une grande salle de bains ainsi qu'un WC indépendant.
Une place de stationnement extérieur vient également compléter ce bien.
A visiter sans tarder !!!";['38 m² - 2 pièces - 1 chambre - ter. 103 m²', '1 Parking', 'Copropriété de 32 lots', '', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None];['https://photo.superimmo.com/pt962m4uu2od6hct4gkkh57zzlo5', 'https://photo.superimmo.com/ny5plvsq5mrf9lu3csdm2m8kr974', 'https://photo.superimmo.com/i3x7acfxq9v8ss82vf7lutyhkaeh', 'https://photo.superimmo.com/h6dwtq5wot7pa911e98j3hrtjz7p', 'https://photo.superimmo.com/04nbxooaoxzp7l9m8xkgfgzbb3jw', 'https://photo.superimmo.com/twxdjg3etysnrcn7nd1mlm81fq69', None, None, None, None]
9;https://www.superimmo.com/annonces/achat-maison-188m-saint-jean-31240-xwazfz;434000;188;7;4;Saint-Jean (31240);2309;13/07/2024;1 garage - 1 parking;;19 500 € TTC inclus dans le prix de vente - Prix hors honoraires : 414 500 €. Barème d’honoraires : https://media.immo-facile.com/segments/immo/catalog/images/manufacturers_bareme/93061.pdf;"L'agence ERA Immobilier Esquirol vous propose à la vente cette maison de construction traditionnelle de 188m2 sur une parcelle de 780m2.
Au coeur d'un quartier calme et paisible, venez découvrir cette maison composée d'un grand salon lumineux ouvrant sur la pisicne, cuisine traditionnelle, 3 chambres, 2 salles d'eau, 1 salle de bain. Un garage de 49m2, ainsi que appartement T2 indépendant au RDC pouvant être rattaché à la maison très facilement.
Cette maison vous séduira avec ses volumes, sa luminosité, sa piscine 8x4 et sa vue dégagé sur les pyrénnées.
Contactez- nous afin d'avoir plus d'information et organiser une visite dans les meilleurs délais.";['188 m² - 7 pièces - 4 chambres - ter. 780 m²', '1 garage - 1 parking', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None];['https://photo.superimmo.com/rvqd0rswyjzqrprfla253ip6bvkd', 'https://photo.superimmo.com/qwym041vyme7k2kdm2oa89s0vntj', 'https://photo.superimmo.com/icngwt92ghbhhjpupw3rohhq0lqf', 'https://photo.superimmo.com/6r75jbmcscdmzc4co8lxqsem3zki', 'https://photo.superimmo.com/rmtpg6xygmd6olqvuhtephtnk5rd', None, None, None, None, None]
