;url;price;surface;nb_pieces;nb_chambres;lieu;prix_m2;date_publication;tag_1;tag_2;tag_3;description;tags;images_url
0;https://www.superimmo.com/annonces/achat-maison-100m-soustons-40140-xwae83;585000;100;4;3;Soustons (40140);5850;11/07/2024;Terrasse;;Honoraires à la charge de l'acquéreur : 4,46% TTC - 25 000 € TTC inclus dans le prix de vente. Barème d’honoraires : voir le barème;Maison rénovée en 2019, avec vue imprenable sur le lac de Soustons, avec une dépendance meublée de 27 m² qui comprend une chambre, une cuisine ouverte sur le séjour, une salle d'eau/wc et une terrasse. La maison se compose d'une cuisine aménagée et équipée ouverte sur un vaste séjour lumineux de 44 m², de trois chambres dont une suite parentale avec dressing et salle d'eau/wc, d'un cellier, d'une salle d'eau, d'un wc indépendant. Vous trouverez à l'extérieur un local avec un appentis, une grande terrasse de 67 m² sur une parcelle de 701 m². La dépendance a sa propre entrée indépendante. (4.46 % honoraires TTC à la charge de l'acquéreur.);"['100 m² - 4 pièces - 3 chambres - ter. 701 m²', 'Orientation : Est, Ouest, Sud, Sud-Ouest', 'Terrasse', ""Assainissement : tout à l'égout"", '2 wc', '', None, None, None, None, None, None, None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/ec3et2snmbmvwy07naa6xt9n01qb', 'https://photo.superimmo.com/vgvfoo5rf5liklxfjesvrpkal53c', 'https://photo.superimmo.com/7g9kp1vkevbfq50t84niqy2h2gte', 'https://photo.superimmo.com/w1niqckueir1dqtjxw88ooiat2fd', 'https://photo.superimmo.com/jo1qan9415l1530pe886cl4gj8tm', None, None, None, None, None]
1;https://www.superimmo.com/annonces/achat-maison-246m-pissos-40410-xwae0u;498000;246;9;6;Pissos (40410);2024;11/07/2024;;;Honoraires à la charge du vendeur. Barème d’honoraires : https://media.immo-facile.com/segments/immo/catalog/images/manufacturers_bareme/291937.pdf;Magnifique propriété offrant 245 m² habitables nichée en plein bourg dans un écrin de verdure de plus de 3800 m². Elle vous offre une vaste entrée, 6 chambres de tailles incroyables, 2 salles de bains, un double séjour, une cuisine... Possibilité d'aménager les combles qui sont en parfait état. Dépendances à découvrir... Le charme de l'ancien avec le confort d'aujourd'hui...;"['246 m² - 9 pièces - 6 chambres - ter. 3 867 m²', 'Plain-pied', 'Année de construction : 1785', ""1 salle d'eau - 1 salle de bain"", '2 wc', 'Fenêtres double vitrage', None, None, None, None, None, None, None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/v5px9n6ywfx1srniz22djuejk451', 'https://photo.superimmo.com/zhj6c9pvjlisj2ozl4wt4ep9samt', 'https://photo.superimmo.com/dvzbto298x147e1w72ql0poq6t62', 'https://photo.superimmo.com/jwvoxmooqv472qmx3u1ogsvy0eps', 'https://photo.superimmo.com/mj5iijb9jtud1pjkdw00y3av76kz', None, None, None, None, None]
2;https://www.superimmo.com/annonces/achat-maison-129m-narrosse-40180-xwae0k;270300;129;4;3;Narrosse (40180);2095;11/07/2024;;;Honoraires à la charge du vendeur. Barème d’honoraires : https://media.immo-facile.com/segments/immo/catalog/images/manufacturers_bareme/265236.pdf;"A vendre, charmante maison de 129m² située à Narrosse, à quelques minutes de Dax. Cette maison agrandie offre un cadre de vie confortable avec 3 chambres, dont une suite parentale, permettant à chaque membre de la famille de profiter de son espace privé. La salle d'eau est équipée d'une moderne douche à l'italienne. La maison bénéficie d'un système de chauffage efficace avec un poêle à pellets et un complément électrique, idéal pour les soirées d'hiver. L'extérieur n'est pas en reste avec une grande terrasse, parfaite pour des repas en extérieur ou simplement pour se détendre. Cette propriété représente une excellente opportunité pour ceux qui cherchent à vivre dans un environnement paisible tout en restant proche des commodités urbaines. Contactez-nous pour organiser une visite ou obtenir plus d'informations.
Afficher plus";"['129 m² - 4 pièces - 3 chambres - ter. 738 m²', 'Orientation : Est, Ouest, Sud, Sud-Ouest', 'Année de construction : 1970', ""Assainissement : tout à l'égout"", ""1 salle d'eau - 1 salle de bain"", '1 wc', 'Fenêtres double vitrage', '', None, None, None, None, None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/1vuxoc9kv1yaej0myar6h5q8in7f', 'https://photo.superimmo.com/xghvrx07ftdh78x5oj2q1c5b26pu', 'https://photo.superimmo.com/u8l3xmatoxy93fpjkbtpb4zalutm', 'https://photo.superimmo.com/byv94qid8qathojo92bot717c8uf', 'https://photo.superimmo.com/t1vzpaks2scloqdfioa6exjx2362', None, None, None, None, None]
3;https://www.superimmo.com/annonces/achat-maison-160m-saint-geours-de-maremne-40230-xwadn6;440000;160;5;4;Saint-Geours-de-Maremne (40230);2750;11/07/2024;2 balcons;1 terrasse;Honoraires à la charge de l'acquéreur : 3,09% TTC - 13 200 € TTC inclus dans le prix de vente. Barème d’honoraires : https://files.netty.immo/file/meilleurconseil/303/9oGU8/bareme_mci_2.pdf;"Jolie maison à ne pas manquer ....
À seulement 20 minutes des plages landaises,25 minutes de Dax,30 minutes de Bayonne laissez-vous séduire par cette charmante maison atypique de 160 m², idéalement située à proximité des grands axes, des commerces et des écoles. Sur un terrain clos et arboré de 1670 m², piscinable et constructible.
La maison vous accueille avec une belle pièce de vie lumineuse, agrémentée d'un insert, une cuisine fonctionnelle, une chambre avec salle d'eau attenante et un WC indépendant.
À l'étage, un grand palier vous conduit à une suite parentale, deux chambres supplémentaires et un espace aménagé en bibliothèque, pouvant être transformé en salle de bain selon vos envies.
Cette maison au caractère unique et au potentiel évolutif n'attend plus que vous.
Vidéo du bien disponible sur simple demande.
Contactez Guillaume Despouy au 06 71 37 44 60 dès maintenant pour plus de renseignements et pour organiser une visite ! ADISHATZ
Honoraires inclus de 3.09% TTC à la charge de l'acquéreur. Prix hors honoraires 426 800 €. Classe énergie E, Classe climat B Montant moyen estimé des dépenses annuelles d'énergie pour un usage standard, établi à partir des prix de l'énergie de l'année 2021 : entre 2230.00 et 3060.00 €. Ce bien vous est proposé par un agent commercial. Nos honoraires :
Votre conseiller Meilleur Conseil Immo : Guillaume DESPOUY - Tél. 0671374460
Agent commercial (Entreprise individuelle)
Afficher plus";"['160 m² - 5 pièces - 4 chambres - ter. 1 670 m²', '1 garage - 1 parking', '2 balcons', '1 terrasse', 'Année de construction : 1948', 'Chauffage individuel', 'Cuisine séparée, équipée', 'Séjour de 40 m²', ""2 salles d'eau"", 'Wc séparé - 2 wc', None, None, None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/rlrdxpfmsge69yg0nbjhg0r6wnqe', 'https://photo.superimmo.com/dljam0lkm417zjn7nnz5b90stk71', 'https://photo.superimmo.com/13syyi92vg781x20f105w1col5yn', 'https://photo.superimmo.com/pttfip2kbhvxwq12gddgo3vj7aj9', 'https://photo.superimmo.com/slr2s5un1na3juac8qijlgtoco41', None, None, None, None, None]
4;https://www.superimmo.com/annonces/achat-appartement-76m-dax-40100-xwadi0;228000;76;3;2;Dax (40100);3000;11/07/2024;Exclusivité;Étage 2/4 avec ascenseur;Honoraires à la charge de l'acquéreur : 8,57% TTC - 18 000 € TTC inclus dans le prix de vente. Barème d’honoraires : https://files.netty.immo/file/immodax/honoraires;"Appartement de type T3 situé au 2ème étage d'une résidence sécurisée avec ascenseur proche du proche du centre ville et des commerces.
Cet appartement d'une superficie de 76 m² environ est composé d'une entrée, d'un grand séjour de 33 m² avec balcon (offrant une vue dégagée sur la ville de Dax et le parc de la résidence), d'une cuisine aménagée et équipée partiellement ouverte sur le séjour, de 2 chambres avec placard, d'une salle d'eau, d'un WC indépendant avec placard.
L'ensemble de l'appartement est en très bon état.
Au sous sol de la résidence, une cave, et un parking couvert avec cagibis complètent l'ensemble.
Résidence très bien entretenue.
Pas de procédure en cours.
Plus d'informations contacter:
Thierry DUPRAT 07 68 51 33 00
Agent Commercial en Immobilier Agence IMMODAX. Indépendant et inscrit au RSAC de DAX 793 088 501
Honoraires inclus de 8.57% TTC à la charge de l'acquéreur. Prix hors honoraires 210 000 €. Dans une copropriété de 88 lots. Aucune procédure n'est en cours. Classe énergie C, Classe climat A Montant moyen estimé des dépenses annuelles d'énergie pour un usage standard, établi à partir des prix de l'énergie de l'année 2023 : entre 780.00 et 1100.00 €. Ce bien vous est proposé par un agent commercial. Nos honoraires : Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : georisques.gouv.fr
Votre conseiller IMMODAX : Thierry DUPRAT - Tél. 0768513300
Agent commercial (Entreprise individuelle)
RSAC 793088501
N'hésitez pas à nous contacter pour obtenir la fiche complète !
SANS ENGAGEMENT
Afficher plus";"['76 m² - 3 pièces - 2 chambres', 'Étage 2/4 avec ascenseur', 'Orientation : Est / Ouest', 'Vue dégagée', '1 Garage', 'Cave', '1 balcon (3 m²)', 'Année de construction : 1990', 'Chauffage individuel électrique', 'Cuisine séparée, équipée', 'Séjour de 33 m²', ""1 salle d'eau"", 'Wc séparé - 1 wc', 'Digicode', 'Copropriété de 88 lots', '', None, None, None, None]";['https://photo.superimmo.com/qmk5ix72szffr4xd0vp9djazrmdx', 'https://photo.superimmo.com/vl4io03qqedtklz345iij8s0njo8', 'https://photo.superimmo.com/468dlcan4yq37d5yfkfghy9jya30', 'https://photo.superimmo.com/bye1cm63wfiz1p56qre5r9zptu1r', 'https://photo.superimmo.com/c9ctwec9ud3jkich7rchg5w5bek1', None, None, None, None, None]
5;https://www.superimmo.com/annonces/achat-maison-200m-lit-et-mixe-40170-xwacu2;305000;200;7;6;Lit-et-Mixe (40170);1525;11/07/2024;1 garage - 3 parkings;Cuisine équipée;Honoraires à la charge de l'acquéreur : 5,17% TTC - 15 000 € TTC inclus dans le prix de vente. Barème d’honoraires : https://files.netty.immo/file/swellimmo/606/W2MOQ/bareme_des_honoraires_swell_immo_2024.docx_googledocs.pdf;"Proche des commerces et à 10 mn de l'océan, maison sur 2 niveaux avec de beaux volumes composée :
- au rez-de-chaussée d'un appartement T4 de 76m² avec cuisine aménagée, salon-séjour, 3 chambres, salle de bains avec WC , atelier. Garage attenant.
- à l'étage, d'un appartement T5 de 124m² avec belle cuisine équipée, salon-séjour, 4 chambres, salle de bains et WC indépendant.
La maison possède également un jardin clos, arboré entièrement constructible de 1240 m² avec un garage indépendant et 2 ateliers.
Cette maison peut correspondre à plusieurs profils pour une résidence principale ou secondaire ou pour un investissement locatif avec deux habitations indépendantes.
Honoraires inclus de 5.17% TTC à la charge de l'acquéreur. Prix hors honoraires 290 000 €. Dans une copropriété de 1 lots. Aucune procédure n'est en cours. Classe énergie D, Classe climat D Montant moyen estimé des dépenses annuelles d'énergie pour un usage standard, établi à partir des prix de l'énergie de l'année 2021 : entre 2680.00 et 3690.00 €. Nos honoraires :
Afficher plus";['200 m² - 7 pièces - 6 chambres - ter. 1 240 m²', 'Orientation : Nord, Nord-Ouest, Est, Ouest', '1 garage - 3 parkings', 'Année de construction : 1971', 'Chauffage individuel au gaz', 'Cuisine équipée', '2 salles de bain', 'Wc séparé - 2 wc', 'Cheminée', 'Copropriété de 1 lots', None, None, None, None, None, None, None, None, None, None];['https://photo.superimmo.com/a2iuuycqgfw2hd9tanbfu9w01g5b', 'https://photo.superimmo.com/hpclhq6bes5d9vwslsuq7argvby7', 'https://photo.superimmo.com/w2f0efo9m96x058tzrk4zlodh708', 'https://photo.superimmo.com/5pbt09jc9wswtb9ybudzinq0ood1', 'https://photo.superimmo.com/ybb2i9v9imk9hjrr3cnhwaqlznkj', None, None, None, None, None]
6;https://www.superimmo.com/annonces/achat-maison-90m-vielle-saint-girons-40560-xwabr4;280900;90;4;3;Vielle-Saint-Girons (40560);3121;11/07/2024;5 Parkings;;Honoraires à la charge de l'acquéreur : 6% TTC - 15 900 € TTC inclus dans le prix de vente. Barème d’honoraires : https://www.human-immobilier.fr/Content/pdf/bareme_honoraires_human_immobilier.pdf;A 5 kms de la plage de Saint Girons, située dans un quartier calme et arboré, sur une parcelle agréable, maison fonctionnelle et saine offrant une pièce de vie avec cheminée, cuisine à aménager et équiper, 3 chambres, garage attenant et charmante dépendance en bois. Pour maison de vacances, résidence principale ou locatif... Proposition d'aménagement virtuel non contractuelle en dernière photo.;['90 m² - 4 pièces - 3 chambres - ter. 988 m²', '5 Parkings', '1 salle de bain', '1 wc', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None];['https://photo.superimmo.com/ibut1qq6bmubxc6nw756anavtn72', 'https://photo.superimmo.com/gg4vg4u9vrfubh9ztsvmp1g8prrb', 'https://photo.superimmo.com/piyyndoq2lktw73pu350nftvbzzm', 'https://photo.superimmo.com/8cif14ydtt0eyrfky98p29ghhww4', 'https://photo.superimmo.com/bwwvmxj46712k30sbuyad55lac8h', None, None, None, None, None]
7;https://www.superimmo.com/annonces/achat-appartement-58m-labenne-40530-xwabqv;240926;58;3;2;Labenne (40530);4154;11/07/2024;Dernier étage avec ascenseur;1 Parking;Honoraires à la charge de l'acquéreur : 6% TTC - 13 638 € TTC inclus dans le prix de vente. Barème d’honoraires : https://www.human-immobilier.fr/Content/pdf/bareme_honoraires_human_immobilier.pdf;Opportunité à saisir! Cet appartement se situe à seulement 5 minutes à pieds de l'océan, des commerces et des activités diverses. T3 au première étage avec ascenseur dans une résidence avec un bel espace vert. Aucun travaux à prévoir. De plus un garage et une place de stationnement couverte. A découvrir sans tarder!;['58 m² - 3 pièces - 2 chambres', 'Dernier étage (1er) avec ascenseur', '1 Parking', '1 salle de bain', '1 wc', '', None, None, None, None, None, None, None, None, None, None, None, None, None, None];['https://photo.superimmo.com/zqgbjn2xo95ltarwfbhkxx8z8vgi', 'https://photo.superimmo.com/f3kjdum1uxqr6kzpsodypww0ou0n', 'https://photo.superimmo.com/l2cw28wwiq2tf38mesgo3x4ihslz', 'https://photo.superimmo.com/rybkwdwfsijxhpehute6vbfmnd3v', 'https://photo.superimmo.com/8behwpw1ax4om8rjb47afmer5xz2', None, None, None, None, None]
8;https://www.superimmo.com/annonces/achat-maison-150m-labenne-40530-xwabop;880000;150;6;4;Labenne (40530);5867;11/07/2024;6 Parkings;;Honoraires à la charge de l'acquéreur : 4% TTC - 33 847 € TTC inclus dans le prix de vente. Barème d’honoraires : https://www.human-immobilier.fr/Content/pdf/bareme_honoraires_human_immobilier.pdf;Au calme, les commerces à pieds, maison spacieuse et lumineuse rénovée avec des matériaux de qualité. De plain pied une belle pièce de vie de 63m², deux suites parentales avec dressing et salle d'eau. A l'étage, deux chambres, une salle de jeux et une salle d'eau. A l'extérieur, une cuisine d'été, un spa intimiste et un garage.;"['150 m² - 6 pièces - 4 chambres - ter. 1 157 m²', '6 Parkings', ""3 salles d'eau"", '2 wc', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/0jysbn0f6ytg8lxkmf8wcqfjnup5', 'https://photo.superimmo.com/b66v8591bplcweb2sjjrkcbhrq27', 'https://photo.superimmo.com/59fygelvagt5t1aus5wzjvsx43az', 'https://photo.superimmo.com/bit6sl5fv9b9vdveh0gcwp5ae9v2', 'https://photo.superimmo.com/87d8t048z7pnr90wzo548nxi4160', None, None, None, None, None]
9;https://www.superimmo.com/annonces/achat-maison-111m-saint-paul-les-dax-40990-xwaafy;225000;111;6;4;Saint-Paul-lès-Dax (40990);2027;10/07/2024;Exclusivité;Balcon;Barème d’honoraires : https://welmo.fr/;"Welmo, l'agence immobilière en ligne, vous présente :
SAINT-PAUL-LES-DAX - 40190 - MAISON - 111m2 - 6 PIECES - 4 CHAMBRES - JARDIN - RENOVATION
Vous souhaitez visiter ce bien ? Planifiez directement une visite sur le site Welmo avec la référence : S1lwDfVovR
Au coeur d’un quartier calme et résidentiel, entre le lac et les commerces, venez découvrir cette maison individuelle non mitoyenne à fort potentiel sur un terrain clos et arboré.
D’une surface de 111m2 elle se compose de deux niveaux :
Au Rez-de-Chaussée :
- un double séjour d’une surface de 27m2 avec sa cheminée, ouvrant une terrasse extérieure orientée SUD-EST
- une chambre de 9m2
- une salle de bain
- un WC séparé
- une cuisine indépendante et SPACIEUSE de 11m2
- une véranda de 11,6 m2 orientée à l’OUEST avec une vue et un accès au jardin.
- une BUANDERIE de 9m2 attenante à un PREMIER GARAGE de 12m2
Au gré de travaux d’ouverture sur un mur porteur, les PIECES DE VIE peuvent être repensées et modernisées pour disposer d’une lumière traversante et d’un accès direct à la cuisine.
A l’étage vous trouverez :
- 2 belles CHAMBRES de 10,2m2 et 12,7m2 avec parquet d’origine et placards, orientées SUD-EST
- une pièce de stockage
- une 3e CHAMBRE de 13,7m2 avec parquet et placard orientée SUD-OUEST, offrant un accès à une salle d’eau attenante
- un bureau
Cet espace pourrait être repensé en SUITE PARENTALE avec DRESSING et SALLE DE BAIN.
Un accès aux sous-pentes existe également et offre un espace de stockage complémentaire.
A l’extérieur:
Vous jouirez d’un terrain d’une surface totale de 498m2, et d’un GARAGE de 24,50 complémentaire pouvant faire office d’ATELIER ou d’une dépendance.
*Accessibilité
- Leclerc et autres enseignes du Grand Mail à 4 minutes
*Transports :
- ligne de Bus n° 3
- A 5 min en voiture de la GARE DE DAX
Vous l’aurez compris cette maison FAMILIALE dispose d’un FORT POTENTIEL et attend les propriétaires qui sauront lui donner une seconde jeunesse, comme pour l’ont vécu ses voisines de quartier.
DPE réalisé après Juillet 2021
Welmo, commission de 3.5 % à la charge de l'acquéreur incluse dans le prix de vente affiché
La présente annonce immobilière a été rédigée par Angélique Thépaut-Calvez, agent commercial de la SAS WELMO France, immatriculé au RSAC de DAX sous le numéro 922289038
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www.georisques.gouv.fr
Afficher plus";['111 m² - 6 pièces - 4 chambres - ter. 498 m²', '1 niveau', 'Orientation : Est, Ouest, Sud, Sud-Ouest', 'Balcon', 'Terrasse', 'Chauffage individuel au gaz', 'Jardin privatif', 'Cheminée', None, None, None, None, None, None, None, None, None, None, None, None];['https://photo.superimmo.com/9k4atftea6gh0u3lg6soigchurcz', 'https://photo.superimmo.com/501bs5dnsrk50faaibr5tc1g8q5l', 'https://photo.superimmo.com/p02sxdz87hvqop5gzw07hlk3rmlt', 'https://photo.superimmo.com/taaviphetw5nrzzg7r4q824u72qu', 'https://photo.superimmo.com/gaazdnr2aijk27c6l0me4ob17w7d', None, None, None, None, None]
