;url;price;surface;nb_pieces;nb_chambres;lieu;prix_m2;date_publication;tag_1;tag_2;tag_3;description;tags;images_url
0;https://www.superimmo.com/annonces/achat-maison-143m-le-loroux-bottereau-44430-xwb1si;359000;143;7;4;Le Loroux-Bottereau (44430);2510;13/07/2024;1 Garage;Cuisine aménagée, équipée;Honoraires à la charge de l'acquéreur : 4,05% TTC - 14 000 € TTC inclus dans le prix de vente - Prix hors honoraires : 345 000 €. Barème d’honoraires : https://assets.adaptimmo.com/bareme/85002/bareme.pdf;"Agence AXO Le Landreau et ravis de vous présenter cette perle rare : une maison chaleureuse nichée au cœur du vignoble, offrant un cadre de vie enchanteur à découvrir sans tarder et proche des commerces de proximités, des écoles... Rendez-vous sur la commune du Landreau, à seulement 5 minutes du Loroux-Bottereau que je vous propose de venir déposer vos valises ! Dès votre arrivée, vous serez chaleureusement accueillis dans une belle pièce à vivre, baignée de lumière naturelle et agrémentée d'une cheminée avec insert, parfaite pour des instants de convivialité en famille. La cuisine ouverte, véritable cœur de la maison, vous invite à la création de délicieux repas gourmands. Ce plus avec une véranda aux environs des 28m2 vous permet de profiter d'un autre espace tout au long de l'année chauffée, avec une cheminée pour des soirées douillettes en hiver, et rafraîchie par une brise estivale en été. Côté nuit, trois chambres confortables vous attendent, accompagnées d'une salle de bains, de toilettes et d'un dégagement pour préserver votre intimité. Et pour parfaire ce tableau idyllique, une quatrième chambre parentale indépendante avec salle de bain attenante et WC vous offre un havre de paix ultime pour une détente totale. Vous permettant d'accueillir vos proches ou autres... Le tout s'ouvre sur un terrain aménagé, arboré et agrémenté d'une piscine privée chauffée, véritable oasis de fraîcheur et de tranquillité pour des moments inoubliables en famille ou entre amis. Local technique à disposition, garage... Ne laissez pas passer cette opportunité unique de vivre dans un cadre idyllique où le charme et la sérénité règnent en maître. Contactez-moi dès aujourd'hui pour organiser une visite et faire de cette maison votre havre de paix au cœur du vignoble. TRES BELLE OPPORTUNITE, FAIRE VITE !!! Contactez Catherine CHENAIS au 06 37 55 26 96, AXO - L'immobilier Actif, Négociatrice en Immobilier Salariée. Plus d'informations sur (réf. 85002111268) et . Honoraires : 4,06 % TTC inclus charge acquéreur (345 000 € hors honoraires). Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : https://www.georisques.gouv.fr/
Afficher plus";"['143 m² - 7 pièces - 4 chambres - ter. 812 m²', 'Piscine', 'Sans vis-à-vis', '1 Garage', 'Année de construction : 1985', 'Chauffage électrique', 'Cuisine aménagée, équipée', ""1 salle d'eau - 1 salle de bain"", '2 wc', '1 chambre au rez-de-chaussée', None, None, None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/oz6iknul3dbpmqi4xc3rwebry8lt', 'https://photo.superimmo.com/ql8x1aqx6iec7wx6n6vgwigvloh7', 'https://photo.superimmo.com/2csd2nsl4bzfbbc85jqw1ul1c6fs', 'https://photo.superimmo.com/zx3l3irvmytnfd2zh33oen492z6i', 'https://photo.superimmo.com/kd0evd4zy2dsi7ka4qfzv2l5k7jz', None, None, None, None, None]
1;https://www.superimmo.com/annonces/achat-maison-114m-clisson-44190-xwb1sa;210000;114;4;2;Clisson (44190);1842;13/07/2024;1 Garage;Chauffage électrique;Honoraires à la charge de l'acquéreur : 5% TTC - 10 000 € TTC inclus dans le prix de vente - Prix hors honoraires : 200 000 €. Barème d’honoraires : https://assets.adaptimmo.com/bareme/85002/bareme.pdf;"A 15 minutes de Clisson A La Bruffière, en village, avec vue sur la campagne ensemble de 2 maisons libres comprenant : - une maison d'habitation de plain pied, avec séjour-cuisine, salon indépendant, une chambre, dégagement, lingerie, toilettes et salle d'eau. Garage, préau. - autre maison vide en pierre comprenant : - séjour-cuisine de 19 m2, 1chambre 11,60 m2, toilettes et salle d'eau. L'ensemble jardin-prairie avec pièce d'eau d'une surface d'environ 4500 m2. Contactez Amélie PINEAU au 06 81 75 42 98, AXO - L'immobilier Actif, Agent Commercial RSAC 829.740.364 La Roche sur Yon. Plus d'informations sur (réf. 85002112537) et . Honoraires : 5 % TTC inclus charge acquéreur (200 000 € hors honoraires). Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : https://www.georisques.gouv.fr/
Afficher plus";"['114 m² - 4 pièces - 2 chambres', '1 Garage', 'Année de construction : 1976', 'Chauffage électrique', ""1 salle d'eau"", '2 wc', None, None, None, None, None, None, None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/kfk21mm00vx0npvzhz7z3h3vpobv', 'https://photo.superimmo.com/xtxe7hpo2dxe0vn2liyqsv8osa0i', 'https://photo.superimmo.com/2fycxsy57ayueykt822nuh9hwkt9', 'https://photo.superimmo.com/lr5emb0itfpxoqvnarpgl27fe0hx', 'https://photo.superimmo.com/zans930pwt4m42kwwabxyun19xv0', None, None, None, None, None]
2;https://www.superimmo.com/annonces/achat-maison-134m-missillac-44780-xwb1ra;365000;134;6;4;Missillac (44780);2724;13/07/2024;Exclusivité;Terrasse;Honoraires à la charge du vendeur. Barème d’honoraires : https://assets.adaptimmo.com/bareme/75008/bareme.pdf;"Exclusivité:découvrez cette magnifique longère en pierres située à Missillac,une opportunité rare pour les amateurs de calme et de charme authentique.Nichée à proximité des grands axes routiers et à un quart d'heure de la mer, cette propriété allie tranquilité et accessibilité. Emplacement idéal: dans un cadre paisible , cette maison est idéale pour ceux qui recherchent la sérénité sans être totalement isolés. Elle permet un accès rapide aux commodités et aux plages du littoral. Le terrain ( divisible) fait 1385m2 , parfait pour les amoureux de la nature et les activités de plein air et le plus: une dépendance dessus peut être rénovée.Spacieuse , elle comporte 4 chambres et une belle pièce de vie d'environ 60 m2 ,une grande cuisine et une salle d'eau de belle surface aussi.Une cave en terre battue complète le bien. Une terrasse en gravier a été faite derrière la maison côté Ouest, de quoi satisfaire les plus exigeants. Je serais ravie de vous la montrer plus en détails. Réf. 22446 Honoraires TTC charge vendeur Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www. georisques. gouv. fr Information et visites : Ghislaine PEDRONNO - 06 74 68 39 00 - Ville du greffe : AGENT COMMERCIAL EI RSAC NANTES 793 352 592 La présente annonce immobilière a été rédigée sous l'entière responsabilité de Ghislaine PEDRONNO, mandataire indépendant pour NAOS immobilier
Afficher plus";['134 m² - 6 pièces - 4 chambres - ter. 1 345 m²', 'Orientation : Ouest, Sud', 'Sans vis-à-vis', '1 garage - 5 parkings extérieurs', 'Cave', 'Terrasse', 'Année de construction : 1940', 'Chauffage électrique', 'Cuisine aménagée, équipée', '1 salle de bain', '1 wc', '1 chambre au rez-de-chaussée', None, None, None, None, None, None, None, None];['https://photo.superimmo.com/j3vorlyjs5icesrxd8z00884e43s', 'https://photo.superimmo.com/fz8sk5pjy6riucwh99u9yzkwut28', 'https://photo.superimmo.com/bcp1yggyqvzqhitz6ym4zcsuh9uu', 'https://photo.superimmo.com/u4h5feb4qhz2xu0l22hbz0n9vrdy', 'https://photo.superimmo.com/sy9jbgvx554rjnfd9pn4s5glv3op', None, None, None, None, None]
3;https://www.superimmo.com/annonces/achat-maison-113m-saint-etienne-de-mer-morte-44270-xwb1lz;248254;3;5;;Saint-Etienne-de-Mer-Morte (44270);2191;13/07/2024;;;Barème d’honoraires : https://www.century21-lm-machecoul.com/;SAINT ETIENNE DE MER MORTE très jolie maison de bourg décorée avec goût, elle saura vous séduire tant par ses volumes et son cachet que par ses extérieurs vous révélant un sublime jardin. Elle se compose d'une très grande et lumineuse pièce de vie avec sa cuisine ouverte AE de plus de 67 m, une salle d'eau et une salle de bain ainsi que deux chambres. Vous trouverez également des dépendances non attenantes dont un garage et une pièce chauffée pouvant servir de chambre en y aménageant une SDE pour une totale indépendance. Véritable coup de cœur pour cette maison tant à l'intérieur qu'à l'extérieur. Réf : 678 SB;['113,3 m² - 5 pièces - ter. 930 m²', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None];['https://photo.superimmo.com/94n568vazg6l02oee5ss8wzdb6rt', 'https://photo.superimmo.com/hyh27aomqlh14hehjcdi2p1rv833', 'https://photo.superimmo.com/ov6yvyhog06yv43kvpqdittyum3u', 'https://photo.superimmo.com/3w0qnebwqw6nqetlx7xw9cjkoqqq', 'https://photo.superimmo.com/jqy8hyj6c3uc3r7pmqydkq7m7wo4', None, None, None, None, None]
4;https://www.superimmo.com/annonces/achat-maison-100m-machecoul-saint-meme-44270-xwb1ly;230000;6;5;;Machecoul-Saint-Même (44270);2286;13/07/2024;;;Barème d’honoraires : https://www.century21-lm-machecoul.com/;MACHECOUL BOURG, nous vous proposons de visiter cette agréable maison située au coeur de son quartier calme et familial.Elle dispose en son rez-de-chaussée, d'une grande pièce de vie avec cuisine meublée et équipée, d'une chambre avec son espace douche et lavabo.En empruntant l'escalier, vous découvrirez un dégagement desservant 2 chambres, un bureau et une salle de bain.Lors des belles journées printanières et estivales, vous apprécierez le jardin clos et bien exposé, ainsi que la luminosité de la maison.Celle-ci a fait l'objet de plusieurs aménagements récents : poële à bois, ballon d'eau chaude, changement porte d'entrée et fenêtres, pompe du puits...REF 677 AP;['100,6 m² - 5 pièces - ter. 404 m²', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None];['https://photo.superimmo.com/xjjvukl4twmyboujqt9y64wwwcqa', 'https://photo.superimmo.com/b5fjf5gxfmsxxq802nbzawbgwtpp', 'https://photo.superimmo.com/br5gj9fw474dcizu0xyjz1lvhtq3', 'https://photo.superimmo.com/jmx3kw1loz9fap84zwx5ve8gt4lb', 'https://photo.superimmo.com/tkv933568l5xjqrtvctcvm8nlxgl', None, None, None, None, None]
5;https://www.superimmo.com/annonces/achat-appartement-24m-nantes-44000-xwb0ub;105900;45;1;;Nantes (44000);4331;13/07/2024;Meublé;Étage 1/2;Honoraires à la charge de l'acquéreur : 5,9% TTC - 5 900 € TTC inclus dans le prix de vente. Barème d’honoraires : greenkeyimmo.com;"NANTES (Hauts-Pavés)

AVEC GREEN KEY IMMO - GAGNEZ DU TEMPS - VISITE VIRTUELLE 3D DISPONIBLE !

Rue des Hauts-Pavés, à 5 minutes de la place Viarme et du Tramway 3, dans une petite résidence sécurisée, venez découvrir ce studio de 24,45 m2 qui vous offre une entrée avec grand placard, une pièce de vie de 18 m2, une cuisine séparée, une salle d'eau avec WC (et branchement lave-linge).

Aucuns travaux à prévoir.
Double vitrage.
DPE : D (conso) / A (ges)
Idéal investissement locatif.

Visite virtuelle 3D et plan 2D disponibles, comme pour chaque bien immobilier proposé par Green Key Immo !
Green Key Immo est à votre disposition pour répondre à toutes vos questions par téléphone, email ou messagerie (WhatsApp, Signal ou Telegram).";"['24,45 m² - 1 pièce', 'Étage 1/2', 'Orientation : Est, Ouest, Sud, Sud-Ouest', 'Année de construction : 1930', 'Chauffage individuel électrique (radiateurs)', 'Cuisine séparée, équipée', ""1 salle d'eau"", '1 wc', None, None, None, None, None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/9x1lyg94yiuc0ndrbckt8gtr73gl', 'https://photo.superimmo.com/od1q29qf0l25zgitjutl4fort54a', 'https://photo.superimmo.com/69gpa1sbf48o7di80psg5cmv7u4h', 'https://photo.superimmo.com/td9wltwgxer5mv6vrsezw1b5ps3l', 'https://photo.superimmo.com/s47r6ktnvexn1hq60xyz7n21gw2m', 'https://photo.superimmo.com/gtuvhgzap9voawg1fsh6klttaw3k', None, None, None, None]
6;https://www.superimmo.com/annonces/achat-appartement-33m-nantes-44100-xwb0ss;136500;73;2;1;Nantes (44100);4047;13/07/2024;Dernier étage avec ascenseur;1 Parking;Honoraires à la charge de l'acquéreur : 5% TTC - 6 500 € TTC inclus dans le prix de vente. Barème d’honoraires : https://www.angelitaimmo.com/;"Vue dégagée pour cet appartement très fonctionnel.
Entrée avec placards, séjour avec cuisine américaine, chambre, salle d'eau avec toilettes.
Une cave et une place de parking aérien complètent ce bien - A visiter rapidement
Quelques travaux à prévoir.
Indformation et visites au 0781171167";['33,73 m² - 2 pièces - 1 chambre', 'Dernier étage (4ème) avec ascenseur', 'Orientation : Nord / Sud', '1 Parking', 'Cave (5 m²)', 'Année de construction : 1969', 'Chauffage individuel électrique (radiateurs)', 'Cuisine ouverte', 'Séjour de 17 m²', '1 salle de bain', '1 wc', 'Interphone', 'Copropriété de 20 lots', '', None, None, None, None, None, None];['https://photo.superimmo.com/9d62nt482bg963in13r0xf1enfsc', 'https://photo.superimmo.com/9o1f1jojydv3uqzcgcd7fneapzsh', 'https://photo.superimmo.com/podlmnu4nj27b7j974vqrczc6zvq', None, None, None, None, None, None, None]
7;https://www.superimmo.com/annonces/achat-maison-156m-le-clion-sur-mer-44210-xwb0sc;540000;156;5;4;Pornic (44210) (Le Clion sur Mer);3462;13/07/2024;1 terrasse;1 garage - 2 parkings;Honoraires à la charge du vendeur. Barème d’honoraires : https://www.valenti-immobilier.com;"Belle maison neuve avec des beaux volumes, située dans le secteur du PORT CHERI comprenant : une entrée donnant sur une trés grande et belle pièce de vie lumineuse une cuisine à créer par vos soins, une suite parentale avec dressing, une salle d'eau, WC séparées et une buanderie. A l'étage : un palier, trois chambres dont deux avec placard, une salle d'eau, un WC séparés et des combles aménageables. Un garage ainsi qu'un jardin exposé Sud de 420 m2 avec terrasse. La pose des placards et l'aménagement extérieur sont à prévoir. Bien en copropriété de 207 lots, charges annuelle de 110 euro. Montant estimé des dépenses annuelles d'énergie pour un usage standard : entre 690 EUR et 933 EUR par an. Prix moyens des énergies indexés sur l'année 2021 (abonnement compris). Prix de vente 540 000 euros honoraires charge vendeur. Contactez Marina Amossé Agent commercial RSAC 2020AC00134 au 07 70 56 66 45.
Afficher plus";"['156 m² - 5 pièces - 4 chambres - ter. 420 m²', '1 garage - 2 parkings', '1 terrasse', 'Année de construction : 2022', 'Chauffage individuel au gaz', 'Séjour de 30 m²', ""1 salle d'eau - 1 salle de bain"", '2 wc', 'Copropriété de 207 lots', '', None, None, None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/sb7o72447tsb99m8imf7xkhklllm', 'https://photo.superimmo.com/d8hw8nne14juxxyu3sr2n7fwj9me', 'https://photo.superimmo.com/s6nbtc9y1tmypr9ovt4dypwz9ur2', 'https://photo.superimmo.com/mlwpt277dgptoe1cytdki5ee2zbh', 'https://photo.superimmo.com/0rmzmlf71ost76ods3iq340stj19', None, None, None, None, None]
8;https://www.superimmo.com/annonces/achat-maison-107m-la-chapelle-basse-mer-44450-xwb0rn;275000;67;6;3;Divatte-sur-Loire (44450) (La Chapelle-Basse-Mer);2554;13/07/2024;1 terrasse;3 Parkings;Honoraires à la charge de l'acquéreur : 3,77% TTC - 10 000 € TTC inclus dans le prix de vente. Barème d’honoraires : http://www.lelorouximmobilier.fr/i/redac/honoraires?honofor=1;"Maison de de 107,67 m2 habitable sur un terrain de 601 m2. A l'entrée se trouve un sas d'accueil qui s'ouvre sur un salon/séjour donnant accès à une cuisine ouverte, équipée et aménagée. Trois chambres constituent la partie nuit. Une à l'étage par un accès style échelle de meunier et deux autres en rez de chaussée, un bureau, une buanderie, salle de bain et wc. Le jardin joliment arboré donne accès à deux dépendances d'environ 10 m2 chacune. Terrasse carrelée et barbecue satisferont vos envies de longues soirées d'été.
Prix : 275 000 EURdont 10 000 EUR d'honoraire à la charge de l'acquéreur. Soit un prix hors honoraires : 265 000 EUR. Réf : LLI 2402 AB";"['107,67 m² - 6 pièces - 3 chambres - ter. 601 m²', '3 Parkings', '1 terrasse', 'Année de construction : 1983', 'Cuisine ouverte, équipée', 'Séjour de 29 m²', ""1 salle d'eau - 1 salle de bain"", '1 wc', 'Interphone', '', None, None, None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/un5h18kgmdh5nl9sdvtehv9yetx2', 'https://photo.superimmo.com/nvb47aok08us5u99yh4w6voo3ft6', 'https://photo.superimmo.com/6n5qdjfu01b26e3uf14527k38yyj', 'https://photo.superimmo.com/e6x2fzgwpn7cug66y7amwwr5iqxm', 'https://photo.superimmo.com/tq4e78b7rvnym512wnwgb22al5hl', None, None, None, None, None]
9;https://www.superimmo.com/annonces/achat-maison-120m-nantes-44200-xwb0qt;469700;120;4;3;Nantes (44200);3914;13/07/2024;1 terrasse;1 garage - 2 parkings;Honoraires à la charge de l'acquéreur : 4,84% TTC - 21 700 € TTC inclus dans le prix de vente. Barème d’honoraires : https://www.flatandhouse-agence.immo/i/redac/honoraires?honofor=1;"MAISON 120 m2 - 3 chambres + bureau + garage /DPE D à 5 minutes du Tram Haluchère FLAT AND HOUSE HUMAIMBILIER et Moussa Koulibaly vous présente cette PEPITE SITUEE NANTES EST ( avenue petite barate ) à 50 m du tram ligne 1 - arrêt Haluchère ( 10 min de la gare )- Environnement TRES CALME - Elle dispose de 3 chambres + 1 bureau , grande pièce de vie lumineuse de 50 m2 , garage, grand jardin de ville de 320 m2, avec une sécurité garantie grâce à l'accès rue fermée et sécurisée par un portail électrique télécommandé.... Je vous donne un prix , une surface et une localisation , pour le reste on se voit en visite. Ce bien provoquera le coup de COEUR chez beaucoup d'entre vous. Prix : 450 000 Net Vendeur - Surface : 120 m2 - DPE en D.Il y a un point à valider qui peut en effrayer quelques uns ... mais il faudra me téléphoner pour en savoir plus. NI LE BRUIT / NI DES TRAVAUX...je vous rassure. Moussa Koulibaly 06.82.40.24.68/ 02.40.02.18.60 - FLAT AND HOUSE FlatandHouse Humaimbilier FLAT&HOUSE HUMAIMBILIER - Votre agence référence dans la précision de vos ESTIMATIONS.
Afficher plus";"['120 m² - 4 pièces - 3 chambres - ter. 487 m²', 'Orientation : Est / Ouest', '1 garage - 2 parkings', '1 terrasse', 'Année de construction : 1960', 'Chauffage individuel au gaz', 'Cuisine ouverte, équipée', 'Séjour de 50 m²', ""1 salle d'eau - 2 salles de bain"", '', None, None, None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/7ibf0sf5itkmoasokm092x7m6lli', 'https://photo.superimmo.com/aggac9hz4yftsqbcy9gcl22zq2uh', 'https://photo.superimmo.com/mo8lhi87jtdamhfeswgaen7tjeey', 'https://photo.superimmo.com/6rkkzn0msdarecti5erqy3mgj0fw', 'https://photo.superimmo.com/yosw00n8o1ru4uu5fk851hpnkemu', None, None, None, None, None]
