;url;price;surface;nb_pieces;nb_chambres;lieu;prix_m2;date_publication;tag_1;tag_2;tag_3;description;tags;images_url
0;https://www.superimmo.com/annonces/achat-appartement-65m-capinghem-59160-xwdmm6;199000;59;3;2;Capinghem (59160);3034;24/07/2024;Étage 4/6 avec ascenseur;1 Parking;Honoraires à la charge de l'acquéreur : 4,74% TTC - 9 000 € TTC inclus dans le prix de vente. Barème d’honoraires : https://media.immo-facile.com/segments/immo/catalog/images/manufacturers_bareme/292178.pdf;Découvrez ce charmant appartement de Type 3, idéalement situé à proximité du métro pour un accès facile à toutes les commodités de Lille. ? Caractéristiques de l'appartement : Pièce de vie lumineuse + cuisine ouverte 2 chambres Salle de bain Balcon privatif, parfait pour profiter de moments de détente Parking en sous-sol, un atout précieux en milieu urbain Résidence de 2013 BBC - petite copropriété très calme ! (4.74 % honoraires TTC à la charge de l'acquéreur.);"['65,59 m² - 3 pièces - 2 chambres - ter. 10 200 m²', 'Étage 4/6 avec ascenseur', 'Orientation : Nord, Nord-Est, Est', '1 Parking', 'Année de construction : 2013', ""Assainissement : tout à l'égout"", '1 salle de bain', '1 wc', 'Fenêtres double vitrage, en pvc', 'Copropriété de 24 lots', None, None, None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/znse4lr9ghi4iczzj6pralguql0d', 'https://photo.superimmo.com/uftarnckmbhqwoku0lg5mlo2iyl2', 'https://photo.superimmo.com/reoti4mb8kcy1ucrr2rmy4h6pc0l', 'https://photo.superimmo.com/xs289248f4whib48aodsta3gi0eq', None, None, None, None, None, None]
1;https://www.superimmo.com/annonces/achat-appartement-42m-valenciennes-59300-xwdmm4;148000;82;2;1;Valenciennes (59300);3456;24/07/2024;Étage 5/6;;Honoraires à la charge du vendeur. Barème d’honoraires : https://media.immo-facile.com/segments/immo/catalog/images/manufacturers_bareme/292141.pdf;Square Habitat VALENCIENNES vous propose cet appartement T2 situé au 5 -ème étage d'une résidence sécurisée de 2021 au coeur de Valenciennes. Ce produit se compose d'une entrée avec placards, une salle de bains, un W-c, un grand séjour avec sa cuisine donnant accès à une loggia bien exposée et une chambre. Ce bien dispose d'un emplacement de parking en sous-sol. Copropriété de 204 lots dont 89 lots principaux. 1.468,48 euros de charges de copropriété/annuelle comprenant eau froide/eau chaude et chauffage.;['42,82 m² - 2 pièces - 1 chambre', 'Étage 5/6', 'Année de construction : 2018', 'Copropriété de 204 lots', 'Procédure en cours : Oui', '', None, None, None, None, None, None, None, None, None, None, None, None, None, None];['https://photo.superimmo.com/b9gqhmcou7ydcjmnuoy64j4lzd6g', 'https://photo.superimmo.com/6sdes0qbrls45fttbg61o8rmwxwu', 'https://photo.superimmo.com/xu7dh0xnnzaqiulevv5r1zgn9770', 'https://photo.superimmo.com/oco78c68oit7j719ixlmo36rku21', None, None, None, None, None, None]
2;https://www.superimmo.com/annonces/achat-maison-112m-villeneuve-d-ascq-59491-xwdmm2;376000;112;5;4;Villeneuve-d'Ascq (59491);3357;24/07/2024;;;Honoraires à la charge de l'acquéreur : 4,44% TTC - 16 000 € TTC inclus dans le prix de vente. Barème d’honoraires : https://media.immo-facile.com/segments/immo/catalog/images/manufacturers_bareme/292182.pdf;"Villeneuve d'Ascq Le Sart - Dans une rue prisée au coeur des commerces, du tramway et du métro, découvrez cette maison des années 1930 en retrait de rue d'environ 112m² . Elle se compose au rez-de-chaussée, d'une entrée desservant l'espace de vie lumineux comprenant un salon avec cheminée et une cuisine équipée. Une véranda chauffée ainsi qu'une salle de bains complètent ce niveau. L'espace nuit comporte 4 chambres dont une suite parentale avec sa salle de douches. Un jardin exposé Sud à l'abris des regards, une place de parking et une cave viennent parfaire cette prestation. ""Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www.georisques.gouv.fr"" (4.44 % honoraires TTC à la charge de l'acquéreur.)";"['112 m² - 5 pièces - 4 chambres - ter. 182 m²', 'Orientation : Sud', 'Année de construction : 1930', ""2 salles d'eau - 1 salle de bain"", '2 wc', '', None, None, None, None, None, None, None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/4b6snjay4ea9du71iuiseharsnoz', 'https://photo.superimmo.com/07lx88b47mmrohrhr795z638cu5a', 'https://photo.superimmo.com/awovgoa1u1q8k8w7n24xyok66udi', 'https://photo.superimmo.com/5jig1yi9a6mc8u30cm7abczsqrwj', 'https://photo.superimmo.com/wk62my94rckkx1jttqb6q3x9855o', None, None, None, None, None]
3;https://www.superimmo.com/annonces/achat-appartement-18m-loos-59120-xwdmm1;92000;6;1;;Loos (59120);4946;24/07/2024;;;Honoraires à la charge du vendeur. Barème d’honoraires : https://media.immo-facile.com/segments/immo/catalog/images/manufacturers_bareme/292165.pdf;EXCLUSIVITE, proximité de la faculté de médecine, pour investissement locatif, studio récent dans une résidence sécurisée avec concierge, comprenant une pièce à vivre, une salle de bains avec wc. Nombreux services étudiants inclus dont service petit déjeuner. Vous n'avez rien à gérer !;"['18,6 m² - 1 pièce', 'Rez-de-chaussée', 'Année de construction : 2014', ""1 salle d'eau"", 'Copropriété de 60 lots', '', None, None, None, None, None, None, None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/tsp3jowibf5534ep4k304y655efg', 'https://photo.superimmo.com/kwfi5wn0k0k9qjqcuddq0wotelcd', 'https://photo.superimmo.com/af5bnxju31bd8huxqwki5064exkl', 'https://photo.superimmo.com/szuqzx6zsp7g6i2bfvhxmnnww4ve', None, None, None, None, None, None]
4;https://www.superimmo.com/annonces/achat-maison-50m-lille-59000-xwdmm0;120000;63;2;1;Lille (59000);2370;24/07/2024;;;Honoraires à la charge du vendeur. Barème d’honoraires : https://media.immo-facile.com/segments/immo/catalog/images/manufacturers_bareme/292158.pdf;"Exclusivité SQUARE BOX (garantie 7 ans à la revente) Maison de 50,62 m² avec bel extérieur (50m² également) et coin buanderie dans dépendance. Maison très bien entretenue (double vitrage, chaudière condensation) disposant d'un séjour avec coin cuisine de plus de 34m², d'une chambre (10,35m²), et d'une salle de douche de 3,25m². Proche de BTWIN VILLAGE et à 10 minutes à pieds du métro, les plus : - Une maison entretenue (aussi facile à habiter qu'à louer avec possibilité de complément de loyer pour le jardin) - pas de charge de copropriété - une salle à manger lumineuse de 15m² avec grandes baies vitrées donnant sur l'extérieur - un extérieur de 50m² - plain-pied - faible taxe foncière (347 euros) - le tout à un prix raisonnable prix de vente : cent vingt mille euros (frais d'agence inclus à la charge du vendeur) N'hésitez pas à nous contacter pour une visite.
Afficher plus";['50,63 m² - 2 pièces - 1 chambre - ter. 117 m²', 'Année de construction : 1950', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None];['https://photo.superimmo.com/xxz9pg25dweicud7nzkltfui7con', 'https://photo.superimmo.com/ypdeeqgw9cmjsxyok48ix6jlwpm4', 'https://photo.superimmo.com/po5yd3h96gfm7y3a602nyg8sqn65', 'https://photo.superimmo.com/270vspun9yzztvaacbzcgyh9ca9q', 'https://photo.superimmo.com/56b5f8klbm23j9cawyblxwdl5fpi', None, None, None, None, None]
5;https://www.superimmo.com/annonces/achat-maison-114m-inchy-59540-xwdmly;89900;114;5;4;Inchy (59540);789;24/07/2024;;;Honoraires à la charge du vendeur.;Nouveauté Square Habitat, venez découvrir cette maison de 114m² composée de 4 chambres ! En rez-de-chaussée, hall d'entrée menant sur la cuisine de 20m², salle de bain, wc indépendant, pièce de vie de 30m². A l'étage, palier desservant 4 chambres allant de 11 à 13 m². Côté extérieur : beau jardin, dépendances. Chauffage électrique, double vitrage PVC partout, DPE D, bonne isolation, anciennement louée 620 euros. A visiter sans tarder !;['114 m² - 5 pièces - 4 chambres - ter. 417 m²', 'Année de construction : 1950', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None];['https://photo.superimmo.com/15lhutsop0s372mpo40yy31g5g7n', 'https://photo.superimmo.com/kujbgeg8etypvo1nzs5msjzl6epr', 'https://photo.superimmo.com/9vu9tiox7ivgwm1tjgu73mury1xx', 'https://photo.superimmo.com/hpv1sqi50wre0ppqvh8r5leq5oh5', 'https://photo.superimmo.com/k486bf60ohvjp5dltdrhdbyrzh6h', None, None, None, None, None]
6;https://www.superimmo.com/annonces/achat-appartement-67m-marly-59770-xwdmlx;65000;67;3;2;Marly (59770);970;24/07/2024;;;Honoraires à la charge du vendeur. Barème d’honoraires : https://media.immo-facile.com/segments/immo/catalog/images/manufacturers_bareme/292141.pdf;Square Habitat Valenciennes vous propose en exclusivité cet appartement T3 en rez-de-chaussée (ancien local commercial) . Il se compose d'un bel espace de 30m², d'un coin cuisine, un couloir desservant 2 pièces de 13 m² et 10m², une salle de bains et un W-c. Ce bien dispose d'un sous-sol complet de 60m² idéal pour une zone de stockage. Chauffage collectif gaz, les charges annuelles sont de 801.40 euros et la résidence compte 79 lots principaux.;['67 m² - 3 pièces - 2 chambres', 'Rez-de-chaussée', 'Année de construction : 1971', 'Copropriété de 93 lots', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None];['https://photo.superimmo.com/8p2pkt1hdb7amk5akiatso2gvibg', 'https://photo.superimmo.com/tbv82ydelnzhvf6jzy2t3878p7m6', 'https://photo.superimmo.com/ksv4zvww10mu8bdxjw8qxlezyors', 'https://photo.superimmo.com/pgi4vz0gdxrdxjdirst2vghp2da4', 'https://photo.superimmo.com/o603vy3tmmjybqwk1bwso4ezdtc5', 'https://photo.superimmo.com/9eseidq4y079qkfngiqwzynftpqx', None, None, None, None]
7;https://www.superimmo.com/annonces/achat-appartement-64m-tourcoing-59200-xwdmlw;139000;64;3;2;Tourcoing (59200);2172;24/07/2024;Étage 4/5 avec ascenseur;;Honoraires à la charge du vendeur. Barème d’honoraires : https://media.immo-facile.com/segments/immo/catalog/images/manufacturers_bareme/292140.pdf;Résidence Ma Campagne : Investissez dans cet appartement Type 3 intégralement rénové au sein d'une des résidences les plus courues de Tourcoing. Ce type 3 offre la chance d'être traversant, de posséder une pièce de vie avec vue par la baie vitrée sur le balcon de 13 m²2 chambres dont 1 avec accès au balcon et une cave. Stationnement flottant sécurisé. Locataire en place depuis 2017 au tarif de 810 euros dont 210 de charges comprenant le chauffage, l'eau, l'ascenseur, l'entretien des parties communes et du parc de la résidence. Le tout à proximité immédiate du tramway du même nom de la résidence. Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www. georisques.gouv.fr;"['64 m² - 3 pièces - 2 chambres - ter. 20 319 m²', 'Étage 4/5 avec ascenseur', '1 cave', 'Année de construction : 1970', ""Assainissement : tout à l'égout"", '1 salle de bain', '1 wc', 'Fenêtres double vitrage, en pvc', 'Copropriété de 668 lots', '', None, None, None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/2ktmvibu1qq6sw1n48d2ll86jwpt', 'https://photo.superimmo.com/e2i22ohxfozgminzkadw5f39ognh', 'https://photo.superimmo.com/c6458pa4azfccm0399yf5temf77p', 'https://photo.superimmo.com/1ozyr0842s0hi15clsxdr5bps2v3', 'https://photo.superimmo.com/sivdjtrndadaj484fjwz5nlejbyi', 'https://photo.superimmo.com/0g3vry58fp6znar9i13oiojis6nh', None, None, None, None]
8;https://www.superimmo.com/annonces/achat-maison-135m-monchecourt-59234-xwdmlu;175000;135;6;4;Monchecourt (59234);1296;24/07/2024;;;Honoraires à la charge du vendeur. Barème d’honoraires : https://media.immo-facile.com/segments/immo/catalog/images/manufacturers_bareme/292128.pdf;Maison individuelle à rénover à Monchecourt, opportunité à ne pas manquer , cette maison individuelle de 4 chambres est parfaite pour ceux qui souhaitent personnaliser leur espace de vie. Située sur une parcelle de plus de 1500 m², cette propriété offre un potentiel incroyable avec 2 garages pratique pour le stationnement ou comme espace de stockage, les travaux vous donnent de nombreuses possibilités de faire de cette maison un cadre idéal pour la petite famille, envie de campagne, de grand espace, alors ne manquez pas cette opportunité de réaliser votre rêve, appelez square habitat sans plus tarder !.;['135 m² - 6 pièces - 4 chambres - ter. 1 520 m²', 'Année de construction : 1930', '1 salle de bain', '1 wc', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None];['https://photo.superimmo.com/6bxbu1wkjl5td80vvoas6ef9rgvn', 'https://photo.superimmo.com/8ic8jrawoh5d3el3nqse9hgyha9v', 'https://photo.superimmo.com/any8w74anpcjh11ch4whoqfsxekb', 'https://photo.superimmo.com/kllen0efl5wot6rb7cb7phwyyw5o', 'https://photo.superimmo.com/wlegd2210f8sxn4z3iigc428izol', None, None, None, None, None]
9;https://www.superimmo.com/annonces/achat-maison-80m-saint-amand-les-eaux-59230-xwdmlt;139000;80;4;2;Saint-Amand-les-Eaux (59230);1738;24/07/2024;;;Honoraires à la charge du vendeur. Barème d’honoraires : https://media.immo-facile.com/segments/immo/catalog/images/manufacturers_bareme/292126.pdf;Quartier Moulin des Loups venez découvrir cette maison semi individuelle à rénover d'env 80m² au coeur de St Amand les eaux, à proximité immédiate de la forêt et chemins de promenade, dans une rue en impasse ! Au rez-de-chaussée, le hall dessert une cuisine, une salle de bains, les toilettes et un salon-séjour. A l'étage deux chambres et un grenier aménageable en bureau ou rangements. Des travaux de rénovation sont à prévoir pour l'ensemble du bien. TAE ok et chaudière gaz neuve. A l'extérieur, un magnifique jardin clôturé de près de 500m² vous comblera par sa tranquillité. Deux garages complètent l'ensemble. A visiter, secteur calme !;['80 m² - 4 pièces - 2 chambres - ter. 535 m²', 'Année de construction : 1930', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None];['https://photo.superimmo.com/u86sphrjjuxa0huu5g6t6yerghtb', 'https://photo.superimmo.com/bj13g8ojhves6z7eiho6mzre5edp', 'https://photo.superimmo.com/g4gj8keechsuuh5eizvduprpdpii', 'https://photo.superimmo.com/lrar4qk01vc20kie7m49kx64xpy5', 'https://photo.superimmo.com/84iqinwe7zmz3ifioxi30buo4vbn', None, None, None, None, None]
