;url;price;surface;nb_pieces;nb_chambres;lieu;prix_m2;date_publication;tag_1;tag_2;tag_3;description;tags;images_url
0;https://www.superimmo.com/annonces/achat-maison-300m-saint-paul-de-vence-06570-xwchv1;4480000;300;;;Saint-Paul-de-Vence (06570);14933;19/07/2024;1 terrasse;;Barème d’honoraires : http://saintpaul.immo/i/redac/honoraires?honofor=1;"Situé au coeur du village de Saint-Paul de Vence cette maison historique offre des prestations de grande qualité. Rare, le bien entier comprend une galerie et 3 beaux appartements au style authentique.
Une magnifique galerie d'Art au rez-de-chaussée de 65 m2 donnant sur la place de la fontaine. Au 1er étage un appartement de 88 m2 relié à la galerie pour le moment mais avec une entrée indépendante.
Un petit duplex de 2P de 40m2 et un grand duplex de 140 m2 avec 2 chambres et une belle terrasse de 30 m2.
Rénové par une architecte d'intérieur, nous avons le plaisir de vous présenter ce bien d'exception à Saint-Paul de Vence.";['300 m²', 'Orientation : Est / Ouest', '1 terrasse', 'Alarme', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None];['https://photo.superimmo.com/uh71ogkr752ox5hnd5n78zddbxd3', 'https://photo.superimmo.com/y82bznjyr6hr4xnn24ots8imsxj0', 'https://photo.superimmo.com/fbxap9cdyoxif863sgm9mxs1f52t', 'https://photo.superimmo.com/hbktp3wpuxpa2qtugz9w49vzlcsy', 'https://photo.superimmo.com/9bj3gb6addvf72dfcrnq0rq25p6t', None, None, None, None, None]
1;https://www.superimmo.com/annonces/achat-appartement-34m-valberg-06470-xwchtw;225000;34;2;1;Péone (06470) (Valberg);6618;19/07/2024;Avec ascenseur;1 terrasse;Barème d’honoraires : http://www.nice-ouest-immobilier.com/i/redac/honoraires?honofor=1;"VALBERG EN PLEIN CENTRE VILLE trés beau 2 pièces dans une charmante petite copropriété.
Il est composé d'un hall, un séjour avec kitchenette donnant sur une très grande terrasse de 20 m2, d'une chambre, une salle d'eau avec WC. Le bien est vendu completemènt équipé. Un parking en sous-sol et un casier à Ski completent ce bien.
Idéal pour les amoureux de la montagne cherchant un pied à terre 'clé en main' mais également pour faire un investissement rentable !
Charges annuelles 900 EUR
Contactez Alcione 06.12.72.92.65
Le rapport ERRIAL sur les risques auxquels ce bien est exposé est disponible en cliquant sur le lien : https://errial.georisques.gouv.fr";"['34 m² - 2 pièces - 1 chambre', 'Rez-de-chaussée', 'Avec ascenseur', '1 Garage', '1 terrasse', 'Année de construction : 2017', 'Cuisine ouverte, équipée', ""1 salle d'eau"", '1 wc', 'Copropriété de 3 lots', None, None, None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/tllempb3yhr92vd0i5ujprdxtmow', 'https://photo.superimmo.com/tk1cqryjnrnr3iwp759p34l0ticz', 'https://photo.superimmo.com/ce159k3hepe13k7hjet6tp1srtrd', 'https://photo.superimmo.com/f4ex301pdxis3tj4ukcv6r1ro9lt', 'https://photo.superimmo.com/ijjdtrnibktqoz55k2zymolrj5lv', None, None, None, None, None]
2;https://www.superimmo.com/annonces/achat-maison-233m-le-cannet-06110-xwchqd;1490000;233;7;4;Le Cannet (06110);6395;19/07/2024;2 Parkings;Chauffage individuel au gaz;Honoraires à la charge de l'acquéreur : 6% TTC - 84 340 € TTC inclus dans le prix de vente. Barème d’honoraires : http://www.baxton-immo.com/;"LE CANNET, quartier Mairie / Tivoli, une des dernières villas bourgeoises à être restée dans son charme d'antan , laissant la possibilité aux futurs acquéreurs de réaliser et surtout de personnaliser leur projet de rénovation .
Villa bourgeoise d'environ 233m2 sur 3 niveaux avec jardin quasi plat, permettant le stationnement de véhicules.
Possiblité également d'y réaliser un projet à la fois professionnel et personnel , en créeant de superbes bureaux ou cabinet ( médicaux, comptable, huissier, notaire..) avec une partie conservée en habitation
Une opportunité rare
1 490 000 EUR dont 6% ttc d'honoraires inclus charge acquéreurs - 1 405 660 EUR nets vendeurs";"['233 m² - 7 pièces - 4 chambres - ter. 850 m²', 'Orientation : Sud', '2 Parkings', 'Année de construction : 1930', 'Chauffage individuel au gaz', ""2 salles d'eau - 1 salle de bain"", '3 wc', '', None, None, None, None, None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/v1nss5cahvo7y7sckqrq38bgd3xv', 'https://photo.superimmo.com/ydriusku1ochpsixqo8ls27p150h', 'https://photo.superimmo.com/ip9s7lnhfyse2i9eql98g0wzszud', 'https://photo.superimmo.com/63zi6exd1al3c855i407izu5f8ds', 'https://photo.superimmo.com/z4numfswf8wmcs356fcubzo8iluy', None, None, None, None, None]
3;https://www.superimmo.com/annonces/achat-appartement-45m-nice-06200-xwchqc;378000;45;2;1;Nice (06200);8400;19/07/2024;Avec ascenseur;Terrasse;Barème d’honoraires : https://lesagencesdequartier.la-boite-immo.com/i/redac/honoraires?honofor=1;"Nous vous proposons à la vente cet agréable appartement de type 2 pièces, idéalement situé dans un quartier calme à Nice. Ce bien se compose d'un séjour lumineux avec accès direct au jardin, d'une cuisine équipée et ouverte sur le séjour. Une grande chambre confortable donnant sur le jardin ainsi qu'une salle de bain moderne avec douche. Jardin privatif de 40 m2 pour profiter des beaux jours et d'une terrasse de 20 m2 Grand Garage individuel pour votre véhicule. L'appartement bénéficie d'une excellente exposition, offrant une belle luminosité tout au long de la journée.
Le jardin vous permettra de créer un espace de détente avec une belle exposition sud-ouest. - Proximité des commerces, écoles et transports en commun - Charges de copropriété raisonnables - Aucun travaux à prévoir, appartement en excellent étatN'attendez plus pour visiter ce bien rare et coup de coeur garanti !
(Vendu avec le garage)
DPE: A ET A.
Taxe foncière: 1185EUR
Les honoraires d'agence seront intégralement à la charge du vendeur.
'Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques http://georisques.gouv.fr'.
Afficher plus";['45 m² - 2 pièces - 1 chambre', 'Rez-de-chaussée', 'Avec ascenseur', 'Orientation : Est, Ouest, Sud, Sud-Ouest', '1 Garage', 'Terrasse', 'Année de construction : 2013', 'Chauffage individuel', 'Climatisation', 'Cuisine ouverte', 'Séjour de 23 m²', '1 salle de bain', 'Interphone', '', None, None, None, None, None, None];['https://photo.superimmo.com/jvmhqsuheqb7xn4w3fq78fd8s24s', 'https://photo.superimmo.com/eka5qsy7kk81v5r4vvrpr0v77k9x', 'https://photo.superimmo.com/kkbrsf0497inadme6s3vc8noc4da', 'https://photo.superimmo.com/qdb0jhq1vk2ognw0bk0kjemkoa5p', 'https://photo.superimmo.com/qnusu98ou1a0xvdc88npg68sgngx', 'https://photo.superimmo.com/64t1609dsmse2q4gcrws6pnr3rbi', None, None, None, None]
4;https://www.superimmo.com/annonces/achat-appartement-65m-beausoleil-06240-xwchov;405000;65;3;2;Beausoleil (06240);6231;19/07/2024;Exclusivité;Étage 1/6 avec ascenseur;Barème d’honoraires : https://www.ajaimmobilier.com/i/redac/honoraires?honofor=1;AJA IMMOBILIER vous propose en EXCLUSIVITE : Limite MONACO. Secteur MONEGHETTI. Dans une résidence de bon standing avec ascenseur. Agréable et lumineux 3p de 66 m2 comprenant : entrée, séjour, cuisine séparée et équipée, 2 chambres, salle d'eau, WC, 2 balcons et une cave. Climatisation. IDEAL 1ER ACHAT OU INVESTISSEMENT LOCATIF.;"['65 m² - 3 pièces - 2 chambres', 'Étage 1/6 avec ascenseur', 'Orientation : Est', 'Cave (4 m²)', '2 balcons', 'Année de construction : 1960', 'Chauffage individuel', 'Climatisation', 'Cuisine séparée, équipée', ""2 salles d'eau"", '1 wc', 'Interphone', None, None, None, None, None, None, None, None]";[None, None, None, None, None, None, None, None, None, None]
5;https://www.superimmo.com/annonces/achat-appartement-23m-cannes-06150-xwchni;132500;3;1;;Cannes (06150);5687;19/07/2024;Étage 1/2;Coin cuisine équipé;Honoraires à la charge de l'acquéreur : 6% TTC - 7 500 € TTC inclus dans le prix de vente. Barème d’honoraires : http://www.gaiaimmobilier.com/i/redac/honoraires?honofor=1;"Cannes, secteur des plages du Midi, charmant studio de 23,30 m2 exposé sud, très bon état général, vendu entièrement meublé (lit-armoire, buanderie, volets électriques, double vitrage), climatisation réversible neuve, à deux pas des plages, accès centre de Cannes par le bus toutes les 10 minutes ou à pied sans montée. stationnement facile et gratuit. A voir, petit produit investisseur, résidence secondaire ou premier achat. Vous avez juste à poser vos valises... très faibles charges 48 euros par mois chauffage, eau chaude et froide, gardien compris
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www.georisques.gouv.fr";"['23,3 m² - 1 pièce', 'Étage 1/2', 'Orientation : Sud', 'Année de construction : 1980', 'Gardien', 'Chauffage collectif: radiateurs', 'Climatisation', 'Coin cuisine équipé', ""1 salle d'eau"", '1 wc', 'Copropriété de 147 lots', '', None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/crczvzunzz14hlosnqfm5k8hc7cv', 'https://photo.superimmo.com/1cdtep4hem7f97kak0o0zmhbqrd0', 'https://photo.superimmo.com/36pfo4btjcxt82o1lzgzehfnjbuh', 'https://photo.superimmo.com/gicbp34mb56n9faco6xxj3nj1qq5', 'https://photo.superimmo.com/2pa3uhav6oxv50bty7uv7k0ksf38', None, None, None, None, None]
6;https://www.superimmo.com/annonces/achat-appartement-51m-le-cannet-06110-xwchkn;279000;51;2;1;Le Cannet (06110);5471;19/07/2024;Exclusivité;Avec ascenseur;Honoraires à la charge du vendeur. Barème d’honoraires : www.bandelierimmobilier.com;"Rare !! Au Cannet à proximité du Cannet historique, dans une petite résidence de standing avec piscine, charmant 2 pièces de 51 m2 (44m2 LC+loggia 7m2), entièrement rénové, ouvert sur un superbe jardin privatif de 60 m2 avec un accès direct à la piscine de la résidence. Il se compose d'un hall avec penderie de rangement, un agréable séjour avec une cuisne ouverte parfaitement équipée et aménagée, une confortable chambre avec une grande penderie, une belle salle de bains et un WC indépendant avec lave-mains. Climatisation. Garage et Cave. Charges/an : 1.345 EUR. DPE : D. Montant estimé des dépenses annuelles d'énergie pour un usage standard entre 814 EUR et 1102 EUR (année de référence des prix de l'énergie 2020). Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : https://www.georisques.gouv.fr/
Afficher plus";['51 m² - 2 pièces - 1 chambre', 'Rez-de-chaussée', 'Piscine', 'Avec ascenseur', 'Orientation : Est / Ouest', '1 Garage', 'Cave (2 m²)', 'Année de construction : 1990', 'Chauffage individuel', 'Climatisation', 'Cuisine ouverte, équipée', 'Séjour de 31 m²', '1 salle de bain', '1 wc', 'Copropriété de 31 lots', '', None, None, None, None];['https://photo.superimmo.com/ziha8gikhmxzeh84k8zpaw2kjqeq', 'https://photo.superimmo.com/0w83r14dqppr0hfij23m9hcr32d2', 'https://photo.superimmo.com/58tmmwe37dnu3j43zmqb90are5zo', 'https://photo.superimmo.com/xbi3etw2zmxm2dsw7r2f86c5dr9s', 'https://photo.superimmo.com/yxzkdlohyi8lzr8v0lxcy886ffl2', None, None, None, None, None]
7;https://www.superimmo.com/annonces/achat-appartement-64m-le-cannet-06110-xwchkm;220000;64;3;2;Le Cannet (06110);3438;19/07/2024;Avec ascenseur;1 terrasse;Honoraires à la charge du vendeur. Barème d’honoraires : www.bandelierimmobilier.com;Au Cannet à proximité du rond point du Grande Bretagne et de toutes les commodités, calme et agréable 3 pièces de 64 m2 situé au rez de chaussée d'une résidence fermée et sécurisée. L'appartement se compose d'une belle pièce à vivre de 24 m2, une cuisine aménagée (possibilité cuisine américaine) ouverte sur une terrasse de 11 m2, deux chambres confortables respectivement de 11 m2 et 12 m2, une grande salle de bains avec fenêtre et un Wc indépendant. Charges/an : 1.456 EUR. DPE : E. Montant estimé des dépenses annuelles d'énergie pour un usage standard entre 1228 EUR et 1662EUR (année de référence des prix de l'énergie 2021). Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : https://www.georisques.gouv.fr/;['64 m² - 3 pièces - 2 chambres', 'Rez-de-chaussée', 'Avec ascenseur', 'Orientation : Est', '1 terrasse', 'Année de construction : 1951', 'Chauffage individuel électrique (radiateurs)', 'Cuisine séparée', 'Séjour de 24 m²', '1 salle de bain', '1 wc', '', None, None, None, None, None, None, None, None];['https://photo.superimmo.com/ibpafelk8lufe1uyu3le5wuewj03', 'https://photo.superimmo.com/b91eid2jy27ff4kfeeem8v86wucn', 'https://photo.superimmo.com/39e38y1fvtywaik74i4oc21a34rs', 'https://photo.superimmo.com/kq0y6mkgq698eyzzsff17y1jx3ce', 'https://photo.superimmo.com/ozhauqauyst70pgl579y8jrw1v0u', None, None, None, None, None]
8;https://www.superimmo.com/annonces/achat-maison-170m-roquebrune-cap-martin-06190-xwchk8;2900000;17;5;4;Roquebrune-Cap-Martin (06190);17042;19/07/2024;1 Garage;Chauffage individuel;Barème d’honoraires : https://www.immobilieramarante.com/i/redac/honoraires?honofor=1;"L'Agence Amarante Saint Roch vous propose à la vente, cette magnifique villa située à Roquebrune Cap Martin dans le secteur privilégié du hameau.
Parfaitement entretenue et décorée avec des matéraux de qualité cette maison dispose de plusieurs espaces extérieurs. Un très joli jardin avec piscine privative pour vos instants farniente, de nombreuses terrasses depuis lesquelles vous pourrez admirer la vue pour vos réceptions, barbecue, moment de détente, repas entre amis.
Elle dispose au premier niveau d'une très belle pièce de vie avec cuisine ouverte sur la salle à manger.
Un espace mezzanine, un toilette invité, une suite parentale.
Au niveau inférieur, une master bedroom, deux autres chambres, une salle d'eau, un toilette individuel, un dégagement.
La maison se trouve dans une copropriété sécurisée avec de faibles charges.
Accès direct en voiture, garage et parkings privatifs.
Afficher plus";['170,17 m² - 5 pièces - 4 chambres - ter. 1 154 m²', 'Piscine', 'Orientation : Est, Sud, Sud-Est', '1 Garage', 'Année de construction : 1967', 'Chauffage individuel', 'Climatisation', 'Interphone', 'Copropriété de 30 lots', '', None, None, None, None, None, None, None, None, None, None];['https://photo.superimmo.com/q56edfiaog62er3jik7tf6fxa588', 'https://photo.superimmo.com/1cfdo5gaxylcovkqsqwyjjf2md6j', 'https://photo.superimmo.com/mn4rbkegbtb13us023kr1zgdyrs6', 'https://photo.superimmo.com/qgkhu89vdi8nc6f4g5cnh21t16ox', 'https://photo.superimmo.com/b2rh7ob0jghpglm5hljl1u84du13', None, None, None, None, None]
9;https://www.superimmo.com/annonces/achat-appartement-mougins-06250-xwchjq;145000;;1;1;Mougins (06250);;19/07/2024;;;Honoraires à la charge du vendeur. Barème d’honoraires : https://www.pleinsudimmo.com/i/redac/honoraires?honofor=1;"Votre agence PLEIN SUD IMMO vous présente à la vente, en exclusivité, ce charmant studio de 24m2 environ situé au coeur du magnifique village provençal de Mougins.
Il se compose d'un séjour cuisine, d'une salle de douches et d'un WC séparé. Il dispose d'une cave de 5m2 environ.
Il offre un cadre de vie agréable et paisible. La proximité des commodités, ainsi que l'aéroport et l'autoroute faciliteront vos déplacements.
Idéal pour y séjourner pendant vos vacances, pour un investissement locatif ou encore pour un premier achat.
A VISITER RAPIDEMENT ! ! !";"['1 pièce - 1 chambre', 'Étage 1/2', 'Orientation : Est, Sud, Sud-Est', 'Cave (5 m²)', 'Année de construction : 1949', ""1 salle d'eau"", '1 wc', '', None, None, None, None, None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/kgexn3r1qqfjn9c6l9x3b5ar4bfq', 'https://photo.superimmo.com/y5tbj77sags1n439hqlspuwx9pl8', 'https://photo.superimmo.com/o8r887q2w49uw8xs39luunu6tnu3', None, None, None, None, None, None, None]
