;url;price;surface;nb_pieces;nb_chambres;lieu;prix_m2;date_publication;tag_1;tag_2;tag_3;description;tags;images_url
0;https://www.superimmo.com/annonces/achat-appartement-62m-mougins-06250-xwd843;495000;62;3;2;Mougins (06250);7984;21/07/2024;1 terrasse;1 Garage;Barème d’honoraires : https://www.pleinsudimmo.com/i/redac/honoraires?honofor=1;"Magnifique 3P de 62.51 m2 très lumineux, dans un nouvel ensemble immobilier neuf et de qualité dans un quartier résidentiel et très prisé.
Il se compose : d'une entrée, d'un séjour ouvert sur la cuisine et donnant sur la terrasse, de 2 chambres, d'une salle de bain et d'un wc séparé.
Il vous fait profiter d'un espace jardin avec piscine pour des moments de détente.
Vous assure une consommation énergétique réduite grâce aux normes du label BBC garantissant une forte isolation thermique.
L'achèvement de la construction remonte à 2022, la résidence est récente.
Une place de parking ainsi qu'une cave, complètent ce bien, possibilité d'acquérir un garage en sus.
Pour visiter cet appartement, votre agence immobilière PLEIN SUD IMMO se tient à votre disposition.";['62 m² - 3 pièces - 2 chambres', 'Rez-de-chaussée', 'Orientation : Est, Sud, Sud-Est', '1 Garage', 'Cave (6 m²)', '1 terrasse', 'Année de construction : 2022', 'Chauffage individuel', 'Climatisation', '1 salle de bain', '1 wc', '', None, None, None, None, None, None, None, None];['https://photo.superimmo.com/skz9dkkjtagdu29bi4jt6kreqdzf', 'https://photo.superimmo.com/uem89vaulbdokk2fmk681vw2je5m', 'https://photo.superimmo.com/jipm7shojyfj3xxnvdkjorzcsazx', 'https://photo.superimmo.com/2uz2jzwx7okn0f1jdd3mwrpjbbfz', 'https://photo.superimmo.com/66ygli0qnn0utx74m61s8ckhb5re', None, None, None, None, None]
1;https://www.superimmo.com/annonces/achat-appartement-62m-grasse-06130-xwd842;309000;62;3;2;Grasse (06130);4984;21/07/2024;Étage 1/2 avec ascenseur;3 Parkings;Honoraires à la charge du vendeur. Barème d’honoraires : https://www.pleinsudimmo.com/i/redac/honoraires?honofor=1;"Magnifique appartement lumineux et au calme de 3P de 62.51 M2 dans un secteur très prisé à Grasse.
Il se situe dans un ensemble immobilier tout neuf de 2020 avec son parc verdoyant de plus de 1 hectare.
Il mesure 62.9 M2 et comprend une cuisine, un coin salon de 21.3 M2 donnant sur une terrasse, une salle de bains, un espace nuit comprenant 2 chambres et un WC séparé.
Un jeu de boules vous invite à profitez des moments de détente.
Vous assure une consommation énergétique réduite grâce au label BBC qui garantit des économies d'énergie au quotidien.
Ce logement vous fait bénéficier de 2 emplacements de parking qui simplifient le stationnement.
Possibilité d'acquérir un emplacement en sus.
Contacter dès à présent PLEIN SUD IMMO pour une visite.";['62 m² - 3 pièces - 2 chambres', 'Étage 1/2 avec ascenseur', 'Orientation : Sud', '3 Parkings', 'Année de construction : 2020', 'Chauffage individuel', 'Climatisation', 'Cuisine ouverte, équipée', 'Séjour de 21 m²', '1 salle de bain', '1 wc', 'Interphone', None, None, None, None, None, None, None, None];['https://photo.superimmo.com/ddy9cv6if7p0v5cnnbb5v3phg8bu', 'https://photo.superimmo.com/91v4r286p980kw8g747dtijh9hcf', 'https://photo.superimmo.com/ip3mgrla6qil06uclv48tzhjbakp', 'https://photo.superimmo.com/4rb24aft2a9vjohr07eq8jhwejiz', 'https://photo.superimmo.com/0i1fv9y0ci7j584mdyqd55152542', None, None, None, None, None]
2;https://www.superimmo.com/annonces/achat-maison-80m-utelle-06450-xwd7e1;180000;80;4;2;Utelle (06450);2250;21/07/2024;Exclusivité;Terrasse;Honoraires à la charge du vendeur. Barème d’honoraires : https://media.immo-facile.com/segments/immo/catalog/images/manufacturers_bareme/280869.pdf;"Maison individuelle en pierres d'environ 80 m2 au sol habitables.
Mitoyenne d'un coté, beau jardin en restanques, vue magique !
Composée comme suit :
- En rez-de-jardin : une cave, une pièce avec cuisine d'été ;
- En rez-de-chaussée : cuisine, salon, salle d'eau, WC indépendants ;
- Deux chambres mansardées.
Double vitrages bois ;
Poêle à bois + chauffage électrique ;
DPE F : logement énergivore.
Rapport SPANC disponible
Accès pédestre (50 m) partagé avec les voisins.
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques http://www.georisques.gouv.fr
Pour visiter et vous accompagner dans votre projet, contactez Isabelle GAUTHIER, au 0761126928 ou par courriel à
Selon l'article L.561.5 du Code Monétaire et Financier, pour l'organisation de la visite, la présentation d'une pièce d'identité vous sera demandée.
Cette vente est garantie 12 mois.
Cette présente annonce a été rédigée sous la responsabilité éditoriale de Isabelle GAUTHIER agissant sous le statut d'agent commercial immatriculé au RSAC 899 861 702 NICE auprès de la SAS PROPRIETES PRIVEES, au capital de 40 000 euros, ZAC LE CHÊNE FERRÉ - 44 ALLÉE DES CINQ CONTINENTS 44120 VERTOU; SIRET 487 624 777 00040, RCS Nantes. Carte professionnelle Transactions sur immeubles et fonds de commerce (T) et Gestion immobilière (G) n° CPI 4401 2016 000 010 388 délivrée par la CCI Nantes - Saint Nazaire. Compte séquestre n°30932508467 BPA SAINT-SEBASTIEN-SUR-LOIRE (44230) ; Garantie GALIAN - 89 rue de la Boétie, 75008 Paris - n°28137 J pour 2 000 000 euros pour T et 120 000 euros pour G. Assurance responsabilité civile professionnelle par MMA Entreprise n° de police 120.137.405
Mandat réf : 344663 - Le professionnel garantit et sécurise votre projet immobilier.
Isabelle GAUTHIER (EI) Agent Commercial - Numéro RSAC : 899 861 702 NICE - .
Afficher plus";"['80 m² - 4 pièces - 2 chambres - ter. 936 m²', '3 niveaux', 'Orientation : Est, Sud, Sud-Est', '1 cave', 'Terrasse', 'Chauffage individuel', 'Cuisine aménagée', ""1 salle d'eau"", '1 wc', 'Jardin privatif', None, None, None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/qgkpybeh4h4nk2v43tdr0g1m9fnv', 'https://photo.superimmo.com/ehoe42m0ybwah2ba97uerx9txdwt', 'https://photo.superimmo.com/2rx1xi1gkasb297zqrkgh4f6iebv', 'https://photo.superimmo.com/w09rkl0t0r4av0zq2n5z5qvpnwat', 'https://photo.superimmo.com/cocn2jtvvruwiddcdojk6obeg9nv', None, None, None, None, None]
3;https://www.superimmo.com/annonces/achat-maison-160m-utelle-06450-xwd7e0;185000;160;1;;Utelle (06450);1156;21/07/2024;Exclusivité;;Honoraires à la charge du vendeur. Barème d’honoraires : https://media.immo-facile.com/segments/immo/catalog/images/manufacturers_bareme/280869.pdf;"En exclusivité,
Maison de village à l'état de grange en zone constructible du PLUm attenant à un terrain de 5000 m2 qui offre la possibilité d'agrandir/construire environ 160 m2 (CU opérationnel obtenu)
Eau et électricité à proximité ;
Accès voiture;
CU délivré pour un projet d'agrandissement qui donnerait naissance à un bâtiment de 160 m2 sur deux niveaux.
Permis en cours d'obtention !
DPE vierge
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques http://www.georisques.gouv.fr
Pour visiter et vous accompagner dans votre projet, contactez Isabelle GAUTHIER, au 0761126928 ou par courriel à
Selon l'article L.561.5 du Code Monétaire et Financier, pour l'organisation de la visite, la présentation d'une pièce d'identité vous sera demandée.
Cette vente est garantie 12 mois.
Cette présente annonce a été rédigée sous la responsabilité éditoriale de Isabelle GAUTHIER agissant sous le statut d'agent commercial immatriculé au RSAC 899 861 702 NICE auprès de la SAS PROPRIETES PRIVEES, au capital de 40 000 euros, ZAC LE CHÊNE FERRÉ - 44 ALLÉE DES CINQ CONTINENTS 44120 VERTOU; SIRET 487 624 777 00040, RCS Nantes. Carte professionnelle Transactions sur immeubles et fonds de commerce (T) et Gestion immobilière (G) n° CPI 4401 2016 000 010 388 délivrée par la CCI Nantes - Saint Nazaire. Compte séquestre n°30932508467 BPA SAINT-SEBASTIEN-SUR-LOIRE (44230) ; Garantie GALIAN - 89 rue de la Boétie, 75008 Paris - n°28137 J pour 2 000 000 euros pour T et 120 000 euros pour G. Assurance responsabilité civile professionnelle par MMA Entreprise n° de police 120.137.405
Mandat réf : 341023 - Le professionnel garantit et sécurise votre projet immobilier.
Isabelle GAUTHIER (EI) Agent Commercial - Numéro RSAC : 899 861 702 NICE - .
Afficher plus";['160 m² - 1 pièce - ter. 5 000 m²', '1 niveau', 'Orientation : Sud', '', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None];['https://photo.superimmo.com/bi5f9feghujhhdmoszxy9pz57feh', 'https://photo.superimmo.com/i8o4x8v25lo1nn5oi7rqo42t3x77', None, None, None, None, None, None, None, None]
4;https://www.superimmo.com/annonces/achat-appartement-57m-nice-06100-xwd7dt;285000;57;3;2;Nice (06100);5000;21/07/2024;Étage 1/8 avec ascenseur;Cuisine aménagée;Honoraires à la charge du vendeur. Barème d’honoraires : https://media.immo-facile.com/segments/immo/catalog/images/manufacturers_bareme/280869.pdf;"Secteur VALROSE proche Université, écoles et toutes commodités !
Appartement 3 pièces composé d'une entrée, deux chambres, un cagibi, une salle d'eau avec WC et WC indépendant dans résidence rénovée et sécurisée.
cette vente concerne un lot d'habitation.
Charges de copropriété s'élevant à 650 euros/trimestre.
DPE D
Pour visiter et vous accompagner dans votre projet, contactez Isabelle GAUTHIER, au 0761126928 ou par courriel à
Selon l'article L.561.5 du Code Monétaire et Financier, pour l'organisation de la visite, la présentation d'une pièce d'identité vous sera demandée.
Cette vente est garantie 12 mois.
Cette présente annonce a été rédigée sous la responsabilité éditoriale de Isabelle GAUTHIER agissant sous le statut d'agent commercial immatriculé au RSAC 899 861 702 NICE auprès de la SAS PROPRIETES PRIVEES, au capital de 40 000 euros, ZAC LE CHÊNE FERRÉ - 44 ALLÉE DES CINQ CONTINENTS 44120 VERTOU; SIRET 487 624 777 00040, RCS Nantes. Carte professionnelle Transactions sur immeubles et fonds de commerce (T) et Gestion immobilière (G) n° CPI 4401 2016 000 010 388 délivrée par la CCI Nantes - Saint Nazaire. Compte séquestre n°30932508467 BPA SAINT-SEBASTIEN-SUR-LOIRE (44230) ; Garantie GALIAN - 89 rue de la Boétie, 75008 Paris - n°28137 J pour 2 000 000 euros pour T et 120 000 euros pour G. Assurance responsabilité civile professionnelle par MMA Entreprise n° de police 120.137.405
Mandat réf : 357262 - Le professionnel garantit et sécurise votre projet immobilier.
Isabelle GAUTHIER (EI) Agent Commercial - Numéro RSAC : 899 861 702 NICE - .
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www. georisques. gouv. fr
Afficher plus";"['57 m² - 3 pièces - 2 chambres', 'Étage 1/8 avec ascenseur', 'Orientation : Nord, Nord-Est, Est', 'Chauffage collectif', 'Cuisine aménagée', ""1 salle d'eau"", '2 wc', 'Digicode', None, None, None, None, None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/z9c8v45w91d6y5hjjxljetjs1nek', 'https://photo.superimmo.com/3h1s2dvn1uxrwgfl3tc2umkvjwz8', 'https://photo.superimmo.com/d0yhoglkeu8yoazvmgndhogi75n0', 'https://photo.superimmo.com/zdy0aef3uxgr9jiv1dho9prehrfq', 'https://photo.superimmo.com/gcc5xdl95te6y9jxhxphyt5ppi8m', None, None, None, None, None]
5;https://www.superimmo.com/annonces/achat-appartement-27m-cannes-06400-xwd6un;110000;27;2;1;Cannes (06400);4074;21/07/2024;Étage 6/8;Chauffage collectif au gaz;Honoraires à la charge du vendeur. Barème d’honoraires : https://fr.foncia.com/agence-immobiliere/cannes-06/agence-immobiliere/foncia-transaction-cannes-2882;"À Vendre : Appartement en Front de Mer à Cannes la Bocca
Découvrez ce joli deux pièces situé dans une résidence avec piscine en front de mer à Cannes la Bocca. Profitez d'un cadre idyllique à proximité immédiate des plages de sable fin, des commerces, des transports en commun, de la gare et des restaurants.
Situé à un étage élevé, cet appartement offre une vue dégagée depuis sa terrasse, idéale pour vos moments de détente. Avec une chambre confortable, un séjour lumineux et un coin cuisinette pratique, et nombreux rangements ce bien est parfait pour une location saisonnière, un logement étudiant ou comme pied-à-terre.
Un parking privatif en sous-sol complète cette offre exceptionnelle.
Ne manquez pas cette opportunité unique d'acquérir ce bien dans l'une des commune des plus belles villes de la Côte d'Azur. Contactez-nous dès maintenant pour organiser une visite!
Afficher plus";['Disponible immédiatement', '27 m² - 2 pièces - 1 chambre', 'Piscine', 'Étage 6/8', 'Vue sur mer', 'Parking couvert', 'Année de construction : 1989', 'Chauffage collectif au gaz', 'Copropriété de 643 lots', '', None, None, None, None, None, None, None, None, None, None];['https://photo.superimmo.com/w3w46im3zwj8fhe14v2y46tqx6m9', 'https://photo.superimmo.com/70ewmg7p8swf7a5op86w2p6qzqzr', 'https://photo.superimmo.com/60ebj5pbndk5ymj5l64u83a7huh8', 'https://photo.superimmo.com/fkix1iicz80af2dd8jcmba2fb6xi', 'https://photo.superimmo.com/06885j384oda0f0nxkj4w81hu75i', 'https://photo.superimmo.com/dbxx53pirm75qjz7b63vy6v84jfr', None, None, None, None]
6;https://www.superimmo.com/annonces/achat-appartement-26m-cannes-la-bocca-06150-xwd6um;95000;26;2;1;;3654;21/07/2024;Chauffage collectif au gaz;Piscine;Honoraires à la charge du vendeur. Barème d’honoraires : https://fr.foncia.com/agence-immobiliere/cannes-06/agence-immobiliere/foncia-transaction-cannes-2882;"À Vendre : Charmant 2 Pièces à Cannes Beach avec Terrasse Couverte
Opportunité ! Venez découvrir cet appartement 2 pièces situé dans la résidence Cannes Beach, avec piscine, à seulement quelques pas des plages de sable fin, des commerces, de la gare, des écoles et des arrêts de bus.
Ce bien se trouve en rez-de-chaussée et se prolonge par une spacieuse terrasse couverte, idéale pour profiter des douces soirées en plein air. L'appartement dispose d'un coin nuit, de nombreux rangements, d'une kitchenette fonctionnelle, d'une salle de bains avec toilettes.
Parfait pour un investissement locatif, une résidence principale ou un pied-à-terre, cet appartement offre tout le confort nécessaire dans un cadre idyllique.
Ne manquez pas cette opportunité exceptionnelle de vivre à Cannes dans un environnement privilégié. Contactez-nous dès maintenant pour organiser une visite ! 0610895403
Afficher plus";['Disponible immédiatement', '26 m² - 2 pièces - 1 chambre', 'Piscine', 'Avec ascenseur', 'Année de construction : 1987', 'Gardien', 'Chauffage collectif au gaz', '1 salle de bain', None, None, None, None, None, None, None, None, None, None, None, None];['https://photo.superimmo.com/q7lkptp0xb9j2pj2c5xbwfen44we', 'https://photo.superimmo.com/iif0ibmy0pa3so6j9yeqqpbdai8j', 'https://photo.superimmo.com/e3xnmf1lov5w69dfl5sf11hz8s2o', 'https://photo.superimmo.com/fvwo3k2x86261d5bnkxycbxupn28', 'https://photo.superimmo.com/13xr4789gbjfcn6vtm0ukz0dyyb5', None, None, None, None, None]
7;https://www.superimmo.com/annonces/achat-appartement-126m-nice-06100-xwd6sf;628000;126;5;4;Nice (06100);4984;21/07/2024;Exclusivité;Étage 2/5 avec ascenseur;Honoraires à la charge du vendeur. Barème d’honoraires : https://bareme.iadfrance.fr;"iad France - Laurence VELLA (06 26 54 32 40) vous propose : Superbe appartement de 125m² environ en plein cOEur de Nice, situé au 2ème étage d'un immeuble de 5 niveaux construit en 1948. Ce bien spacieux offre 4 chambres lumineuses, un vaste salon et une cuisine équipée de caractère. Baigné de lumière naturelle, l'appartement bénéficie d'une exposition Est, Ouest, traversant sur la pièce à vivre, offrant une luminosité exceptionnelle toute la journée.
Ce bien offre un confort moderne dans un cadre historique.
Laissez-vous séduire par le charme de l'haussmannien, les hauteurs sous plafond, les cheminées, le bow-window qui inonde le salon de lumière
À proximité des commerces, des écoles et des transports en commun, cette propriété est idéalement située. Ne manquez pas cette opportunité unique d'acquérir un appartement spacieux et confortable dans un quartier recherché de Nice.
Une cave complète se bien d'exception
Un réel coup de cOEur
La présente annonce immobilière vise 1 lot principal situé dans une copropriété formant 10 lots au total ne faisant l'objet d'aucune procédure en cours et d'un montant de charges d’environ 211.69 € par mois (soit 2540.28 € annuel) déclaré par le vendeur.Honoraires d’agence à la charge du vendeur.Information d'affichage énergétique sur ce bien : classe ENERGIE D indice 215 et classe CLIMAT D indice 47. Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www.georisques.gouv.fr. La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de Mme Laurence VELLA EI (ID 39853), mandataire indépendant en immobilier (sans détention de fonds), agent commercial de la SAS I@D France immatriculé au RSAC de NICE sous le numéro 853266898, titulaire de la carte de démarchage immobilier pour le compte de la société I@D France SAS.
Retrouvez tous nos biens sur notre site internet.
Afficher plus";['126 m² - 5 pièces - 4 chambres', 'Étage 2/5 avec ascenseur', 'Cave', 'Année de construction : 1948', 'Chauffage collectif au gaz (radiateurs)', 'Climatisation', 'Cuisine ouverte, équipée', 'Interphone', 'Copropriété de 20 lots', '', None, None, None, None, None, None, None, None, None, None];['https://photo.superimmo.com/z3lguiwg6wwlpjtip9l6j2iclr8b', 'https://photo.superimmo.com/zruwczp95w7tonbz2rzkqf8v6m63', 'https://photo.superimmo.com/2nkwn1h9q8thmruhf84s57yeikg5', 'https://photo.superimmo.com/mgs9c81t3dkbnjpmze5pf4vqruwl', 'https://photo.superimmo.com/pjnvukq6mkp5ywpz98wfja9vw8xl', None, None, None, None, None]
8;https://www.superimmo.com/annonces/achat-appartement-60m-mandelieu-la-napoule-06210-xwd6oa;300000;60;2;1;Mandelieu-la-Napoule (06210);5000;21/07/2024;Exclusivité;Étage 1/4 avec ascenseur;Honoraires à la charge du vendeur. Barème d’honoraires : https://bareme.iadfrance.fr;"iad France - Stéphanie Saggio (06 61 47 69 80) vous propose : En exclusivité, venez découvrir ce spacieux 2 pièces de 60m²( pouvant être facilement transformé en 3 pièces). Il comprend une belle entrée avec dressing, une cuisine tout équipée avec sa buanderie attenante, un salon lumineux ouvrant sur une terrasse, une grande chambre avec dressing et sa salle de bains attenante. WC indépendant.
Cet appartement offre un cadre de vie agréable pour répondre à tous vos besoins au quotidien.
L'appartement bénéficie d'une piscine dans la résidence pour profiter des moments de détente et de rafraîchissement en toute tranquillité. De plus, vous pourrez rejoindre les commerces à seulement 100 m et les arrêts de bus pour faciliter vos déplacements.
Ne manquez pas cette opportunité de vivre dans un appartement confortable et rénové à Mandelieu-la-Napoule.
Une opportunité à ne pas manquer dans ce secteur prisé de Mandelieu-la-Napoule.
La présente annonce immobilière vise 1 lot principal situé dans une copropriété formant 171 lots au total ne faisant l'objet d'aucune procédure en cours et d'un montant de charges d’environ 260 € par mois (soit 3120 € annuel) déclaré par le vendeur.Honoraires d’agence à la charge du vendeur.Information d'affichage énergétique sur ce bien : classe ENERGIE D indice 248 et classe CLIMAT B indice 7. Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www.georisques.gouv.fr. La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de Mlle Stéphanie Saggio EI (ID 20175), mandataire indépendant en immobilier (sans détention de fonds), agent commercial de la SAS I@D France immatriculé au RSAC de CANNES sous le numéro 523334134, titulaire de la carte de démarchage immobilier pour le compte de la société I@D France SAS.
Retrouvez tous nos biens sur notre site internet.
Afficher plus";['60 m² - 2 pièces - 1 chambre', 'Étage 1/4 avec ascenseur', 'Terrasse', 'Gardien', 'Chauffage collectif au gaz', 'Cuisine séparée, équipée', 'Digicode - Interphone', 'Télévision par cable', 'Copropriété de 342 lots', '', None, None, None, None, None, None, None, None, None, None];['https://photo.superimmo.com/enxa3a2lx3krd427gh4mbt36r5n7', 'https://photo.superimmo.com/9clnljlvqyay2glrdla5ucq01ftc', 'https://photo.superimmo.com/od2ngttcmn3xy5c99b3zx10zks19', 'https://photo.superimmo.com/5n70hdeqjuj1k9brat2i7wct7tkk', 'https://photo.superimmo.com/965auzvknmjc1nm8iy34lcjpugqv', None, None, None, None, None]
9;https://www.superimmo.com/annonces/achat-appartement-34m-antibes-06160-06600-xwd6km;239000;34;2;1;Antibes (06);7029;21/07/2024;Exclusivité;Terrasse;Honoraires à la charge du vendeur.;"Fiche Id-SUP147903 : EXCLUSIVITE Juans les Pins : Très beau 2 pièces lumineux, en parfait état, à 2 pas de la plage et des commerces. Il se compose d'un séjour avec cuisine ouvrant sur une terrasse plein sud, d'une chambre en suite et d'un WC séparé. Très bon rendement locatif (Actuellement loué aux étudiants de Skema de septembre à mai et l'été à la semaine en saisonnier). - Double vitrage - climatisation - centre ville 1 place de stationnement complète ce bien. A voir rapidement! - Mentions légales : Proposé à la vente à 239000 Euros (honoraires à la charge du vendeur) - Bien en copropriété - Charges annuelles : 1260 Euros/an (soit 105 Euros/mois) - Affaire suivie par Mme Stéphanie BENARBIA (Agent commercial independant) - Reseau Immo-Diffusion Cannes - Pour plus d'informations, contactez notre secrétariat au 09 74 53 13 81 (Appel gratuit ou prix d'une communication locale)
Afficher plus";['34 m² - 2 pièces - 1 chambre', 'Avec ascenseur', 'Orientation : Sud', 'Terrasse', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None];['https://photo.superimmo.com/57ixm624mvcm7n2rvhyrh8cforec', 'https://photo.superimmo.com/ze6uvoqkchhu91qz8gywxy365i9i', 'https://photo.superimmo.com/p6f04c6bmnztzn7kca0kanlu5r3f', 'https://photo.superimmo.com/6hg60jev19n0n3phhvns92a3iavy', 'https://photo.superimmo.com/j6xxh9dbn3xa95kxrwsi6ryzoowj', None, None, None, None, None]
