;url;price;surface;nb_pieces;nb_chambres;lieu;prix_m2;date_publication;tag_1;tag_2;tag_3;description;tags;images_url
0;https://www.superimmo.com/annonces/achat-appartement-52m-caluire-et-cuire-69300-xwaf4o;159000;52;3;2;Caluire-et-Cuire (69300);3058;11/07/2024;1 Garage;;Honoraires à la charge du vendeur. Barème d’honoraires : https://media.immo-facile.com/segments/immo/catalog/images/manufacturers_bareme/6219.pdf;"L'Etude Immobilière spécialiste des appartements et maison à Caluire est fière de vous présenter en exclusivité cet appartement avec bail en cours idéal pour les investisseurs locatifs qui recherchent une bonne rentabilité. Cet appartement Type 3 est idéalement situé rue Pasteur proche des commerces, transports et commodités dans une résidence fermée et sécurisée. Traversant Est-Ouest, l'appartement est lumineux en retrait de la rue. Son agencement est particulièrement optimisé pour 52m² : une cuisine assez grande pour les repas, un séjour confortable, deux chambres dont une avec grands placards, salle d'eau et WC séparés. Une cave et un garage box fermé complètent le bien. Cet appartement est proposé à l'achat avec des locataires en place, bail d'habitation Loi 89 de 3 ans en date du 22 septembre 2021. Loué 820 euros + 80 euros de charges récupérables. (41,33 euros reste à charge propriétaire). Très bonne rentabilité locative. DPE : F louable en l'état jusqu'à 2028. Chauffage individuel électrique ancien, cumulus ancienne génération et fenêtres simple vitrage que nous recommandons de changer pour améliorer la performance énergétique du logement. Contactez Thibault RESTA au 07 70 25 38 98 pour en savoir plus et convenir d'une visite. Copropriété de 95 lots (Pas de procédure en cours). Charges annuelles : 1456 euros.
Afficher plus";"['52 m² - 3 pièces - 2 chambres', 'Rez-de-chaussée', '1 Garage', '1 cave', 'Année de construction : 1959', 'Séjour de 14 m²', ""1 salle d'eau"", '1 wc', 'Copropriété de 95 lots', '', None, None, None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/t2bqpvsu2daoil66igjbsx8pvwwn', 'https://photo.superimmo.com/rty62ld2u521x9bbgyx5hh6pa2xn', 'https://photo.superimmo.com/71eq4bfh2wkl9dgsevn6r7kempfi', 'https://photo.superimmo.com/bp7pw2rfcqsl5pcdjcrdb6s3l9tk', 'https://photo.superimmo.com/w90169i6998t17xrmh5xvdxwcchx', None, None, None, None, None]
1;https://www.superimmo.com/annonces/achat-maison-150m-caluire-et-cuire-69300-xwaf4m;395000;150;6;5;Caluire-et-Cuire (69300);2633;11/07/2024;Exclusivité;Terrasse;Honoraires à la charge du vendeur. Barème d’honoraires : https://media.immo-facile.com/segments/immo/catalog/images/manufacturers_bareme/6219.pdf;"L'Etude Immobilière à Caluire vous présente cette charmante maison de ville au coeur du Vernay. A deux pas du marché, de l'école, des commerces, voie verte et lignes de transport en commun. Lignes de bus 9, 33, 70, 77 et gare de Sathonay direction Lyon Part-Dieu. Vous recherchez une maison hors copropriété avec de nombreuses chambres et un bel extérieur privatif? Les 150 m² de cette maison ancienne offrent 5 chambres sur deux niveaux avec un accès rapide vers l'extérieur de plain pied pour profiter pleinement des 60 m² de terrasse privative exposée Sud pour un ensoleillement optimal. L'intérieur profite également de cette belle luminosité à l'aide des grandes ouvertures vers l'extérieur. Si cette maison séduira les amoureux de l'ancien avec ses beaux volumes, parquets massifs à l'étage, cheminée décorative, elle comblera également tous ceux qui recherchent également une bonne isolation thermique (DPE D) grâce au double vitrage PVC et bois et la climatisation pour ne pas oublier le confort d'été. Les rangements sont nombreux : cave, local vélos, grand cellier/buanderie dans l'entrée avec même une possibilité de rendre l'usage d'origine au garage, aménagé actuellement en salon TV. Contactez Thibault RESTA de l'Etude Immobilière à CALUIRE au 07.70.25.38.98, spécialiste des maisons à l'achat à Caluire et environs. Retrouvez nos avis clients sur MeilleursAgents.
Afficher plus";"['150 m² - 6 pièces - 5 chambres - ter. 100 m²', '1 garage - 1 parking', '1 cave', 'Terrasse', 'Année de construction : 1890', 'Séjour de 18 m²', ""1 salle d'eau"", '1 wc', 'Sous-sol', 'Fenêtres double vitrage, en pvc', None, None, None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/k3p37ejklz4i5mpfo2opqypezh9z', 'https://photo.superimmo.com/xhqr6f9grusywir9vpg083btfke1', 'https://photo.superimmo.com/4tl856hf2o35o62r9t16nfcf3ptn', 'https://photo.superimmo.com/8zpb5e7qxcnnxz5cdcn71zpartyf', 'https://photo.superimmo.com/81bqtvuwriwup4amehnpmer1xnkr', None, None, None, None, None]
2;https://www.superimmo.com/annonces/achat-appartement-150m-caluire-et-cuire-69300-xwaf4l;395000;150;6;5;Caluire-et-Cuire (69300);2633;11/07/2024;Exclusivité;Terrasse;Honoraires à la charge du vendeur. Barème d’honoraires : https://media.immo-facile.com/segments/immo/catalog/images/manufacturers_bareme/6219.pdf;"L'Etude Immobilière à Caluire vous présente cette charmante maison de ville au coeur du Vernay. A deux pas du marché, de l'école, des commerces, voie verte et lignes de transport en commun. Lignes de bus 9, 33, 70, 77 et gare de Sathonay direction Lyon Part-Dieu. Vous recherchez une maison hors copropriété avec de nombreuses chambres et un bel extérieur privatif? Les 150 m² de cette maison ancienne offrent 5 chambres sur deux niveaux avec un accès rapide vers l'extérieur de plain pied pour profiter pleinement des 60 m² de terrasse privative exposée Sud pour un ensoleillement optimal. L'intérieur profite également de cette belle luminosité à l'aide des grandes ouvertures vers l'extérieur. Si cette maison séduira les amoureux de l'ancien avec ses beaux volumes, parquets massifs à l'étage, cheminée décorative, elle comblera également tous ceux qui recherchent également une bonne isolation thermique (DPE D) grâce au double vitrage PVC et bois et la climatisation pour ne pas oublier le confort d'été. Les rangements sont nombreux : cave, local vélos, grand cellier/buanderie dans l'entrée avec même une possibilité de rendre l'usage d'origine au garage, aménagé actuellement en salon TV. Contactez Thibault RESTA de l'Etude Immobilière à CALUIRE au 07.70.25.38.98, spécialiste des maisons à l'achat à Caluire et environs. Retrouvez nos avis clients sur MeilleursAgents.
Afficher plus";"['150 m² - 6 pièces - 5 chambres - ter. 100 m²', 'Rez-de-chaussée', '1 garage - 1 parking', '1 cave', 'Terrasse', 'Année de construction : 1890', 'Séjour de 18 m²', ""1 salle d'eau"", '1 wc', 'Sous-sol', 'Fenêtres double vitrage, en pvc', '', None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/k3p37ejklz4i5mpfo2opqypezh9z', 'https://photo.superimmo.com/xhqr6f9grusywir9vpg083btfke1', 'https://photo.superimmo.com/4tl856hf2o35o62r9t16nfcf3ptn', 'https://photo.superimmo.com/8zpb5e7qxcnnxz5cdcn71zpartyf', 'https://photo.superimmo.com/81bqtvuwriwup4amehnpmer1xnkr', None, None, None, None, None]
3;https://www.superimmo.com/annonces/achat-maison-372m-francheville-69340-xwaf06;1350000;372;12;5;Francheville (69340);3629;11/07/2024;Exclusivité;Terrasse;Honoraires à la charge du vendeur. Barème d’honoraires : https://media.immo-facile.com/segments/immo/catalog/images/manufacturers_bareme/294596.pdf;"Située à Francheville, dans un environnement préservé et verdoyant, nous vous proposons en exclusivité une ancienne blanchisserie (datant de 1850) en R+2 de 372 m2 habitables sur un beau terrain plat sur la partie basse et valloné et arboré sur la partie haute de 1 834 m2 sur lequel est implanté une piscine hors sol. Au rez de jardin : une entrée dessert une grande pièce à vivre de 40 m2 ouverte sur une autre pièce de 31 m2 avec mur en pierres, une chambre, un bureau, salle d'eau et wc, puis un grand garage pour 3/4 voitures, des dépendances : buanderie, 3 ateliers, cave, chaufferie... Cet espace présente de beaux volumes et une surface habitable de + 150m2. Au 1er étage par un escalier en pierre : une grande cuisine équipée de 27 m2 ouverte sur une belle terrasse à l'est. Un salon de 35 m2 avec cheminée, 1 wc séparé. Un Espace nuit avec 1 grande chambre de 27 m2 ouverte sur terrasse au sud avec sa salle d'eau, son dressing et sanitaire séparé. Au 2e étage depuis le salon et le palier, 4 chambres dont 1 de 40 m2 et 1 de 20 m2, 1 grande salle de bain, 1 salle de douche 1 wc , 1 petite cuisine. Des travaux de rafraichissements sont à prévoir . Notre avis : bon emplacement dans le marché des maisons de Francheville à 5 mn du coeur du village, des écoles maternelles et primaires ( le Chater, Jacques Prévert et Jeanne D'arc ), collèges et Lycée ( St Augustin, St Joseph et la Favorite à 1,6 kms... Les transports en commun sont assurés par les lignes de bus à proximité (14 et C20), mais aussi le TER . Cadre de vie idéal recherché pour les familles recherchant la vie en maison à proximité du centre de Lyon.
Afficher plus";"['372 m² - 12 pièces - 5 chambres - ter. 1 834 m²', 'Terrasse', ""1 salle d'eau - 2 salles de bain"", '3 wc', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/hksnpwqe512zikvwjnjutq8q7817', 'https://photo.superimmo.com/6rp4qv8an3l2991ixnk4fehbwu9j', 'https://photo.superimmo.com/8bwj422kjhaf9rh9s590vdff5n32', 'https://photo.superimmo.com/vwacb8a4feee7c3k7s4mqyvt8ex6', 'https://photo.superimmo.com/ms9ebwe48h6armhtl3rn53xnsdf2', None, None, None, None, None]
4;https://www.superimmo.com/annonces/achat-maison-71m-saint-bonnet-de-mure-69720-xwaezm;336000;71;3;2;Saint-Bonnet-de-Mure (69720);4732;11/07/2024;;;Honoraires à la charge de l'acquéreur : 5% TTC - 16 000 € TTC inclus dans le prix de vente. Barème d’honoraires : https://media.immo-facile.com/segments/immo/catalog/images/manufacturers_bareme/291336.pdf;"Votre agence NESTENN vous invite à découvrir, sur la commune de ST BONNET DE MURE, dans un environnement calme et proche des commodités, cette maison individuelle de construction traditionnelle datant des années 1960, sur jolie parcelle de terrain clos et plat de 910 m². La maison de type ""Plan Favier"" se compose en rez-de-chaussée de l'entrée principale, et du sous-sol ""hors sol"" d'une surface de 60 m² environ, comprenant le garage, la chaufferie et trois pièces annexes à l'habitation. La hauteur sous plafond de ce niveau est de 2 m. L'étage développe une surface habitable de 66 m² environ, et comprend le salon ouvrant sur balcon exposé ouest, la cuisine indépendante attenante, 2 chambres de 9 et 12 m², salle d'eau, WC, et dégagement. Prévoir rénovation globale dont thermique. Possibilité d'extension. A NOTER : Le terrain n'est pas divisible et ne peut recevoir de constructions supplémentaires. Pour tous renseignements et précisions complémentaires, prenez rdv sans tarder dans votre agence. (5.00 % honoraires TTC à la charge de l'acquéreur.)
Afficher plus";"['71 m² - 3 pièces - 2 chambres - ter. 910 m²', 'Lotissement', 'Orientation : Est / Ouest', 'Année de construction : 1960', ""Assainissement : tout à l'égout"", 'Séjour de 25 m²', '1 salle de bain', '1 wc', 'Sous-sol', 'Fenêtres en bois, double vitrage', None, None, None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/xkq1qezz3wwd2wg82u8r468qmhi2', 'https://photo.superimmo.com/8scn391li5xa9ld9545zs3so35it', None, None, None, None, None, None, None, None]
5;https://www.superimmo.com/annonces/achat-maison-112m-jarnioux-69640-xwaezj;485000;112;4;3;Porte des Pierres Dorées (69640) (Jarnioux);4330;11/07/2024;Terrasse;1 Garage;Honoraires à la charge de l'acquéreur : 5,26% TTC - 24 250 € TTC inclus dans le prix de vente. Barème d’honoraires : https://media.immo-facile.com/segments/immo/catalog/images/manufacturers_bareme/291005.pdf;Sur la colline face au magnifique Château de Jarnioux, cette maison de plain-pied offre le calme absolu et une vue splendide. Sans vis à vis, son emplacement au fond d'une impasse lui confère un environnement nature de part et d'autre du terrain de 2000 m². Elle dispose de 3 chambres, une pièce de vie lumineuse et un sous-sol complet avec garage, buanderie, cellier, cave et atelier. Fibre dès le 25.07. Terrain piscinable. DPE en cours. Honoraires charge acquéreurs. A visiter avec SÉLECTION IMMOBILIER : 04.74.02.60.00. Votre interlocutrice EI Camille VOUILLAT 06.74.26.98.30 Agent commercial n°878 221 159, RSAC Villefranche-Tarare. (5.26 % honoraires TTC à la charge de l'acquéreur.);"['112 m² - 4 pièces - 3 chambres - ter. 2 000 m²', '1 Garage', '1 cave', 'Terrasse', 'Année de construction : 1976', ""Assainissement : tout à l'égout"", 'Séjour de 40 m²', ""1 salle d'eau - 1 salle de bain"", '1 wc', 'Fenêtres en bois, double vitrage', None, None, None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/93a2vlsprhy0y6qnncufrhfrpg0f', 'https://photo.superimmo.com/8bhmpgll5kjb0jy1ykkle6ydjivj', 'https://photo.superimmo.com/d0hha9b96clmhc5d2s4zi80yz2r2', 'https://photo.superimmo.com/nnuzrfwz5ysdrjtqo51ce7i2yjby', 'https://photo.superimmo.com/h4prhnpnbw35gq6nnxu4ighxyofl', None, None, None, None, None]
6;https://www.superimmo.com/annonces/achat-appartement-67m-sainte-foy-les-lyon-69110-xwaeze;375000;34;3;2;Sainte-Foy-lès-Lyon (69110);5569;11/07/2024;Exclusivité;Étage 2/5 avec ascenseur;Honoraires à la charge du vendeur. Barème d’honoraires : https://media.immo-facile.com/segments/immo/catalog/images/manufacturers_bareme/290844.pdf;Saint-Irénée - à 10 minutes de Point du jour Dans une belle résidence de standing avec ascenseur, venez découvrir cet appartement sans vis à vis de type 3 composé d'une entrée avec rangements, d'une pièce de vie, d'une cuisine équipée (possibilité cuisine US). Chaque pièce de l'appartement bénéficie d'un balcon. Coté nuit, deux chambres, dégagement pouvant servir d'espace bureau, salle d'eau, w.c. Un garage en sous-sol en sus. Résidence sécurisée avec parc et piscine. Bus 49 devant la résidence. Proche de l'A89 et de l'A7 . Pas de travaux à prévoir. Chaudière remplacée en 2023. Votre contact Instant Immobilier : Marvin MIRÒ 0610525295 Estimation sous 48h. Vivons ensemble votre Instant Immobilier. Copropriété de 91 lots (Pas de procédure en cours). Charges annuelles : 1600 euros.;"['67,34 m² - 3 pièces - 2 chambres', 'Piscine', 'Étage 2/5 avec ascenseur', '1 Garage', 'Terrasse', 'Année de construction : 2001', ""Assainissement : tout à l'égout"", ""1 salle d'eau"", '1 wc', 'Fenêtres double vitrage', 'Copropriété de 91 lots', '', None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/j1p9zbn2vnnxmpycrglo05ft1rfq', 'https://photo.superimmo.com/t361do6baw4ymkyqmodxwj7vgn79', 'https://photo.superimmo.com/s8im89nighok8ar5dyzsizio1739', 'https://photo.superimmo.com/ug5gbke932811wbmt3aka12rtykm', 'https://photo.superimmo.com/yc29tkdjhexdrb138l22ehakd2p3', None, None, None, None, None]
7;https://www.superimmo.com/annonces/achat-appartement-55m-lyon-6eme-69006-xwaex8;315000;31;2;1;Lyon 6ème (69006);5695;11/07/2024;Étage 5/6;;Barème d’honoraires : https://media.immo-facile.com/segments/immo/catalog/images/manufacturers_bareme/263431.pdf;Ce charmant appartement de 55,31 m2 entièrement meublé au 5ème étage avec ascenseur. Il se compose d'une entrée avec rangement, une cuisine entièrement équipée ouverte sur un séjour calme et lumineux donnant sur cour, une grande chambre et un dressing attenant, une salle de bain et un WC séparé. Belles prestations, immeuble relié à la fibre. Un grenier ainsi qu'une cave sont à disposition.;['55,31 m² - 2 pièces - 1 chambre', 'Étage 5/6', '1 cave', '1 salle de bain', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None];['https://photo.superimmo.com/60r27ezzs2k472wwvic5fbo35ssa', 'https://photo.superimmo.com/f1tjx4zwo8buzqyrt9a18ib548uq', 'https://photo.superimmo.com/wijqrrqs4e251hhqmxqrwkmauy7q', 'https://photo.superimmo.com/ppegkoqf2vi5vilhusb7ktukqo3n', 'https://photo.superimmo.com/d40e94v3wdkc43wmz67mghz8i5g7', None, None, None, None, None]
8;https://www.superimmo.com/annonces/achat-appartement-62m-saint-priest-69800-xwaew7;235000;84;3;2;Saint-Priest (69800);3740;11/07/2024;Exclusivité;Étage 1/2 avec ascenseur;Honoraires à la charge du vendeur. Barème d’honoraires : https://media.immo-facile.com/segments/immo/catalog/images/manufacturers_bareme/248722.pdf;"Nouveauté chez VILLAGE IMMOBILIER , votre agence reconnue 4 étoiles depuis 2023 par le guide national des agences immobilières ! Découvrez le charme de la tranquillité dans le quartier prisé de La Fouillouse, au sein d'une résidence moderne érigée en 2014, offrant un environnement paisible et sécurisé. L'appartement se décompose comme suit : Dès l'entrée, vous serez séduit par un espace optimisé avec un placard intégré. La pièce principale dévoile un séjour spacieux associé à une cuisine ouverte, créant un espace convivial. L'accès à un balcon privé offre une vue dégagée et une touche d'extérieur appréciable. L'appartement dispose de deux chambres, une salle de bains contemporaine, ainsi qu'un WC séparé pour plus de commodités. En bonus, profitez d'un stationnement privé en sous-sol. Cet appartement n'attend que votre touche personnelle. Pour une visite ou plus d'informations, n'hésitez pas à nous contacter. Une opportunité à ne pas manquer ! Copropriété de 44 lots (Pas de procédure en cours). Charges annuelles : 1200 euros. Clement SALAS (EI) Agent Commercial - Numéro RSAC : 53970516000031 - LYON.
Afficher plus";['62,84 m² - 3 pièces - 2 chambres', 'Étage 1/2 avec ascenseur', '1 Parking', 'Année de construction : 2014', 'Séjour de 23 m²', '1 salle de bain', '1 wc', 'Fenêtres double vitrage, en pvc', 'Copropriété de 44 lots', '', None, None, None, None, None, None, None, None, None, None];['https://photo.superimmo.com/6tk9p014qnn6um4ctzcml48tuck2', 'https://photo.superimmo.com/kqsqzra0cahkdla0npk7lo77jca9', 'https://photo.superimmo.com/gog4isc5q00nh88y4krs0upbo3l5', 'https://photo.superimmo.com/t2i120exsmbomwpaqvvoftjb84us', 'https://photo.superimmo.com/jc74ief8glqk1q40h32203elvnm1', None, None, None, None, None]
9;https://www.superimmo.com/annonces/achat-maison-120m-saint-priest-69800-xwaew6;380000;17;5;3;Saint-Priest (69800);3162;11/07/2024;Exclusivité;Terrasse;Honoraires à la charge du vendeur. Barème d’honoraires : https://media.immo-facile.com/segments/immo/catalog/images/manufacturers_bareme/248722.pdf;"Nouveauté chez VILLAGE IMMOBILIER, votre agence reconnue 4 étoiles depuis 2023 par le guide national des agences immobilières ! EXCLUSIVITÉ SAINT PRIEST - Secteur Village VILLAGE IMMOBILIER vous invite à découvrir cette maison de ville de type 5 de 120 m² environ. En très bon état de présentation, vous serez séduit par son agencement et sa luminosité. Elle se compose d'un bel espace de vie, d'une cuisine équipée et aménagée ouvrant sur une terrasse, une buanderie et un WC indépendant. A l'étage, vous découvrirez 3 chambres dont une avec dressing, un bureau, une salle de bains et un second WC Enfin son sous-sol semi enterré de 77 m² qui se compose d'un garage de 63 m² avec portes motorisées, chaufferie et d'un cellier. Cette maison vous offre confort et modernité par ses prestations. Vous souhaitez les découvrir ? N'hésitez pas à nous contacter ! Myriam ALLIGIER (EI) Agent Commercial - Numéro RSAC : 811 992 973 - LYON.
Afficher plus";"['120,17 m² - 5 pièces - 3 chambres - ter. 210 m²', 'Lotissement', '1 Parking', 'Terrasse', 'Année de construction : 1970', ""Assainissement : tout à l'égout"", 'Séjour de 24 m²', '1 salle de bain', '2 wc', 'Sous-sol', 'Fenêtres double vitrage, en pvc', '', None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/9vucktr91ikjgw9q6r3p7zdyehqe', 'https://photo.superimmo.com/fe437jryeokpthaecs3wutpe2pi3', 'https://photo.superimmo.com/xiv4jjpfvvi6s630lompv1o2c7mp', 'https://photo.superimmo.com/9w5wrazzbm6nhtglgbobjwhwd4l0', 'https://photo.superimmo.com/8fmp6xke5yol9jj2ynrye19n47r8', None, None, None, None, None]
