;url;price;surface;nb_pieces;nb_chambres;lieu;prix_m2;date_publication;tag_1;tag_2;tag_3;description;tags;images_url
0;https://www.superimmo.com/annonces/achat-appartement-12m-paris-16eme-75016-xwb2az;155000;12;1;;Paris 16ème (75016);12917;13/07/2024;Exclusivité;Meublé;Honoraires à la charge de l'acquéreur : 6,9% TTC - 10 000 € TTC inclus dans le prix de vente. Barème d’honoraires : https://www.agentsurmesure.fr/tarifs/;"Rue Chaillot,
Dans un bel immeuble bourgeois de 1900 au 6éme et dernier étage par ascenseur principal
Un petit Studio à rafraichir, vue sur cour dégagée
Soleil, calme
A visiter
Honoraires inclus de 6.9% TTC à la charge de l'acquéreur. Prix hors honoraires 145 000 €. Dans une copropriété de 20 lots. Quote-part moyenne du budget prévisionnel 500 €/an. Aucune procédure n'est en cours. DPE en cours Ce bien vous est proposé par un agent commercial. Nos honoraires :
Votre conseiller Agent sur Mesure : José MENDES - Tél. 0601466784
Agent commercial (Entreprise individuelle)";"['12 m² - 1 pièce', 'Dernier étage (6ème) avec ascenseur', 'Orientation : Sud', 'Année de construction : 1910', 'Chauffage individuel électrique', 'Coin cuisine équipé', ""1 salle d'eau"", '1 wc', 'Copropriété de 20 lots', '', None, None, None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/esju4pbg7ycd9mqu97nemvuu2ngz', 'https://photo.superimmo.com/rtksggprvef0b84mp0jdjxlevvis', 'https://photo.superimmo.com/e0khm0fhx9a1rm3xqi53v7e0bt29', 'https://photo.superimmo.com/n43hvqvvu3kvjmqt3bahvqefs5c4', None, None, None, None, None, None]
1;https://www.superimmo.com/annonces/achat-appartement-30m-paris-1er-75001-xwb28u;350000;30;2;1;Paris 1er (75001);11667;13/07/2024;Étage 4/5;Cuisine équipée;Barème d’honoraires : https://files.netty.immo/file/company36889mce/171/sDOP0/bareme_agence_imoss_2024.pdf;"Situé rue Tiquetonne ! Dans une petite copropriété , venez vite découvrir ce duplex de 30m².
Situé au 3ème et 4ème étage (2 portes d'entrée), il est composé d'une pièce de vie, d'une chambre, d'une cuisine, une salle d'eau avec douche et WC.
Des travaux sont en cour pour remonter la lettre du DPE.";"['30 m² - 2 pièces - 1 chambre', 'Étage 4/5', 'Orientation : Sud', 'Année de construction : 1800', 'Chauffage électrique', 'Cuisine équipée', 'Séjour de 15 m²', ""1 salle d'eau"", '1 wc', 'Copropriété de 8 lots', None, None, None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/7tmi5jahdachnbgki785hvlspk47', 'https://photo.superimmo.com/j11fx1tvessh9qew1ppcf5q8p1q7', 'https://photo.superimmo.com/6i1i13b5z61mwjrqisknd7inlnue', 'https://photo.superimmo.com/rxbxqzt1wh27qr13nlknam26jn05', 'https://photo.superimmo.com/4pkxap9zmuns5omjsfti8rnhdwtr', None, None, None, None, None]
2;https://www.superimmo.com/annonces/achat-appartement-30m-paris-1er-75001-xwb28u;350000;30;2;1;Paris 1er (75001);11667;13/07/2024;Étage 4/5;Cuisine équipée;Barème d’honoraires : https://files.netty.immo/file/company36889mce/171/sDOP0/bareme_agence_imoss_2024.pdf;"Situé rue Tiquetonne ! Dans une petite copropriété , venez vite découvrir ce duplex de 30m².
Situé au 3ème et 4ème étage (2 portes d'entrée), il est composé d'une pièce de vie, d'une chambre, d'une cuisine, une salle d'eau avec douche et WC.
Des travaux sont en cour pour remonter la lettre du DPE.";"['30 m² - 2 pièces - 1 chambre', 'Étage 4/5', 'Orientation : Sud', 'Année de construction : 1800', 'Chauffage électrique', 'Cuisine équipée', 'Séjour de 15 m²', ""1 salle d'eau"", '1 wc', 'Copropriété de 8 lots', None, None, None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/7tmi5jahdachnbgki785hvlspk47', 'https://photo.superimmo.com/j11fx1tvessh9qew1ppcf5q8p1q7', 'https://photo.superimmo.com/6i1i13b5z61mwjrqisknd7inlnue', 'https://photo.superimmo.com/rxbxqzt1wh27qr13nlknam26jn05', 'https://photo.superimmo.com/4pkxap9zmuns5omjsfti8rnhdwtr', None, None, None, None, None]
3;https://www.superimmo.com/annonces/achat-appartement-65m-paris-18eme-75018-xwb28t;569000;65;3;2;Paris 18ème (75018);8754;13/07/2024;Étage 2/5 avec ascenseur;1 balcon;Honoraires à la charge du vendeur. Barème d’honoraires : https://files.netty.immo/file/company36889mce/171/sDOP0/bareme_agence_imoss_2024.pdf;"Vous êtes à la recherche d'un T3 avec une terasse de 6m² ? Ce bien est fait pour vous ! IMOSS IMMOBILIER vous présente un magnifique T3 traversant dans une copropriété de 2004. Situé dans une copropriété très bien entretenue et sécurisée, le bien se compose de : un grand séjour de 21m², une cuisine équipée et aménagée, une grande salle de bain, un W.C, deux belles chambres dont une avec un grand dressing. L'appartement est au calme. Vous trouverez une cave en sous-sol.
Place de parking en sus à 30.100€.
N'attendez plus et venez vite visiter cette perle rare !";['65 m² - 3 pièces - 2 chambres', 'Étage 2/5 avec ascenseur', '1 Garage', 'Cave', '1 balcon', '1 terrasse', 'Année de construction : 2004', 'Chauffage au gaz', 'Cuisine séparée, équipée', '1 salle de bain', 'Wc séparé - 1 wc', 'Copropriété de 35 lots', None, None, None, None, None, None, None, None];['https://photo.superimmo.com/y2b4b601delsh9o84pyzh0hfj4ib', 'https://photo.superimmo.com/6r7vjcl2pbgmstz2p6vks08ub58i', 'https://photo.superimmo.com/vymp5af1cnbqo5aoa4wenu17pd2j', 'https://photo.superimmo.com/iopca31so5kotk0nwtpgv2vro251', 'https://photo.superimmo.com/337zcpsspir3krueobkm7jhm5gwg', None, None, None, None, None]
4;https://www.superimmo.com/annonces/achat-appartement-7m-paris-18eme-75018-xwb26a;72850;7;1;;Paris 18ème (75018);10407;13/07/2024;Exclusivité;Meublé;Honoraires à la charge de l'acquéreur : 5,34% TTC - 3 690 € TTC inclus dans le prix de vente. Barème d’honoraires : https://files.netty.immo/file/aedifrance/159/1P8WX/honoraires_1.pdf;"PARIS 18 EME - RUE DAMREMONT - IDEAL PIED A TERRE - ETUDIANT
Dans un immeuble ancien et sécurisé, une studette de 7,28m2 en Loi Carrez au septième étage, sans vis-à-vis, au calme.
Ce bien dispose d'un coin cuisine, d'une douche et d'un coin nuit.
Idéal pied-à-terre, étudiant, locations saisonnières …
Sa localisation idéal à proximité des commerces, du métro( les stations Blanche, Lamarck- Caulaincourt et la Place de Clichy : lignes 2,12 et 13) et de la célèbre Butte Montmartre font de ce bien une excellente opportunité.
Le syndicat des copropriétaires ne fait l'objet d'aucune procédure menée sur les fondements des articles 291-A et 29-1 de la loi du 10 juillet 1965 et de l'article L 615-6 du Code de la construction et de l'habitation.
« Les informations sur les risques naturels auxquels ce bien et exposées sont disponibles sur le site Géorisques : www.georisques.gouv.fr ».
Surface : 7,28 m²
Prix du bien : 72 850€
Prix du bien hors honoraires : 69 160 €
Honoraires TTC : forait de 3 690 € Honoraires à la charge de l'acquéreur
Date de réalisation du diagnostic énergétique : 15/01/2024
Consommation énergie primaire :721
Montant estimé des dépenses annuelles d'énergie pour un usage standard : entre 450 € et 660 € par an.
Prix moyens des énergies indexés au 01/01/2021.
Honoraires inclus de 5.34% TTC à la charge de l'acquéreur. Prix hors honoraires 69 160 €. Dans une copropriété de 71 lots. Aucune procédure n'est en cours. Classe énergie G, Classe climat G Logement à consommation énergétique excessive. La loi impose que le niveau de performance énergétique (DPE) du bien immobilier, actuellement de classe G, soit compris, à compter du 1er janvier 2028, entre la classe A et la classe E. Montant moyen estimé des dépenses annuelles d'énergie pour un usage standard, établi à partir des prix de l'énergie de l'année 2021 : entre 450.00 et 660.00 €. Ce bien vous est proposé par un agent commercial. Nos honoraires :
Afficher plus";"['7 m² - 1 pièce', 'Dernier étage (7ème)', 'Année de construction : 1924', 'Coin cuisine', ""1 salle d'eau"", '1 wc', 'Copropriété de 71 lots', '', None, None, None, None, None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/ozqbsd34ukjnhrqm5t5294sp9ztd', 'https://photo.superimmo.com/f20dfmut6h0tjglaurqwb2p82ovu', 'https://photo.superimmo.com/lw6v2ubaqxksor5bc8vfo76qrqfs', 'https://photo.superimmo.com/zpd5a8prham0nqh7bhxcc39puo61', 'https://photo.superimmo.com/i1g0glux6kwhcxgq5jhi02zyovi6', None, None, None, None, None]
5;https://www.superimmo.com/annonces/achat-appartement-37m-paris-20eme-75020-xwb257;339000;37;3;1;Paris 20ème (75020);9162;13/07/2024;Exclusivité;Étage 4/5;Honoraires à la charge de l'acquéreur : 6,38% TTC - 20 340 € TTC inclus dans le prix de vente. Barème d’honoraires : https://files.netty.immo/file/brews/163/oJ7LP/honoraires_brews_012024.pdf;"Saisissez l'opportunité d'investir dans un bijou architectural avec ce F2/3 de 36,55m², offert en exclusivité par Brew's. Niché au 19b rue de la Chine dans le vibrant 20ème arrondissement, cet appartement est situé à l'angle de la rue Orfila, au 4ème étage sans ascenseur d'un immeuble ancien de 1900, qui a su conserver tout son charme.
Caractéristiques de l'appartement :
• Architecture d'époque : Profitez de parquets anciens, de moulures élégantes, d'un four prussien et d'une cheminée traditionnelle.
• Agencement étoilé : Un couloir dessert une petite cuisine indépendante, une salle de douche avec wc, la chambre, et un grand séjour, offrant une configuration traversante rue et cour.
• Lumière naturelle et soleil : Niché au quatrième étage, l'appartement est très lumineux et ensoleillé.
Potentiel d'aménagement :
• Flexibilité : Gardez la disposition actuelle ou faites une grande salle de bain et une cuisine US, selon vos désirs et besoins.
• Travaux : Un rafraîchissement permettra de personnaliser ce lieu selon votre goût et d'en maximiser la valeur, notamment en revoyant cuisine et salle de bain.
Plus de l'appartement :
• Quartier prisé : Situé à quelques pas du métro Gambetta, des commerces, des parcs et des animations de la place Gambetta et de la rue des Pyrénées.
• Investissement stratégique : Offert à un prix attractif pour le quartier, avec un grand potentiel de plus-value à la rénovation.
Détails financiers :
• Prix de vente : 339 000€, honoraires TTC inclus, représentant 6% du prix du bien hors honoraires (318 660€).
• Charges mensuelles : 108€
• Taxe foncière : 731€ par an
Visite Virtuelle et Plus :
• Explorez avant de visiter : Visionnez la visite 3D immersive et la vidéo de présentation sur la chaîne Youtube Brew's Immobilier pour découvrir tous les détails avant une visite en personne.
Ce F2 est une toile vierge, prête à être transformée en votre espace idéal. Alliant le charme de l'ancien au confort moderne, ce bien nécessite principalement un rafraîchissement et une réfection des pièces d'eau. Contactez Brew's Immobilier pour plus d'informations et préparez-vous à être inspiré par ce cadre exceptionnel.
Honoraires inclus de 6.38% TTC à la charge de l'acquéreur. Prix hors honoraires 318 660 €. Dans une copropriété de 35 lots. Quote-part moyenne du budget prévisionnel 1 300 €/an. Aucune procédure n'est en cours. Classe énergie F, Classe climat F Logement à consommation énergétique excessive. La loi impose que le niveau de performance énergétique (DPE) du bien immobilier, actuellement de classe F, soit compris, à compter du 1er janvier 2028, entre la classe A et la classe E. Montant moyen estimé des dépenses annuelles d'énergie pour un usage standard, établi à partir des prix de l'énergie de l'année 2021 : entre 1390.00 et 1920.00 €. Nos honoraires :
Retrouvez l'annonce de l'agence immobilière Brew's sur :
Afficher plus";"['37 m² - 3 pièces - 1 chambre', 'Étage 4/5', 'Cave', 'Année de construction : 1900', 'Chauffage individuel au gaz', 'Cuisine séparée, équipée', ""1 salle d'eau"", '1 wc', 'Copropriété de 35 lots', '', None, None, None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/4bpil77ivmdg4plqbqaj24qy51ib', 'https://photo.superimmo.com/m8fio6nk569szjdfa6uejpzpb97e', 'https://photo.superimmo.com/wh4oj867ra727rtlezq0knqxeyx9', 'https://photo.superimmo.com/pn1m6re40zmcr8dn3m2ei0qloeyb', 'https://photo.superimmo.com/1wcktfpg12xgnfha3hvm27jjua2y', None, None, None, None, None]
6;https://www.superimmo.com/annonces/achat-appartement-49m-paris-19eme-75019-xwb1s2;460000;49;3;2;PARIS 19EME ARRONDISSEMENT (75019);9388;13/07/2024;Étage 3/6;Balcon;Honoraires à la charge de l'acquéreur : 4,54% TTC - 20 000 € TTC inclus dans le prix de vente - Prix hors honoraires : 440 000 €. Barème d’honoraires : https://assets.adaptimmo.com/bareme/93005/93005/bareme.pdf;3min Métro Ligne 5 Porte de Pantin, à proximité immédiate du Parc de la Villette, dans la rue piétonne et très prisée, Eugène Jumin, au sein d'un très bel immeuble haussmannien, charmant 3 pièces de 49m2 distribué en étoile. Il se compose d'une entrée, un séjour avec balcon, une cuisine aménagée séparée, 2 chambres, une salle d'eau. Belle hauteur sous plafonds, moulures, parquet chêne et cheminées d'origine. Double vitrage. Chauffage individuel électrique. Un rafraichissement est à prévoir. Charges mensuelles 155€/mois, une grande cave en sous-sol.;"['49 m² - 3 pièces - 2 chambres', 'Étage 3/6', 'Cave', 'Balcon', 'Année de construction : 1910', 'Chauffage électrique', 'Cuisine aménagée', ""1 salle d'eau"", '1 wc', 'Copropriété de 31 lots', None, None, None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/mmeu1x0aefiuly2nbp3rauahla2g', 'https://photo.superimmo.com/jrwd4tbuke9lzt1ufkoosaq4kgcg', 'https://photo.superimmo.com/onxuameqd9gazhiuj8h87xokc8vz', 'https://photo.superimmo.com/rar9tastwf8dt0kd6u02iwmmngx7', 'https://photo.superimmo.com/yd58obsea6d23azrlok4eu5ubglk', None, None, None, None, None]
7;https://www.superimmo.com/annonces/achat-appartement-47m-paris-19eme-75019-xwb1me;299500;1;2;;Paris 19ème (75019);6359;13/07/2024;;;Barème d’honoraires : http://www.century21chaumont.com;PARIS 19 - APPARTEMENT AVEC BALCONA proximité des métros 11 Télégraphe et 7B Pré-saint-Gervais, venez découvrir cet appartement rénové avec balcon. Au sixième étage avec ascenseur, il bénéficie de beaucoup de lumière et se compose d'une entrée,d'un lumineux séjour avec cuisine ouverte aménagée et équipée, d'un espace nuit, d'une salle de bains et un coin bureau. Une cave complète ce bien.A visiter sans tarder !;['47,1 m² - 2 pièces', 'Année de construction : 1970', 'Copropriété de 45 lots', '', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None];['https://photo.superimmo.com/nf96hwkve9uqk1qw8jcl5dwh0ug4', 'https://photo.superimmo.com/6l7w617rgxqvxxs4dg5be7gmjay6', 'https://photo.superimmo.com/4u8cl5ojzzvjq9gtcop0rea9obxt', 'https://photo.superimmo.com/gmcv9wvrz3pe02ycrkvfkztko6uz', 'https://photo.superimmo.com/r9iufjgo1izdyb63il19ynk9q3w0', None, None, None, None, None]
8;https://www.superimmo.com/annonces/achat-appartement-41m-paris-15eme-75015-xwb1jz;485000;4;2;;Paris 15ème (75015);11715;13/07/2024;;;Barème d’honoraires : http://www.century21-immoside-felix-faure.com;Félix Faure Au cœur de ce quartier recherché, situé dans une rue calme et prisée, venez découvrir cet agréable appartement de deux pièces en étage avec ascenseur.Il se compose ainsi : Entrée avec placards, séjour, chambre, cuisine indépendante aménagée, salle de bains, WC séparé, grand dressing et cave.Proche de toutes commodités, métro Felix Faure à 3 minutes, cet appartement vous séduira par sa situation, son calme et sa clarté.;['41,4 m² - 2 pièces', 'Année de construction : 1914', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None];['https://photo.superimmo.com/v4ihwfdzwh8yw6rqkrr5r4fjlk33', 'https://photo.superimmo.com/w6ldqgm366v4mckthpsdab12cu77', 'https://photo.superimmo.com/s2bs79epovxqw77bs1hgax4frsyl', 'https://photo.superimmo.com/strmlenwsxvm2uc8zjrrf3lpp7vs', 'https://photo.superimmo.com/4uwcnfvx9llmi41j19vosdbdyrsr', None, None, None, None, None]
9;https://www.superimmo.com/annonces/achat-appartement-37m-paris-11eme-75011-xwb1jw;410000;7;2;;Paris 11ème (75011);10875;13/07/2024;;;Barème d’honoraires : http://www.century21-chorus-bastille.com;Village Bastille - Rue de la Roquette: Venez découvrir ce charmant 2 pièces situé au 4ème étage avec ascenseur d'un immeuble ancien. Bien agencé, il se compose d'un séjour, d'une cuisine indépendante, d'une chambre avec dressing et d'une salle d'eau avec WC.Vous apprécierez l'absence de vis à vis, la luminosité ainsi que le calme absolu en plein cœur d'un quartier animé.Une cave complète ce bien.;['37,7 m² - 2 pièces', 'Copropriété de 73 lots', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None];['https://photo.superimmo.com/x6nj52xoeo5i6x9jxuuebnyt5sjh', 'https://photo.superimmo.com/lfuphl98lvm6z91xyw9p5b0pv8hm', 'https://photo.superimmo.com/yg3g2tb63xs5ctpxiiqr8rhf9m10', 'https://photo.superimmo.com/yzmc0ry9iuklgddim28kr1p6jtta', 'https://photo.superimmo.com/jkeiohtwsssavmvh7yuanr48rhlr', None, None, None, None, None]
