;url;price;surface;nb_pieces;nb_chambres;lieu;prix_m2;date_publication;tag_1;tag_2;tag_3;description;tags;images_url
0;https://www.superimmo.com/annonces/achat-maison-190m-pessac-33600-xw8ivk;676 000;190;5;4;;3 558;05/07/2024;;;Honoraires à la charge du vendeur. Barème d’honoraires : https://www.remax.fr/habitat;"Maison à vendre à Pessac de 190m² - 4 Chambres - Rénovée avec Prestation de Qualité.
Prix : 676000€
Découvrez cette magnifique maison de 190m² entièrement rénovée, située dans un quartier calme et pavillonnaire, offrant un cadre de vie idyllique proche de toutes les commodités. Cette demeure allie charme, modernité et confort avec des prestations haut de gamme.
Caractéristiques Principales :
Superficie : 190m²
Chambres : 4, dont une suite parentale en RDC
Terrain : Parcelle de presque 1000m²Description :
Espace de Vie : Spacieuse pièce de vie baignée de lumière, idéale pour recevoir famille et amis.
Cuisine : Grande cuisine dinatoire ouverte sur le séjour, parfaite pour des moments conviviaux.
Suite Parentale : Au rez-de-chaussée, avec salle d'eau privative et dressing.
Véranda : Un espace de vie intérieur/extérieur grâce à sa verranda véranda
Étage : Deux grandes chambres avec salle de bain et un espace mezzanine.
Emplacement : Secteur calme, pavillonnaire, à proximité immédiate des transports, dont la gare de Gazinet permettant un accès rapide à Bordeaux en 8 minutes et au Bassin d’Arcachon en moins de 40 minutes, même en été !
Proximité : Écoles, commerces, et toutes les commodités à portée de main.
Ne manquez pas l'opportunité de vivre dans cette maison exceptionnelle qui combine espace, confort et modernité. Parfait pour les familles cherchant un cadre de vie paisible tout en étant proche de Bordeaux et des plages du Bassin.
Pour plus d'informations ou pour organiser une visite, contactez-nous dès aujourd'hui !
Valèrie Dupouy EI : 06.08.31.41.70 /
Honoraires à la charge du vendeur.
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www.georisques.gouv.fr .
Afficher plus";['190 m² - 5 pièces - 4 chambres - ter. 928 m²', 'Garage', 'Année de construction : 1989', '2 salles de bain', '2 wc', '', None, None, None, None, None, None, None, None, None, None, None, None, None, None];['https://photo.superimmo.com/wd4ojwecnc2odx4ukrdc5qe2yh0u', 'https://photo.superimmo.com/thc1ks9ve520lhhyov9zeme9jm9u', 'https://photo.superimmo.com/vclxhgdbnrklp9zot1mlklxskhkz', 'https://photo.superimmo.com/mg6nvtjjx67ogwhnfj7dvysd17b4', 'https://photo.superimmo.com/avji4astttvdrzb974ixhedmv5p8', None, None, None, None, None]
1;https://www.superimmo.com/annonces/achat-appartement-80m-libourne-33500-xw8itv;239 000;80;4;3;Libourne (33500);2 988;05/07/2024;Dernier étage;Balcon;Barème d’honoraires : https://welmo.fr/;"Welmo, l'agence immobilière en ligne, vous présente :
LIBOURNE CENTRE - 2 CHAMBRES + BUREAU - BALCON - GARAGE - LUMINEUX - CALME
Vous souhaitez visiter ce bien ? Planifiez directement une visite sur le site Welmo avec la référence : S1x-FQMJrA
Welmo vous présente ce bel appartement de 80 m² habitable et son garage, idéalement situé à 5 min à pied du centre ville et 8 min de la gare de Libourne.
Bien agencé et en très bon état, il se compose: d'une entrée, d'un salon très lumineux de 20 m² avec balcon, d'une cuisine équipée, de 2 chambres, d'un bureau de 8 m², d'une salle de bain et d'un WC séparé.
Le chauffage et la climatisation fonctionnent par un gainable dont l'installation a été effectué en 2022.
Un grand GARAGE de 18 m² complète ce bien.
Nombre de lots : 3
Welmo, commission de 8 990 € à la charge de l'acquéreur incluse dans le prix de vente affiché
La présente annonce immobilière a été rédigée par Romain Baumard, agent commercial de la SAS WELMO France, immatriculé au RSAC de Bordeaux sous le numéro 901 553 610
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www.georisques.gouv.fr
Afficher plus";['80 m² - 4 pièces - 3 chambres', 'Dernier étage (1er)', 'Orientation : Est', 'Balcon', 'Terrasse', 'Chauffage individuel électrique', '1 salle de bain', 'Copropriété de 5 lots', None, None, None, None, None, None, None, None, None, None, None, None];['https://photo.superimmo.com/0cig9mrkiozcq9kq2vuwbeihqja8', 'https://photo.superimmo.com/mm97cro4fwwxt6n2hw2wswapnjqo', 'https://photo.superimmo.com/p7t9rvakq6w9qdwbzppj33xy46sb', 'https://photo.superimmo.com/ottee5j13u331h3nnpa2ejjue1mh', 'https://photo.superimmo.com/mz95ucxbzdymac6fsmrasp8j0cwq', 'https://photo.superimmo.com/98seuol2beqdz75otsrhnu0f3sjg', None, None, None, None]
2;https://www.superimmo.com/annonces/achat-maison-170m-bordeaux-33000-xw8itn;780 000;170;7;4;;4 588;05/07/2024;Balcon;Terrasse;Barème d’honoraires : https://welmo.fr/;"Welmo, l'agence immobilière en ligne, vous présente :
PARC BORDELAIS / ST SEURIN - RARE - MAISON 6 CHAMBRES - JARDIN 85 M2 + TERASSE 21 M2 - EXPO SUD EST - CHARME DE L'ANCIEN - BELLES PRESTATIONS
Vous souhaitez visiter ce bien ? Planifiez directement une visite sur le site Welmo avec la référence : HyeVaKCs1A
BIEN EN VENTE INTERACTIVE (VIA ENCHERES IMMO)
Bienvenue dans cette charmante maison en pierre offrant un mélange parfait entre charme de l'ancien et confort contemporain, dans un secteur très recherché, à seulement 300 m du magnifique Parc Bordelais et du Tram D (""Barrière du Médoc"").
La maison, d'une superficie habitable généreuse de 170 m², est orientée Sud Est (très lumineux) et s'articule sur 2 niveaux :
Au rez-de-chaussée, l'entrée dessert deux chambres, une très spacieuse de 16 m² pouvant également servir de bureau et une seconde avec wc indépendant. Sur ce niveau, vous trouverez l'un des gros atouts de ce bien : un vaste espace de vie de 45 m² baigné de lumière, avec séjour et cuisine aménagée ouverte, ainsi qu'un accès de plain pied à une belle terrasse de 21 m², idéale pour recevoir famille et amis dès les premiers rayons de soleil.
Le rez-de-jardin, quant à lui, abrite 4 chambres supplémentaires, offrant ainsi tout l'espace nécessaire pour une grande famille.
Dans le détail, on retrouve une suite parentale avec son dressing et sa propre salle de bains, une chambre de 12 m² avec sa salle d'eau, deux grandes chambres (ou espace de jeux / bureau) de 14 et 16 m², une 3eme salle d'eau et de nombreux rangements intégrés.
Enfin, une cave vient compléter l'ensemble.
À l'extérieur, un jardin au calme de 85 m² vous invite à profiter des douces journées ensoleillées.
Ne manquez pas cette opportunité d'acquérir cette maison de caractère dans l'un des quartiers les plus prisés de Bordeaux et à proximité immédiate des écoles (Assomption et Tivoli à 3min à pied, Grand Lebrun à 15 min).
Welmo, commission de 3 % à la charge de l'acquéreur incluse dans le prix de vente affiché.
La présente annonce immobilière a été rédigée par Romain Baumard, agent commercial de la SAS WELMO France, immatriculé au RSAC de Bordeaux sous le numéro 901 553 610
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www.georisques.gouv.fr
Ce bien est à vendre en vente interactive réalisée par ENCHERES IMMO. Aucuns frais supplémentaires ne sont à prévoir ni pour l'acquéreur, ni pour le vendeur. La participation à la vente interactive est soumise à agrément préalable. Toutes les offres seront transmises au vendeur, lequel restera libre dans la sélection de l'offre à laquelle il entend donner suite. Une offre en ligne pendant la vente interactive ne constitue pas une offre ferme et définitive au sens de l'article 1114 du Code Civil, mais une simple intention d'achat. Le prix affiché (780.000€) correspond à un prix de 1ère offre possible honoraires de négociation inclus, étant précisé que ledit prix n’étant pas forcément un prix auquel le vendeur souhaite vendre.
Afficher plus";['170 m² - 7 pièces - 4 chambres - ter. 215 m²', '1 niveau', 'Orientation : Est, Sud, Sud-Est', '1 cave', 'Balcon', 'Terrasse', 'Chauffage individuel électrique', 'Jardin privatif', 'Cheminée', '', None, None, None, None, None, None, None, None, None, None];['https://photo.superimmo.com/e2oa63ql7p8wij93lgfbq8cjrf75', 'https://photo.superimmo.com/gq5fajv9rshzh4ioyv3os4in7ujy', 'https://photo.superimmo.com/xmr352r8c1u4fwq5hgqqnry37fqr', 'https://photo.superimmo.com/ich8sc0obxa8nec5tfej62h0y3r6', 'https://photo.superimmo.com/mw1atf9cm4eihtlw20is0710h23m', None, None, None, None, None]
3;https://www.superimmo.com/annonces/achat-appartement-32m-bordeaux-33000-xw8it7;160 000;32;2;1;;5 000;05/07/2024;Exclusivité;Dernier étage;Honoraires à la charge du vendeur. Barème d’honoraires : http://diszln7ft1ccx.cloudfront.net/pdf/BAREME_NATIONAL.pdf;"33000 - BORDEAUX - GAMBETTA - APPARTEMENT 2 PIECES - DUPLEX - TERRASSE
Julie et David vous proposent cet agréable et fonctionnel 2 pièces en duplex de 32m2 au troisième et dernier étage d'un immeuble année 90 rénové à deux pas de la place Gambetta.
Il se compose au rez-de-chaussée d'un séjour donnant sur une cuisine ouverte et équipée et son wc séparé. L'étage dessert une chambre donnant sur une terrasse et sa salle de bains.
Vous serez séduit par son calme et son emplacement idéal.
Veuillez nous contacter pour de plus amples informations.
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Georisque : georisques. gouv. fr
Nicolas Lucbernet - EI - est Agent Commercial mandataire en immobilier, immatriculé au Registre Spécial des Agents Commerciaux du Tribunal de Commerce de Bordeaux sous le n°849614276.
Siège social du mandant : effiCity, 48 avenue de Villiers - 75017 PARIS - Société par Actions Simplifiée, société au capital de 132 373,05 euros, immatriculée au RCS Paris 497 617 746 et titulaire de la Carte professionnelle CPI 7501 2015 000 002 025 délivrée par la CCI Paris IDF - Caisse de Garantie : GALIAN Assurances 89 rue de la Boétie 75008 Paris
Afficher plus";['32 m² - 2 pièces - 1 chambre', 'Dernier étage (3ème)', 'Terrasse', 'Année de construction : 1989', 'Chauffage individuel électrique (convecteurs)', 'Séjour de 12 m²', '1 salle de bain', '1 wc', 'Copropriété de 40 lots', '', None, None, None, None, None, None, None, None, None, None];['https://photo.superimmo.com/mku8pjj1568ei84z1764zq5eey1l', 'https://photo.superimmo.com/pkpmknlcxbajmzzmmureuu12g8vh', 'https://photo.superimmo.com/9kzhj4mfihn8jestdh8z6j8h3ark', 'https://photo.superimmo.com/8d679wmtoynl5kraflbvf4ng6mtn', 'https://photo.superimmo.com/3qidcysrfnap2cdyuzkbl7t16ti6', None, None, None, None, None]
4;https://www.superimmo.com/annonces/achat-maison-150m-bordeaux-33000-xw8isg;745 000;150;6;3;;4 967;05/07/2024;Balcon;Terrasse;Honoraires à la charge du vendeur. Barème d’honoraires : http://diszln7ft1ccx.cloudfront.net/pdf/BAREME_NATIONAL.pdf;"BORDEAUX ORNANO - MAISON BORDELAISE- CACHET DE L’ANCIEN - 150m2- TERRASSE DE 60m2- 3CH - CAVE- BUANDERIE
Laura Da riba, Efficity Immobilier, vous présente cette maison bourgeoise située au coeur de Bordeaux.
Au rez-de-chaussée, vous entrez dans un espace accueillant avec des carreaux de ciment menant à une grande pièce de vie lumineuse avec parquet et cheminée, donnant sur une grande terrasse.
La cuisine indépendante (possibilité d'ouverture) offre également un accès direct au jardin pour des repas en plein air.
Un bel escalier en pierre vous emmène à l'étage où vous trouverez deux grandes chambres, dont une suite parentale, et une chambre avec terrasse privée, ainsi qu'un dressing/bureau et une salle de bain pour plus de confort.
Au dernier étage, une chambre spacieuse supplémentaire et une salle d'eau offrent de l'espace et de la fonctionnalité.
En bonus, un sous sol avec un espace buanderie séparé de la cave vous permet de stocker et d'organiser vos affaires comme vous le désirez.
Située à 2 minutes du tramway A, de l'école Flornoy et des commerces, cette maison bénéficie d'un emplacement idéal pour profiter pleinement de la vie bordelaise
Pour plus de renseignements ou programmer une visite, merci de contacter Laura Da riba par mail ou téléphone.
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Georisque : georisques. gouv. fr
Laura Da Riba - EI - est Agent Commercial mandataire en immobilier, immatriculé au Registre Spécial des Agents Commerciaux du Tribunal de Commerce de Bordeaux sous le n°894646884.
Siège social du mandant : effiCity, 48 avenue de Villiers - 75017 PARIS - Société par Actions Simplifiée, société au capital de 132 373,05 euros, immatriculée au RCS Paris 497 617 746 et titulaire de la Carte professionnelle CPI 7501 2015 000 002 025 délivrée par la CCI Paris IDF - Caisse de Garantie : GALIAN Assurances 89 rue de la Boétie 75008 Paris
Afficher plus";"['150 m² - 6 pièces - 3 chambres - ter. 197 m²', 'Orientation : Sud', 'Balcon', 'Terrasse', 'Année de construction : 1920', 'Chauffage individuel au gaz (radiateurs)', ""1 salle d'eau - 1 salle de bain"", '2 wc', None, None, None, None, None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/332sdfdv96p22qe2kyb3s4ul692k', 'https://photo.superimmo.com/3yjza3tw9q9rfllgtby46m4ehb32', 'https://photo.superimmo.com/993p7jx3fj9a7n2lx86ggzj6kc7x', 'https://photo.superimmo.com/9c86po5t3qxi6ohe98z7u77ss34q', 'https://photo.superimmo.com/c1qnw5s2mgqvr1ekmikoaa6k8970', None, None, None, None, None]
5;https://www.superimmo.com/annonces/achat-maison-96m-soussans-33460-xw8is8;248 000;96;5;4;;2 583;05/07/2024;Terrasse;Chauffage individuel électrique (radiateurs);Honoraires à la charge du vendeur. Barème d’honoraires : http://diszln7ft1ccx.cloudfront.net/pdf/BAREME_NATIONAL.pdf;"33460 - SOUSSANS - TAYAC - 5 PIÈCES - 4 CHAMBRES - 95.0 M² - MAISON AVEC TERRASSE ET JARDIN - RÉNOVÉE AVEC GOÛT
efficity, l’agence qui estime votre bien en ligne, vous propose cette magnifique maison située dans le charmant quartier de TAYAC à SOUSSANS. Avec ses 5 pièces dont 4 chambres, cette propriété de 95.0 m² offre un cadre de vie idéal pour toute la famille.
Bénéficiant d'une exposition plein Sud, cette maison lumineuse et calme dispose d'une belle terrasse de 30.0 m² et d'un jardin de 400.0 m², idéal pour profiter des journées ensoleillées. Le séjour spacieux de 38.0 m² offre un espace convivial et chaleureux pour se retrouver en famille ou entre amis.
Le bien est en excellent état général, avec une plomberie et une électricité en très bon état, garantissant un confort optimal au quotidien. Construite après 2010 avec des matériaux de qualité comme le bois, cette maison de plain-pied est facile à vivre et entretenir.
Avec un stationnement intérieur et trois places de parking extérieur, vous bénéficiez de tout le confort nécessaire pour vos déplacements. Les sols en parquet et la façade en bois en très bon état ajoutent une touche de charme supplémentaire à cette demeure.
Ne manquez pas l'opportunité de visiter ce petit bijou à SOUSSANS, une maison rénovée avec goût, idéale pour une famille en quête de tranquillité et de confort.
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Georisque : georisques. gouv. fr
Claude Poughet - EI - est Agent Commercial mandataire en immobilier, immatriculé au Registre Spécial des Agents Commerciaux du Tribunal de Commerce de Bordeaux sous le n°424359545.
Siège social du mandant : effiCity, 48 avenue de Villiers - 75017 PARIS - Société par Actions Simplifiée, société au capital de 132 373,05 euros, immatriculée au RCS Paris 497 617 746 et titulaire de la Carte professionnelle CPI 7501 2015 000 002 025 délivrée par la CCI Paris IDF - Caisse de Garantie : GALIAN Assurances 89 rue de la Boétie 75008 Paris
Afficher plus";"['96 m² - 5 pièces - 4 chambres - ter. 555 m²', 'Orientation : Sud', 'Garage', 'Terrasse', 'Année de construction : 2016', 'Chauffage individuel électrique (radiateurs)', 'Séjour de 38 m²', ""1 salle d'eau"", '1 wc', 'Jardin privatif', None, None, None, None, None, None, None, None, None, None]";[None, None, None, None, None, None, None, None, None, None]
6;https://www.superimmo.com/annonces/achat-maison-200m-saint-seurin-sur-l-isle-33660-xw8is2;316 500;200;7;5;;1 583;05/07/2024;Exclusivité;Terrasse;Honoraires à la charge du vendeur. Barème d’honoraires : http://diszln7ft1ccx.cloudfront.net/pdf/BAREME_NATIONAL.pdf;"33660 - SAINT-SEURIN-SUR-L'ISLE - 7 PIÈCES - 5 CHAMBRES - 200.0 M² - MAISON TRADITIONNELLE TERRASSE, VERANDA ET JARDIN ARBORE AVEC PLAN D'EAU - 3 HA TERRAIN
Visitez sans attendre ! Contactez nous pour obtenir le lien de la visite virtuelle !
efficity, l’agence qui estime votre bien en ligne, vous propose cette magnifique maison située dans un quartier prisé de Saint-Seurin-sur-l'Isle qui compte une gare SNCF qui vous amène en plein cœur de Bordeaux en 45mn, des commerces et services de proximité et son célèbre marché prisé dans la région.
Nichée dans un écrin de verdure, cette demeure de 200.0 m² offre de beaux volumes et un agencement optimal. Avec 7 pièces et 5 chambres, cette propriété saura accueillir confortablement toute votre famille.
L'exposition plein sud garantit une luminosité naturelle toute la journée, notamment dans le spacieux séjour de 31.64 m².
Vous pourrez également profiter d'une terrasse avec sa véranda de 20.0 m² pour des moments de détente en extérieur.
Vous retrouverez au RDC :
Entrée donnant sur
* Cuisine
* Salon / Salle à manger
* 3 chambres dont 2 avec salle d'eau privative
* Salle d'eau séparée
* Toilettes séparées
A l'étage :
* 2 chambres (dont une à finir)
* 1 salle d'eau
* toilettes séparées,
* loggia
Le jardin arboré de 8200.0 m² vous offrira un véritable havre de paix, idéal pour les journées ensoleillées.
En tout, c'est une surface de terrain de 3 ha avec un plan d'eau qui s'offrent à vous pour vous garantir une parfaite tranquillité ou pour élever vos animaux.
De construction traditionnelle, cette propriété est en bon état général, des travaux pourront être envisagés pour la mettre à votre goût, le prix en tient compte.
Le quartier calme vous assurera des nuits paisibles, loin du bruit de la ville.
Un garage, une cuisine d'été et un puits viennent compléter ce bien.
NOTRE COUP DE COEUR :
* Les 3 hectares de terrain
* Le plan d'eau
* Le calme
* Les surfaces généreuses
* Le puits et son système d'alimentation dans la maison
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Georisque : georisques. gouv. fr
Jean-Luc Augé - EI - est Agent Commercial mandataire en immobilier, immatriculé au Registre Spécial des Agents Commerciaux du Tribunal de Commerce de Libourne sous le n°912346145.
Siège social du mandant : effiCity, 48 avenue de Villiers - 75017 PARIS - Société par Actions Simplifiée, société au capital de 132 373,05 euros, immatriculée au RCS Paris 497 617 746 et titulaire de la Carte professionnelle CPI 7501 2015 000 002 025 délivrée par la CCI Paris IDF - Caisse de Garantie : GALIAN Assurances 89 rue de la Boétie 75008 Paris
Afficher plus";"['200 m² - 7 pièces - 5 chambres - ter. 31 117 m²', 'Orientation : Sud', 'Garage', 'Terrasse', 'Chauffage individuel au gaz (radiateurs)', 'Séjour de 31 m²', ""4 salles d'eau"", '4 wc', 'Jardin privatif', '', None, None, None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/907wv15yqt28x07c5pbu35j48lx0', 'https://photo.superimmo.com/o61jmulz5xkj3r0j4ywtzbhapikg', 'https://photo.superimmo.com/1lfle9qc12j9invgv1sepce386if', 'https://photo.superimmo.com/qbl0mc361j24iz4rsj8sp8ak8iel', 'https://photo.superimmo.com/vb0q9imkgks13qrltrhmbf45trjg', None, None, None, None, None]
7;https://www.superimmo.com/annonces/achat-maison-140m-le-taillan-medoc-33320-xw8irb;545 000;140;6;4;;3 893;05/07/2024;Terrasse;Chauffage individuel électrique (clim. réversible);Honoraires à la charge du vendeur. Barème d’honoraires : http://diszln7ft1ccx.cloudfront.net/pdf/BAREME_NATIONAL.pdf;"33320 LE TAILLAN MEDOC - PROCHE BORDEAUX - MAISON CONTEMPORAINE FAMILIALE ET CONVIVIALE - IDEALEMENT SITUEE
Efficity, l'agence qui estime votre bien en ligne vous propose cette maison de 2014 dotée de prestations de qualité.
A quelques pas du centre ville, des écoles et des transports (bus et Tram D ), laissez vous charmer par cette maison où vous n'aurez qu'à profiter.
Au rez-de-chaussée baigné de lumière, la vaste pièce de vie s'ouvre sur la terrasse avec Pergola, la piscine et le jardin arboré. Elle dessert également une chambre avec salle d'eau et wc ainsi qu'un cellier avec garage attenant.
L'étage dispose de trois vastes chambres avec placards dont une avec dressing, un wc séparé et une salle d'eau.
Bien rare à visiter sans tarder.
545.000 euros HAI
Laure Maloubier
06 08 81 97 54
Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Georisque : georisques. gouv. fr
Laure Maloubier - EI - est Agent Commercial mandataire en immobilier, immatriculé au Registre Spécial des Agents Commerciaux du Tribunal de Commerce de Bordeaux sous le n°829321835.
Siège social du mandant : effiCity, 48 avenue de Villiers - 75017 PARIS - Société par Actions Simplifiée, société au capital de 132 373,05 euros, immatriculée au RCS Paris 497 617 746 et titulaire de la Carte professionnelle CPI 7501 2015 000 002 025 délivrée par la CCI Paris IDF - Caisse de Garantie : GALIAN Assurances 89 rue de la Boétie 75008 Paris
Afficher plus";"['140 m² - 6 pièces - 4 chambres - ter. 458 m²', 'Piscine', 'Orientation : Sud', 'Garage', 'Terrasse', 'Année de construction : 2014', 'Chauffage individuel électrique (clim. réversible)', 'Séjour de 43 m²', ""2 salles d'eau"", '3 wc', 'Jardin privatif', '', None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/5m6jmf91ewlnp7sypbhmmsrnx0im', 'https://photo.superimmo.com/sb5emiyql7fkgwkyvtghz3jxphsi', 'https://photo.superimmo.com/8a3twrgvtkfusjzjkygk9cieue3d', 'https://photo.superimmo.com/340ftda87ci1wcwl4hg5g6n48u5b', 'https://photo.superimmo.com/3qk6gxly4y3g2ut9mshaxbfsrlpt', 'https://photo.superimmo.com/e20bzlzum1chiwarf1glg0umiruu', None, None, None, None]
8;https://www.superimmo.com/annonces/achat-appartement-64m-lormont-33310-xw8il8;237 000;64;3;2;Lormont (33310);3 703;05/07/2024;Étage 1/7 avec ascenseur;Terrasse;;"Découvrez cet appartement situé à Lormont avec une rentabilité exceptionnelle de 3,5 % NETTE- convient aux investisseurs soucieux de se constituer des revenus locatifs et un patrimoine immobilier de qualité. Cet appartement spacieux, confortable et lumineux est ouvert sur un bel espace extérieur, notamment une terrasse de 10 m². Tout autour se déploie un magnifique jardin partagé.
Pour vous déplacer cet appartement T3 est bien desservi grâce à un réseau de transports en commun parfaitement intégré. Profitez également d'un cadre de vie idéal avec une multitude de commodités à portée de main. Ecoles, parcs, commerces et services divers sont à proximité. Les nombreuses infrastructures de loisirs et sportives environnantes offrent une diversité d'activités. Prix avec stationnement. Visuel non contractuel.
Afficher plus";"['64 m² - 3 pièces - 2 chambres', 'Étage 1/7 avec ascenseur', 'Terrasse', 'Cuisine ouverte', 'Séjour de 37 m²', ""1 salle d'eau"", '1 wc', 'Jardin - Espace vert', 'Fenêtres double vitrage', '', None, None, None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/rccazm81kfcofexrcuemhfwxxyr9', 'https://photo.superimmo.com/l2gnxv1a2hkp2ta6okis1kxr16m9', 'https://photo.superimmo.com/dm3iw1nt89fecbffrfqvnj4kotkc', 'https://photo.superimmo.com/06m1rlwziljyne5jvdkv09yipkj1', None, None, None, None, None, None]
9;https://www.superimmo.com/annonces/achat-maison-60m-talence-33400-xw8il7;295 908;60;3;2;Talence (33400);4 932;05/07/2024;Cuisine ouverte;;;"Découvrez cette maison située à Talence avec une rentabilité exceptionnelle de 5,78 % NETTE- convient aux investisseurs soucieux de se constituer des revenus locatifs et un patrimoine immobilier de qualité. Cette maison spacieuse, confortable et lumineuse est ouverte sur de bels espaces extérieurs, notamment une petite terrasse et un jardin à l'arrière.
Pour vous déplacer cette maison T3 est bien desservie grâce à un réseau de transports en commun parfaitement intégré. Profitez également d'un cadre de vie idéal avec une multitude de commodités à portée de main. Ecoles, parcs, commerces et services divers sont à proximité. Les nombreuses infrastructures de loisirs et sportives environnantes offrent une diversité d'activités. Prix hors stationnement. Visuel non contractuel.";['60 m² - 3 pièces - 2 chambres', 'Garage', 'Cuisine ouverte', 'Séjour de 30 m²', '1 salle de bain', '1 wc', 'Espace vert - Jardin privatif', 'Fenêtres double vitrage', None, None, None, None, None, None, None, None, None, None, None, None];['https://photo.superimmo.com/896fm371zou4fyd56nrpl2wzh9qa', 'https://photo.superimmo.com/oyns9zz2vbyp3dhetx9d5j8mvx8v', 'https://photo.superimmo.com/lodvforkt2bkflppb8kgojpfj89w', 'https://photo.superimmo.com/9ywbcqby0g5v8q9nqpd8kscsfuij', 'https://photo.superimmo.com/iv1xb3m9n4ozj2p1fauq6is26d1m', None, None, None, None, None]
