Code INSEE,Code Postal,Commune,Superficie,Code Département,Code Région
59416,59190,MORBECQUE,4455.0,59,31
22102,22330,LANGOURLA,2165.0,22,53
31225,31310,GOUTEVERNISSE,485.0,31,73
23025,23220,BONNAT,4554.0,23,74
38522,38740,VALJOUFFREY,12644.0,38,82
21249,21170,ESBARRES,1587.0,21,26
62893,62930,WIMEREUX,826.0,62,31
60331,60590,LABOSSE,1428.0,60,22
62625,62770,NOYELLES-LES-HUMIERES,116.0,62,31
34277,34520,SAINT-MAURICE-NAVACELLES,6894.0,34,91
45149,45320,FOUCHEROLLES,987.0,45,24
26176,26740,MARSANNE,3456.0,26,82
51130,51330,CHARMONT,2285.0,51,21
76592,76170,SAINT-JEAN-DE-FOLLEVILLE,1378.0,76,23
14556,14320,SAINT-ANDRE-SUR-ORNE,390.0,14,25
61411,61360,SAINT-JOUIN-DE-BLAVOU,1786.0,61,25
07060,07240,CHATEAUNEUF-DE-VERNOUX,610.0,07,82
10196,10130,LIGNIERES,2594.0,10,21
68062,68130,CARSPACH,1716.0,68,42
48076,48130,JAVOLS,3118.0,48,91
50345,50200,MONTHUCHON,783.0,50,25
03028,03120,BILLEZOIS,1566.0,03,83
31317,31430,MARIGNAC-LASCLARES,1024.0,31,73
42170,42120,PERREUX,4150.0,42,82
34045,34800,CABRIERES,2890.0,34,91
14437,14120,MONDEVILLE,908.0,14,25
56124,56140,MALESTROIT,589.0,56,53
29132,29670,LOCQUENOLE,93.0,29,53
85289,85120,LA TARDIERE,2039.0,85,52
51422,51390,PARGNY-LES-REIMS,363.0,51,21
46257,46300,SAINT-CIRQ-MADELON,753.0,46,73
41058,41370,CONCRIERS,490.0,41,24
02366,02510,HANNAPES,927.0,02,22
88378,88450,REGNEY,382.0,88,41
02378,02500,LA HERIE,424.0,02,22
65264,65700,LASCAZERES,919.0,65,73
02211,02190,CONDE-SUR-SUIPPE,590.0,02,22
37203,37210,ROCHECORBON,1687.0,37,24
10151,10280,FONTAINE-LES-GRES,1224.0,10,21
67427,67220,SAINT-MAURICE,159.0,67,42
25017,25330,AMONDANS,568.0,25,43
02641,02340,RENNEVAL,677.0,02,22
58045,58700,LA CELLE-SUR-NIEVRE,1309.0,58,26
67276,67130,LUTZELHOUSE,2855.0,67,42
80329,80560,FORCEVILLE,771.0,80,22
06031,06340,CANTARON,730.0,06,93
81024,81630,BEAUVAIS-SUR-TESCOU,1209.0,81,73
52526,52160,VILLARS-SANTENOGE,1973.0,52,21
07338,07240,VERNOUX-EN-VIVARAIS,3110.0,07,82
09169,09600,LIMBRASSAC,1245.0,09,73
27663,27110,LE TRONCQ,466.0,27,23
77128,77860,COUILLY-PONT-AUX-DAMES,475.0,77,11
66071,66310,ESTAGEL,2087.0,66,91
47215,47300,PUJOLS,2516.0,47,72
01026,01380,BAGE-LE-CHATEL,86.0,01,82
36046,36400,LA CHATRE,609.0,36,24
24028,24440,BEAUMONT-DU-PERIGORD,2427.0,24,72
09124,09130,LE FOSSAT,1458.0,09,73
68113,68970,GUEMAR,1811.0,68,42
64052,64350,ARRICAU-BORDES,809.0,64,72
19118,19470,LE LONZAC,3659.0,19,74
02160,02340,CHAOURSE,1849.0,02,22
89334,89110,SAINT-AUBIN-CHATEAU-NEUF,2499.0,89,26
11019,11140,AUNAT,1084.0,11,91
40162,40090,LUCBARDEZ-ET-BARGUES,2165.0,40,72
46208,46600,MONTVALENT,2753.0,46,73
60538,60490,RICQUEBOURG,504.0,60,22
68357,68510,WALTENHEIM,235.0,68,42
03282,03350,THENEUILLE,3969.0,03,83
85121,85370,LE LANGON,2376.0,85,52
60685,60134,VILLERS-SAINT-SEPULCRE,733.0,60,22
40240,40270,RENUNG,2239.0,40,72
41127,41210,LA MAROLLE-EN-SOLOGNE,2504.0,41,24
28166,28240,FRIAIZE,1063.0,28,24
57657,57170,SOTZELING,364.0,57,41
73273,73310,SAINT-PIERRE-DE-CURTILLE,1655.0,73,82
88015,88300,ATTIGNEVILLE,1464.0,88,41
48034,48500,LA CANOURGUE,10468.0,48,91
31340,31320,MERVILLA,275.0,31,73
59670,59272,DON,229.0,59,31
27403,27400,LE MESNIL-JOURDAIN,1045.0,27,23
74205,74490,ONNION,1886.0,74,82
55194,55250,FOUCAUCOURT-SUR-THABAS,989.0,55,41
